sample,predictor,factor,a,b,indirect,lo,hi,p
exploratory,log_om_z,F1_z,-0.19939794137522193,-0.09172981927216328,0.01829073712559052,-0.01000120683262685,0.05494970085848961,0.2104
confirmatory,log_om_z,F1_z,-0.13999095036477488,0.05762525394760996,-0.008067014065137414,-0.03302382100970423,0.00812461759441213,0.3456
exploratory,log_om_z,F2_z,-0.19939794137522193,0.1354472008190644,-0.027007893008357712,-0.061023487284804744,-0.001973103075253897,0.034
confirmatory,log_om_z,F2_z,-0.13999095036477488,0.20389298796733107,-0.028543173158260285,-0.06931200778764646,-0.0016135118982349278,0.0304
exploratory,log_om_z,F3_z,-0.19939794137522193,0.21656709116177417,-0.04318303214727779,-0.08525619632517269,-0.011633539568125795,0.0048
confirmatory,log_om_z,F3_z,-0.13999095036477488,0.10403176472268577,-0.014563505611653442,-0.03826109991725367,0.0026777001284713393,0.104
exploratory,log_kap_z,F1_z,-0.15780421510478704,-0.08285665298634153,0.013075129090719333,-0.008794456043591829,0.04428453990447575,0.2704
confirmatory,log_kap_z,F1_z,-0.14530513393777533,0.07493130667230771,-0.010887903552152191,-0.036892922418042526,0.006643128287100569,0.236
exploratory,log_kap_z,F2_z,-0.15780421510478704,0.13325338063684083,-0.021027945141456096,-0.051359549178129106,0.00013150102025194082,0.052
confirmatory,log_kap_z,F2_z,-0.14530513393777533,0.19552378962220437,-0.028410610439075813,-0.05899616009765129,-0.0051695404012339465,0.014
exploratory,log_kap_z,F3_z,-0.15780421510478704,0.23703360404459778,-0.03740490183971663,-0.08071278708698144,-0.00514727850490475,0.0224
confirmatory,log_kap_z,F3_z,-0.14530513393777533,0.09910253992621161,-0.014400107837551905,-0.036168133088387434,0.002593323733605539,0.102
