sample,outcome,a,b,c_total,c_direct,indirect,lo,hi,p
exploratory,AMI_Total_z,-0.16123083806555408,-0.26853215894763643,-0.03220580804135022,-0.07550147307603028,0.04329566503468,0.006721433718342122,0.08832620061925466,0.022
exploratory,AMI_Social_z,-0.16123083806555408,-0.28111702324724425,-0.04495375086222642,-0.09027848411487353,0.04532473325264704,0.007108121246837286,0.09433825913865557,0.022
exploratory,DASS21_Anxiety_z,-0.16123083806555408,-0.11730642090661589,-0.04663297944553837,-0.0655463919987827,0.018913412553244312,-0.0029861577601152834,0.053959182132792605,0.11266666666666666
exploratory,DASS21_Depression_z,-0.16123083806555408,-0.19748179361942841,-0.08953910976007667,-0.12137926484802596,0.03184015508794923,0.003028884301242404,0.07164283233253584,0.027333333333333334
exploratory,OASIS_Total_z,-0.16123083806555408,-0.1618282698297641,-0.030788820508980748,-0.05688052807633223,0.026091707567351484,0.0009969932786076006,0.06329808568319277,0.037333333333333336
exploratory,PHQ9_Total_z,-0.16123083806555408,-0.1721657866704893,-0.0810116054556246,-0.10877003952672305,0.027758434071098386,0.0023159539025588197,0.06600183136746474,0.03
exploratory,STAI_Trait_z,-0.15753013110174677,0.17991314032922615,-0.011918017796005455,0.016423722786984514,-0.02834174058298996,-0.0667204037336154,-0.00233395583000979,0.028666666666666667
confirmatory,AMI_Total_z,-0.1429179604607476,-0.14106322894127396,0.09876019626364076,0.07859972728734636,0.020160468976294376,0.0016130386448947997,0.04667264587906145,0.028666666666666667
confirmatory,AMI_Social_z,-0.1429179604607476,-0.17007482626012918,0.026330875166674886,0.0020241278718612214,0.02430674729481366,0.004219487738382162,0.05156422767865028,0.013333333333333334
confirmatory,DASS21_Anxiety_z,-0.1429179604607476,0.09566741843043854,0.011333338526121383,0.02500593085074456,-0.01367259232462321,-0.038884323368924424,0.004100835199027292,0.15
confirmatory,DASS21_Depression_z,-0.1429179604607476,-0.0618626306364311,0.07880337138740402,0.0699620903881087,0.008841280999295292,-0.011855520010219254,0.03257189528155225,0.35933333333333334
confirmatory,OASIS_Total_z,-0.1429179604607476,-0.02538981147314853,0.03820417450619551,0.0345755144339702,0.003628660072225277,-0.017714992649093392,0.023566031758875915,0.73
confirmatory,PHQ9_Total_z,-0.1429179604607476,-0.03553797689762662,0.06249270171768836,0.05741368654057838,0.005079015177109962,-0.016666378437979534,0.02649451477406431,0.586
confirmatory,STAI_Trait_z,-0.14530513393777533,0.09693858334248642,-0.16974026693975014,-0.15565459310343188,-0.014085673836318187,-0.038319644918445646,0.005871075231011572,0.16333333333333333
