sample,model,elpd,delta_elpd,param,beta,lo,hi,ess,rhat
exp,choice_vdiff_only,-7943.791824043608,,,,,,,
exp,choice_vdiff_affect,-6863.429882782239,1080.3619412613698,,,,,,
exp,choice_joint,,,V_diff_z,0.085,0.075,0.095,8659.0,1.0
exp,choice_joint,,,con_heavy_z,0.168,0.155,0.181,4705.0,1.0
exp,choice_joint,,,anx_heavy_z,-0.167,-0.18,-0.154,4828.0,1.0
exp,overcautious,,,con_heavy_z,-0.165,-0.184,-0.147,4339.0,1.0
exp,overcautious,,,anx_heavy_z,0.16,0.144,0.179,4582.0,1.0
exp,reckless,,,con_heavy_z,0.022,0.011,0.032,7523.0,1.0
exp,reckless,,,anx_heavy_z,-0.013,-0.023,-0.002,7426.0,1.0
conf,choice_vdiff_only,-7673.144743628951,,,,,,,
conf,choice_vdiff_affect,-6634.123519824863,1039.0212238040876,,,,,,
conf,choice_joint,,,V_diff_z,0.079,0.068,0.089,8701.0,1.0
conf,choice_joint,,,con_heavy_z,0.202,0.189,0.214,4488.0,1.0
conf,choice_joint,,,anx_heavy_z,-0.117,-0.13,-0.105,4632.0,1.0
conf,overcautious,,,con_heavy_z,-0.159,-0.177,-0.14,6278.0,1.0
conf,overcautious,,,anx_heavy_z,0.106,0.087,0.125,4929.0,1.0
conf,reckless,,,con_heavy_z,0.068,0.053,0.081,4973.0,1.0
conf,reckless,,,anx_heavy_z,-0.039,-0.053,-0.025,4939.0,1.0
