sample,T,param,r,p,n
exploratory,0.1,omega_z,0.15390906852209407,0.008656816072000644,290
exploratory,0.1,kappa_z,-0.7329221201138102,4.222514007711117e-50,290
exploratory,0.5,omega_z,0.14429273349450902,0.013913518970668125,290
exploratory,0.5,kappa_z,-0.714043475117405,1.6713202361929594e-46,290
exploratory,0.9,omega_z,0.15031877400960642,0.010366395177378428,290
exploratory,0.9,kappa_z,-0.7047490414950113,7.744308836626785e-45,290
confirmatory,0.1,omega_z,0.21162866793379959,0.0003538938841358128,281
confirmatory,0.1,kappa_z,-0.7327116931384599,1.5084000820920466e-48,281
confirmatory,0.5,omega_z,0.20308937352777076,0.0006148348728337516,281
confirmatory,0.5,kappa_z,-0.7352100470913289,4.959117619677378e-49,281
confirmatory,0.9,omega_z,0.18462871591713162,0.0018841729998578167,281
confirmatory,0.9,kappa_z,-0.6930679263596535,1.5093506815255163e-41,281
