sample,mediator,outcome,a,b,c_total,c_direct,indirect,ci_lo,ci_hi,p_boot,prop_mediated
exploratory,mean_confidence,AMI_Total,-0.2019980441248896,-0.25118528780854693,0.07635158761761669,0.025612650767342718,0.050738936850273954,0.014596863314535418,0.10046175247623955,0.0032,0.6645433111932685
exploratory,mean_confidence,AMI_Social,-0.2019980441248896,-0.260463623098844,0.08280018964632925,0.03018704721468037,0.052613142431648906,0.013778836351266924,0.10459287067908359,0.0032,0.6354229701209553
exploratory,mean_anxiety,DASS21_Anxiety,0.07536936033867664,0.25221921531975655,-0.05968572084052605,-0.07869532176429911,0.019009600923773004,-0.012188001634244876,0.0534199963009531,0.2284,-0.3184949541711099
exploratory,mean_anxiety,DASS21_Depression,0.07536936033867664,0.21221275877384127,-0.027855129723097703,-0.04384946960758807,0.015994339884490304,-0.010790824940082305,0.04363474228043231,0.2284,-0.5741972858675171
exploratory,mean_anxiety,OASIS_Total,0.07536936033867664,0.2219304203568743,-0.08187290777434447,-0.09859966159633578,0.016726753821991236,-0.011113594580464079,0.04712848392067641,0.2284,-0.20430145058598612
confirmatory,mean_confidence,AMI_Total,-0.14027624834807162,-0.13445905820725743,0.1460210965129706,0.12715968427124155,0.01886141224172906,1.2881391371769104e-05,0.047667525978003625,0.05,0.12916909057763212
confirmatory,mean_confidence,AMI_Social,-0.14027624834807162,-0.15156966831550273,0.1552432670371158,0.13398164260245551,0.021261624434660304,0.000685720491336271,0.049441290407278994,0.0424,0.13695682164159198
confirmatory,mean_anxiety,DASS21_Anxiety,-0.053263056127346574,0.1958152872922257,-0.02940668843523383,-0.018976967797595532,-0.010429720637638312,-0.03585833959674767,0.012182417632445229,0.3728,0.3546717156067757
confirmatory,mean_anxiety,DASS21_Depression,-0.053263056127346574,0.11622171015721229,-0.026919931671971507,-0.02072960820065172,-0.006190323471319804,-0.02701229999316125,0.007120579313258904,0.404,0.22995316432266596
confirmatory,mean_anxiety,OASIS_Total,-0.053263056127346574,0.17574449171341186,-0.06620445186202817,-0.05684376313582476,-0.00936068872620345,-0.032452047028287245,0.011361596467947281,0.3744,0.1413906234842239
