sample,mediator,predictor,outcome,a,b,indirect,lo,hi,p
exploratory,mean_confidence,log_kap,AMI_Total,-0.16123083806555408,-0.26853215894763643,0.04329566503468,0.006721433718342122,0.08832620061925466,0.022
exploratory,mean_confidence,log_kap,AMI_Social,-0.16123083806555408,-0.28111702324724425,0.04532473325264704,0.007108121246837286,0.09433825913865557,0.022
exploratory,mean_confidence,log_kap,DASS21_Anxiety,-0.16123083806555408,-0.11730642090661589,0.018913412553244312,-0.0029861577601152834,0.053959182132792605,0.11266666666666666
exploratory,mean_confidence,log_kap,DASS21_Depression,-0.16123083806555408,-0.19748179361942841,0.03184015508794923,0.003028884301242404,0.07164283233253584,0.027333333333333334
exploratory,mean_confidence,log_kap,OASIS_Total,-0.16123083806555408,-0.1618282698297641,0.026091707567351484,0.0009969932786076006,0.06329808568319277,0.037333333333333336
exploratory,mean_confidence,log_kap,PHQ9_Total,-0.16123083806555408,-0.1721657866704893,0.027758434071098386,0.0023159539025588197,0.06600183136746474,0.03
exploratory,mean_confidence,log_kap,STAI_Trait,-0.15753013110174677,0.17991314032922615,-0.02834174058298996,-0.0667204037336154,-0.00233395583000979,0.028666666666666667
confirmatory,mean_confidence,log_kap,AMI_Total,-0.1429179604607476,-0.14106322894127396,0.020160468976294376,0.0016130386448947997,0.04667264587906145,0.028666666666666667
confirmatory,mean_confidence,log_kap,AMI_Social,-0.1429179604607476,-0.17007482626012918,0.02430674729481366,0.004219487738382162,0.05156422767865028,0.013333333333333334
confirmatory,mean_confidence,log_kap,DASS21_Anxiety,-0.1429179604607476,0.09566741843043854,-0.01367259232462321,-0.038884323368924424,0.004100835199027292,0.15
confirmatory,mean_confidence,log_kap,DASS21_Depression,-0.1429179604607476,-0.0618626306364311,0.008841280999295292,-0.011855520010219254,0.03257189528155225,0.35933333333333334
confirmatory,mean_confidence,log_kap,OASIS_Total,-0.1429179604607476,-0.02538981147314853,0.003628660072225277,-0.017714992649093392,0.023566031758875915,0.73
confirmatory,mean_confidence,log_kap,PHQ9_Total,-0.1429179604607476,-0.03553797689762662,0.005079015177109962,-0.016666378437979534,0.02649451477406431,0.586
confirmatory,mean_confidence,log_kap,STAI_Trait,-0.14530513393777533,0.09693858334248642,-0.014085673836318187,-0.038319644918445646,0.005871075231011572,0.16333333333333333
