sample,clinical,tracker,b,lo,hi,sig
exploratory,DASS21_Anxiety,track_T_z,0.012,-0.103,0.134,False
exploratory,DASS21_Anxiety,track_S_z,0.025,-0.089,0.143,False
exploratory,DASS21_Depression,track_T_z,0.05,-0.073,0.165,False
exploratory,DASS21_Depression,track_S_z,0.026,-0.095,0.141,False
exploratory,AMI_Total,track_T_z,0.064,-0.057,0.178,False
exploratory,AMI_Total,track_S_z,0.011,-0.108,0.128,False
exploratory,AMI_Social,track_T_z,0.122,0.012,0.246,True
exploratory,AMI_Social,track_S_z,-0.044,-0.162,0.071,False
exploratory,PHQ9_Total,track_T_z,0.004,-0.113,0.125,False
exploratory,PHQ9_Total,track_S_z,0.037,-0.083,0.154,False
exploratory,STAI_Trait,track_T_z,-0.056,-0.176,0.064,False
exploratory,STAI_Trait,track_S_z,0.055,-0.056,0.179,False
exploratory,OASIS_Total,track_T_z,-0.01,-0.13,0.103,False
exploratory,OASIS_Total,track_S_z,0.054,-0.067,0.17,False
confirmatory,DASS21_Anxiety,track_T_z,-0.072,-0.188,0.052,False
confirmatory,DASS21_Anxiety,track_S_z,0.009,-0.116,0.125,False
confirmatory,DASS21_Depression,track_T_z,0.087,-0.032,0.207,False
confirmatory,DASS21_Depression,track_S_z,-0.14,-0.257,-0.022,True
confirmatory,AMI_Total,track_T_z,0.154,0.041,0.271,True
confirmatory,AMI_Total,track_S_z,-0.159,-0.272,-0.039,True
confirmatory,AMI_Social,track_T_z,0.171,0.057,0.294,True
confirmatory,AMI_Social,track_S_z,-0.148,-0.266,-0.033,True
confirmatory,PHQ9_Total,track_T_z,0.064,-0.056,0.183,False
confirmatory,PHQ9_Total,track_S_z,-0.1,-0.218,0.019,False
confirmatory,STAI_Trait,track_T_z,-0.105,-0.223,0.012,False
confirmatory,STAI_Trait,track_S_z,0.118,0.002,0.235,True
confirmatory,OASIS_Total,track_T_z,0.141,0.02,0.254,True
confirmatory,OASIS_Total,track_S_z,-0.152,-0.272,-0.033,True
