sample,term,b,lo,hi,sig
exploratory,threat_z,-1.31,-1.368,-1.258,True
exploratory,dist_z,-0.93,-0.98,-0.88,True
exploratory,omega_z,-1.147,-1.209,-1.087,True
exploratory,kappa_z,-0.505,-0.558,-0.454,True
exploratory,threat_z:omega_z,-0.075,-0.133,-0.014,True
exploratory,dist_z:omega_z,0.041,-0.015,0.1,False
exploratory,threat_z:kappa_z,0.031,-0.025,0.085,False
exploratory,dist_z:kappa_z,0.023,-0.03,0.074,False
confirmatory,threat_z,-1.177,-1.234,-1.128,True
confirmatory,dist_z,-0.84,-0.889,-0.791,True
confirmatory,omega_z,-1.148,-1.208,-1.093,True
confirmatory,kappa_z,-0.416,-0.466,-0.366,True
confirmatory,threat_z:omega_z,-0.151,-0.207,-0.094,True
confirmatory,dist_z:omega_z,-0.025,-0.077,0.03,False
confirmatory,threat_z:kappa_z,-0.026,-0.077,0.027,False
confirmatory,dist_z:kappa_z,-0.041,-0.089,0.013,False
