sample,scale,term,b,lo,hi,sig
exploratory,DASS21_Stress,omega_z,-0.054,-0.18,0.072,False
exploratory,DASS21_Stress,kappa_z,-0.034,-0.164,0.091,False
confirmatory,DASS21_Stress,omega_z,-0.1,-0.229,0.023,False
confirmatory,DASS21_Stress,kappa_z,0.101,-0.022,0.223,False
exploratory,DASS21_Anxiety,omega_z,-0.049,-0.172,0.073,False
exploratory,DASS21_Anxiety,kappa_z,-0.028,-0.148,0.1,False
confirmatory,DASS21_Anxiety,omega_z,-0.035,-0.155,0.093,False
confirmatory,DASS21_Anxiety,kappa_z,0.021,-0.103,0.151,False
exploratory,AMI_Social,omega_z,0.115,-0.006,0.24,False
exploratory,AMI_Social,kappa_z,-0.088,-0.208,0.04,False
confirmatory,AMI_Social,omega_z,0.162,0.036,0.282,True
confirmatory,AMI_Social,kappa_z,-0.024,-0.148,0.096,False
exploratory,AMI_Emotional,omega_z,0.125,0.002,0.253,True
exploratory,AMI_Emotional,kappa_z,-0.067,-0.192,0.055,False
confirmatory,AMI_Emotional,omega_z,0.083,-0.038,0.206,False
confirmatory,AMI_Emotional,kappa_z,0.021,-0.108,0.141,False
exploratory,MFIS_Physical,omega_z,-0.036,-0.158,0.088,False
exploratory,MFIS_Physical,kappa_z,-0.053,-0.177,0.071,False
confirmatory,MFIS_Physical,omega_z,-0.041,-0.162,0.083,False
confirmatory,MFIS_Physical,kappa_z,0.051,-0.077,0.17,False
