,F1,F2,F3
DASS21_Stress,0.7835380871687317,-0.3754511905009716,-0.21550494741209433
DASS21_Anxiety,0.8402220834612232,-0.24458472366223818,-0.003137743218840772
DASS21_Depression,0.662591674751648,-0.3527657392979625,-0.5117883064212384
AMI_Behavioural,0.22454988367512246,-0.404774160823887,-0.5543592015138367
AMI_Social,0.11801943889298311,-0.18465763693654108,-0.6157763385155504
AMI_Emotional,-0.34682824287050923,0.23924985947410618,-0.16450518820750992
MFIS_Physical,0.4894090884452692,-0.7704697840942167,-0.09523256068325402
MFIS_Cognitive,0.4648133159149405,-0.7485041167459949,-0.2421365428641945
MFIS_Psychosocial,0.39441188478257266,-0.6696953345935108,-0.3401795614005665
OASIS_Total,0.7085393172917154,-0.4211656506688113,-0.20138063691940034
PHQ9_Total,0.7176932748104285,-0.4033216979239599,-0.38590177617759186
STICSA_Total,0.860807963702563,-0.338148050013541,-0.09600386048007402
STAI_Trait,-0.5348197763772555,0.38230104019496275,0.34998148256666434
