sample,factor,param,r,p,n,p_fdr
exploratory,F1,omega_z,-0.05812095392359276,0.3256631423785427,288,0.376318170560629
exploratory,F1,kappa_z,-0.027297999466173697,0.6445592215525179,288,0.6445592215525179
exploratory,F1,angle_z,-0.046215754194343504,0.43461783372512774,288,0.6519267505876917
exploratory,F2,omega_z,0.05232331191394271,0.376318170560629,288,0.376318170560629
exploratory,F2,kappa_z,0.06538393762246611,0.2687436517513712,288,0.4873179179130557
exploratory,F2,angle_z,0.010697936984229668,0.8565515433562498,288,0.8565515433562498
exploratory,F3,omega_z,-0.0702062942832086,0.23494182319705167,288,0.376318170560629
exploratory,F3,kappa_z,0.058215117128226884,0.3248786119420371,288,0.4873179179130557
exploratory,F3,angle_z,0.05341377743987022,0.36643854459211583,288,0.6519267505876917
confirmatory,F1,omega_z,-0.07705926722071811,0.198585408245477,280,0.2978781123682155
confirmatory,F1,kappa_z,0.04229562453484883,0.48087831834996375,280,0.48087831834996375
confirmatory,F1,angle_z,0.046088921352668295,0.44238414237900836,280,0.44238414237900836
confirmatory,F2,omega_z,0.006237325485990553,0.917245112720991,280,0.917245112720991
confirmatory,F2,kappa_z,-0.05267946849969106,0.37985544242240715,280,0.48087831834996375
confirmatory,F2,angle_z,-0.09279480230096829,0.12134515706310749,280,0.2079783279637519
confirmatory,F3,omega_z,-0.0788845718829905,0.18812764544705005,280,0.2978781123682155
confirmatory,F3,kappa_z,-0.11060675153326806,0.06457340693058668,280,0.19372022079176004
confirmatory,F3,angle_z,-0.08871873226042891,0.13865221864250127,280,0.2079783279637519
