sample,scale,param,r,p,n,p_fdr,sig_uncorr,sig_fdr
exploratory,DASS21_Stress,omega_z,-0.06745967855400063,0.2521510412570948,290,0.6413089325479985,False,False
exploratory,DASS21_Stress,kappa_z,-0.05473796168001164,0.352980016420717,290,0.7242520306341659,False,False
exploratory,DASS21_Stress,angle_z,-0.06325521427254828,0.282992730388309,290,0.7357810990096034,False,False
exploratory,DASS21_Anxiety,omega_z,-0.05968572084052608,0.3110961255114495,290,0.6413089325479985,False,False
exploratory,DASS21_Anxiety,kappa_z,-0.04663297944553834,0.4288671202283652,290,0.7242520306341659,False,False
exploratory,DASS21_Anxiety,angle_z,-0.06567899889115203,0.26491616204572,290,0.7357810990096034,False,False
exploratory,DASS21_Depression,omega_z,-0.027855129723097727,0.6366422016125195,290,0.7523953291784321,False,False
exploratory,DASS21_Depression,kappa_z,-0.08953910976007666,0.1281926565630136,290,0.6779557618524179,False,False
exploratory,DASS21_Depression,angle_z,-0.10128421003760321,0.08510775835778071,290,0.7357810990096034,False,False
exploratory,AMI_Behavioural,omega_z,-0.005630047351049714,0.9239471362784066,290,0.9239471362784066,False,False
exploratory,AMI_Behavioural,kappa_z,-0.0028085062446790354,0.9620185582653716,290,0.9620185582653716,False,False
exploratory,AMI_Behavioural,angle_z,0.010645184545953567,0.856757591412381,290,0.8570443976169172,False,False
exploratory,AMI_Social,omega_z,0.08280018964632929,0.15961648551804924,290,0.6413089325479985,False,False
exploratory,AMI_Social,kappa_z,-0.04495375086222641,0.4456935573133329,290,0.7242520306341659,False,False
exploratory,AMI_Social,angle_z,-0.03883188130875799,0.5101041251844242,290,0.8570443976169172,False,False
exploratory,AMI_Emotional,omega_z,0.10007451430121676,0.08892043415803398,290,0.6413089325479985,False,False
exploratory,AMI_Emotional,kappa_z,-0.02000771280736069,0.7343976772636785,290,0.8679245276752565,False,False
exploratory,AMI_Emotional,angle_z,-0.012332585135173263,0.8343566956498542,290,0.8570443976169172,False,False
exploratory,MFIS_Physical,omega_z,-0.05527245108566239,0.3491314417422159,289,0.6413089325479985,False,False
exploratory,MFIS_Physical,kappa_z,-0.06636849424264987,0.2607522160970838,289,0.6779557618524179,False,False
exploratory,MFIS_Physical,angle_z,-0.034497789036829866,0.5591566409009525,289,0.8570443976169172,False,False
exploratory,MFIS_Cognitive,omega_z,-0.05025744890324794,0.39465165079876835,289,0.6413089325479985,False,False
exploratory,MFIS_Cognitive,kappa_z,-0.07159669429732261,0.2249667442426681,289,0.6779557618524179,False,False
exploratory,MFIS_Cognitive,angle_z,-0.020053076420834984,0.7342639753616796,289,0.8570443976169172,False,False
exploratory,MFIS_Psychosocial,omega_z,-0.020969176723332688,0.7226119826858274,289,0.7828296479096463,False,False
exploratory,MFIS_Psychosocial,kappa_z,-0.07372054857497279,0.2114753952602608,289,0.6779557618524179,False,False
exploratory,MFIS_Psychosocial,angle_z,-0.0699660175127618,0.23573247347215506,289,0.7357810990096034,False,False
exploratory,OASIS_Total,omega_z,-0.0818729077743445,0.16435911104403256,290,0.6413089325479985,False,False
exploratory,OASIS_Total,kappa_z,-0.03078882050898073,0.6015491417587923,290,0.8679245276752565,False,False
exploratory,OASIS_Total,angle_z,-0.07347145208011235,0.21223011345036996,290,0.7357810990096034,False,False
exploratory,PHQ9_Total,omega_z,-0.039505216484149605,0.5027904184386285,290,0.6779939091174625,False,False
exploratory,PHQ9_Total,kappa_z,-0.0810116054556246,0.1688581473558234,290,0.6779557618524179,False,False
exploratory,PHQ9_Total,angle_z,-0.041397179631001806,0.4825388848980686,290,0.8570443976169172,False,False
exploratory,STICSA_Total,omega_z,-0.037789576263395026,0.5215337762442019,290,0.6779939091174625,False,False
exploratory,STICSA_Total,kappa_z,-0.02254932958515666,0.7021710649649096,290,0.8679245276752565,False,False
exploratory,STICSA_Total,angle_z,-0.010623639222135033,0.8570443976169172,290,0.8570443976169172,False,False
