scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
DASS21_Anxiety,pre_at_lowT,exploratory,290,0.1920627858113143,-0.04410635112529007,0.05326400154366244,0.40832099999056337,0.2590569895279471,8.824350674681373e-06,-0.4597121620806004,2.435995925133146e-14,False
DASS21_Anxiety,pre_at_lowT,confirmatory,279,0.2385050462257049,0.010090352545960492,0.05269715893176609,0.8482923258012824,0.27162489066546425,3.956390659914012e-06,-0.514784723692209,1.5169423211289976e-17,False
DASS21_Anxiety,pre_at_midT,exploratory,290,0.15621627590096043,-0.04193989587102794,0.05443278512199321,0.4416455060241957,0.24943670303451776,2.726304599159064e-05,-0.4098295271963687,1.7030969148934104e-11,False
DASS21_Anxiety,pre_at_midT,confirmatory,279,0.23761048870875634,0.00466718731656837,0.05272810254016052,0.9295324002302571,0.2761268177631905,2.806075103174569e-06,-0.5126105906896751,2.0698439986435447e-17,False
DASS21_Anxiety,pre_at_highT,exploratory,290,0.18425263274946957,-0.06542616785685358,0.053520828115184826,0.22254656382049595,0.3243012190058838,4.1097252235067434e-08,-0.41806049374339027,3.3634102140216062e-12,False
DASS21_Anxiety,pre_at_highT,confirmatory,279,0.24691427471484406,-0.019898697306655375,0.05240538243254948,0.7044558893920019,0.3145653600024468,9.44237579682878e-08,-0.5120732980908982,1.49054223115677e-17,False
DASS21_Anxiety,pre_slope_T,exploratory,290,0.05499992853947333,-0.062160040509507304,0.05760509601239217,0.2814648740608549,0.21240697232712863,0.0006891778337095052,0.02385608388345582,0.7000392630010123,False
DASS21_Anxiety,pre_slope_T,confirmatory,279,0.04378688408236342,-0.11040527588202176,0.05905151375614314,0.06259591213858082,0.18748085928954117,0.0040281263827102644,-0.04281944485430077,0.4984903318918945,False
DASS21_Anxiety,abs_peak_strike,exploratory,290,0.21271503155792815,0.026909621603800934,0.05257883558150692,0.6091889447361659,0.129237830956004,0.022904385395749096,-0.4911951883360899,2.6711214899093195e-16,False
DASS21_Anxiety,abs_peak_strike,confirmatory,279,0.2779575530789612,0.010454692121119586,0.051313903303922055,0.8387074055313578,0.21905196578126543,0.0001210703490739857,-0.5644451937723252,3.410455526864824e-21,False
DASS21_Anxiety,peak_post,exploratory,290,0.5930971146646624,-0.020399798640051654,0.038022216695063296,0.5920155981877595,0.2675456139374196,3.6250652980589367e-10,-0.3763923496026749,1.2894946232309427e-17,True
DASS21_Anxiety,accel_post,exploratory,290,0.039971578849051004,0.029563465862157284,0.05806133660112894,0.6110211524725282,0.1794642353856726,0.004325079310326704,-0.17303404294156977,0.0058791612125771,False
DASS21_Depression,pre_at_lowT,exploratory,290,0.1999596126361728,0.09956749483820426,0.053104044945568175,0.06181838819143816,0.26063246727493117,6.9250686212406475e-06,-0.44932093327293293,7.446837601835804e-14,False
