scale,scale_type,term,n,beta,hdi_lo,hdi_hi,sig
DASS21_Anxiety,anxiety,omega_z,571,-0.044,-0.137,0.042,False
DASS21_Anxiety,anxiety,kappa_z,571,-0.004,-0.093,0.085,False
DASS21_Anxiety,anxiety,omega_z:kappa_z,571,0.004,-0.07,0.079,False
OASIS_Total,anxiety,omega_z,571,-0.087,-0.173,0.007,False
OASIS_Total,anxiety,kappa_z,571,0.028,-0.063,0.115,False
OASIS_Total,anxiety,omega_z:kappa_z,571,0.022,-0.05,0.1,False
STAI_Trait,anxiety,omega_z,569,0.028,-0.054,0.12,False
STAI_Trait,anxiety,kappa_z,569,-0.101,-0.189,-0.012,True
STAI_Trait,anxiety,omega_z:kappa_z,569,0.012,-0.063,0.085,False
STAI_State,anxiety,omega_z,571,-0.023,-0.108,0.067,False
STAI_State,anxiety,kappa_z,571,0.072,-0.016,0.161,False
STAI_State,anxiety,omega_z:kappa_z,571,-0.006,-0.079,0.07,False
STICSA_Total,anxiety,omega_z,571,-0.046,-0.134,0.041,False
STICSA_Total,anxiety,kappa_z,571,0.048,-0.039,0.141,False
STICSA_Total,anxiety,omega_z:kappa_z,571,-0.026,-0.1,0.052,False
DASS21_Depression,depression,omega_z,571,-0.03,-0.118,0.06,False
DASS21_Depression,depression,kappa_z,571,-0.001,-0.09,0.085,False
DASS21_Depression,depression,omega_z:kappa_z,571,0.023,-0.054,0.094,False
PHQ9_Total,depression,omega_z,571,-0.054,-0.138,0.04,False
PHQ9_Total,depression,kappa_z,571,0.006,-0.08,0.096,False
PHQ9_Total,depression,omega_z:kappa_z,571,0.007,-0.066,0.08,False
DASS21_Stress,stress,omega_z,571,-0.081,-0.165,0.012,False
DASS21_Stress,stress,kappa_z,571,0.031,-0.057,0.118,False
DASS21_Stress,stress,omega_z:kappa_z,571,0.015,-0.06,0.091,False
DASS21_Total,composite,omega_z,571,-0.055,-0.146,0.031,False
DASS21_Total,composite,kappa_z,571,0.007,-0.086,0.094,False
DASS21_Total,composite,omega_z:kappa_z,571,0.017,-0.058,0.092,False
AMI_Behavioural,apathy,omega_z,571,0.014,-0.082,0.099,False
AMI_Behavioural,apathy,kappa_z,571,0.064,-0.024,0.152,False
AMI_Behavioural,apathy,omega_z:kappa_z,571,-0.036,-0.111,0.038,False
AMI_Social,apathy,omega_z,571,0.137,0.046,0.223,True
AMI_Social,apathy,kappa_z,571,-0.055,-0.142,0.033,False
AMI_Social,apathy,omega_z:kappa_z,571,-0.003,-0.079,0.07,False
AMI_Emotional,apathy,omega_z,571,0.103,0.015,0.188,True
AMI_Emotional,apathy,kappa_z,571,-0.019,-0.107,0.069,False
AMI_Emotional,apathy,omega_z:kappa_z,571,-0.015,-0.09,0.062,False
AMI_Total,apathy,omega_z,571,0.114,0.028,0.203,True
AMI_Total,apathy,kappa_z,571,-0.0,-0.084,0.091,False
AMI_Total,apathy,omega_z:kappa_z,571,-0.025,-0.103,0.047,False
MFIS_Physical,fatigue,omega_z,570,-0.035,-0.121,0.053,False
MFIS_Physical,fatigue,kappa_z,570,0.011,-0.082,0.094,False
MFIS_Physical,fatigue,omega_z:kappa_z,570,-0.068,-0.141,0.009,False
MFIS_Cognitive,fatigue,omega_z,570,-0.035,-0.123,0.054,False
MFIS_Cognitive,fatigue,kappa_z,570,0.018,-0.068,0.107,False
MFIS_Cognitive,fatigue,omega_z:kappa_z,570,-0.044,-0.121,0.03,False
MFIS_Psychosocial,fatigue,omega_z,570,-0.002,-0.09,0.09,False
MFIS_Psychosocial,fatigue,kappa_z,570,0.012,-0.075,0.099,False
MFIS_Psychosocial,fatigue,omega_z:kappa_z,570,-0.02,-0.098,0.054,False
MFIS_Total,fatigue,omega_z,570,-0.033,-0.121,0.058,False
MFIS_Total,fatigue,kappa_z,570,0.015,-0.069,0.109,False
MFIS_Total,fatigue,omega_z:kappa_z,570,-0.053,-0.127,0.02,False
