scale,scale_type,spec,term,n,beta,hdi_lo,hdi_hi,sig
DASS21_Anxiety,anxiety,with_interaction,omega_z,571,-0.029,-0.116,0.058,False
DASS21_Anxiety,anxiety,with_interaction,kappa_z,571,-0.01,-0.097,0.079,False
DASS21_Anxiety,anxiety,with_interaction,omega_z:kappa_z,571,0.006,-0.07,0.079,False
DASS21_Anxiety,anxiety,main_effects_only,omega_z,571,-0.029,-0.116,0.058,False
DASS21_Anxiety,anxiety,main_effects_only,kappa_z,571,-0.009,-0.097,0.076,False
OASIS_Total,anxiety,with_interaction,omega_z,571,-0.09,-0.175,0.0,False
OASIS_Total,anxiety,with_interaction,kappa_z,571,0.028,-0.061,0.114,False
OASIS_Total,anxiety,with_interaction,omega_z:kappa_z,571,0.027,-0.049,0.104,False
OASIS_Total,anxiety,main_effects_only,omega_z,571,-0.089,-0.179,-0.005,True
OASIS_Total,anxiety,main_effects_only,kappa_z,571,0.031,-0.054,0.12,False
STAI_Trait,anxiety,with_interaction,omega_z,569,0.044,-0.052,0.127,False
STAI_Trait,anxiety,with_interaction,kappa_z,569,-0.102,-0.19,-0.013,True
STAI_Trait,anxiety,with_interaction,omega_z:kappa_z,569,-0.007,-0.084,0.066,False
STAI_Trait,anxiety,main_effects_only,omega_z,569,0.042,-0.044,0.127,False
STAI_Trait,anxiety,main_effects_only,kappa_z,569,-0.103,-0.193,-0.019,True
STAI_State,anxiety,with_interaction,omega_z,571,-0.031,-0.121,0.053,False
STAI_State,anxiety,with_interaction,kappa_z,571,0.07,-0.019,0.156,False
STAI_State,anxiety,with_interaction,omega_z:kappa_z,571,0.011,-0.057,0.089,False
STAI_State,anxiety,main_effects_only,omega_z,571,-0.03,-0.112,0.061,False
STAI_State,anxiety,main_effects_only,kappa_z,571,0.073,-0.012,0.159,False
STICSA_Total,anxiety,with_interaction,omega_z,571,-0.048,-0.133,0.043,False
STICSA_Total,anxiety,with_interaction,kappa_z,571,0.044,-0.04,0.135,False
STICSA_Total,anxiety,with_interaction,omega_z:kappa_z,571,-0.013,-0.09,0.061,False
STICSA_Total,anxiety,main_effects_only,omega_z,571,-0.049,-0.132,0.044,False
STICSA_Total,anxiety,main_effects_only,kappa_z,571,0.043,-0.048,0.127,False
DASS21_Depression,depression,with_interaction,omega_z,571,-0.041,-0.126,0.048,False
DASS21_Depression,depression,with_interaction,kappa_z,571,-0.006,-0.095,0.077,False
DASS21_Depression,depression,with_interaction,omega_z:kappa_z,571,0.044,-0.032,0.117,False
DASS21_Depression,depression,main_effects_only,omega_z,571,-0.038,-0.127,0.048,False
DASS21_Depression,depression,main_effects_only,kappa_z,571,0.001,-0.086,0.088,False
PHQ9_Total,depression,with_interaction,omega_z,571,-0.058,-0.149,0.029,False
PHQ9_Total,depression,with_interaction,kappa_z,571,0.003,-0.086,0.089,False
PHQ9_Total,depression,with_interaction,omega_z:kappa_z,571,0.023,-0.053,0.099,False
PHQ9_Total,depression,main_effects_only,omega_z,571,-0.055,-0.14,0.034,False
PHQ9_Total,depression,main_effects_only,kappa_z,571,0.006,-0.086,0.091,False
DASS21_Stress,stress,with_interaction,omega_z,571,-0.075,-0.163,0.011,False
DASS21_Stress,stress,with_interaction,kappa_z,571,0.024,-0.061,0.111,False
DASS21_Stress,stress,with_interaction,omega_z:kappa_z,571,0.026,-0.046,0.103,False
DASS21_Stress,stress,main_effects_only,omega_z,571,-0.073,-0.16,0.013,False
DASS21_Stress,stress,main_effects_only,kappa_z,571,0.029,-0.055,0.119,False
DASS21_Total,composite,with_interaction,omega_z,571,-0.053,-0.138,0.036,False
DASS21_Total,composite,with_interaction,kappa_z,571,0.002,-0.086,0.09,False
DASS21_Total,composite,with_interaction,omega_z:kappa_z,571,0.029,-0.047,0.104,False
DASS21_Total,composite,main_effects_only,omega_z,571,-0.052,-0.139,0.036,False
DASS21_Total,composite,main_effects_only,kappa_z,571,0.008,-0.08,0.097,False
AMI_Behavioural,apathy,with_interaction,omega_z,571,-0.015,-0.103,0.072,False
AMI_Behavioural,apathy,with_interaction,kappa_z,571,0.067,-0.021,0.157,False
AMI_Behavioural,apathy,with_interaction,omega_z:kappa_z,571,-0.015,-0.091,0.062,False
AMI_Behavioural,apathy,main_effects_only,omega_z,571,-0.017,-0.105,0.071,False
AMI_Behavioural,apathy,main_effects_only,kappa_z,571,0.066,-0.022,0.152,False
AMI_Social,apathy,with_interaction,omega_z,571,0.091,0.002,0.176,True
AMI_Social,apathy,with_interaction,kappa_z,571,-0.042,-0.134,0.043,False
AMI_Social,apathy,with_interaction,omega_z:kappa_z,571,0.013,-0.062,0.087,False
AMI_Social,apathy,main_effects_only,omega_z,571,0.093,0.008,0.18,True
AMI_Social,apathy,main_effects_only,kappa_z,571,-0.04,-0.124,0.051,False
AMI_Emotional,apathy,with_interaction,omega_z,571,0.055,-0.033,0.142,False
AMI_Emotional,apathy,with_interaction,kappa_z,571,-0.005,-0.093,0.083,False
AMI_Emotional,apathy,with_interaction,omega_z:kappa_z,571,0.0,-0.077,0.073,False
AMI_Emotional,apathy,main_effects_only,omega_z,571,0.055,-0.032,0.144,False
AMI_Emotional,apathy,main_effects_only,kappa_z,571,-0.004,-0.089,0.084,False
AMI_Total,apathy,with_interaction,omega_z,571,0.058,-0.031,0.146,False
AMI_Total,apathy,with_interaction,kappa_z,571,0.014,-0.074,0.104,False
AMI_Total,apathy,with_interaction,omega_z:kappa_z,571,-0.001,-0.08,0.071,False
AMI_Total,apathy,main_effects_only,omega_z,571,0.057,-0.03,0.143,False
AMI_Total,apathy,main_effects_only,kappa_z,571,0.013,-0.074,0.101,False
MFIS_Physical,fatigue,with_interaction,omega_z,570,-0.031,-0.12,0.057,False
MFIS_Physical,fatigue,with_interaction,kappa_z,570,0.006,-0.083,0.093,False
MFIS_Physical,fatigue,with_interaction,omega_z:kappa_z,570,-0.055,-0.125,0.024,False
MFIS_Physical,fatigue,main_effects_only,omega_z,570,-0.035,-0.121,0.053,False
MFIS_Physical,fatigue,main_effects_only,kappa_z,570,-0.004,-0.092,0.085,False
MFIS_Cognitive,fatigue,with_interaction,omega_z,570,-0.038,-0.128,0.047,False
MFIS_Cognitive,fatigue,with_interaction,kappa_z,570,0.015,-0.077,0.102,False
MFIS_Cognitive,fatigue,with_interaction,omega_z:kappa_z,570,-0.029,-0.102,0.046,False
MFIS_Cognitive,fatigue,main_effects_only,omega_z,570,-0.04,-0.129,0.047,False
MFIS_Cognitive,fatigue,main_effects_only,kappa_z,570,0.01,-0.082,0.093,False
MFIS_Psychosocial,fatigue,with_interaction,omega_z,570,-0.001,-0.088,0.085,False
MFIS_Psychosocial,fatigue,with_interaction,kappa_z,570,0.006,-0.08,0.094,False
MFIS_Psychosocial,fatigue,with_interaction,omega_z:kappa_z,570,-0.002,-0.077,0.072,False
MFIS_Psychosocial,fatigue,main_effects_only,omega_z,570,-0.001,-0.089,0.087,False
MFIS_Psychosocial,fatigue,main_effects_only,kappa_z,570,0.006,-0.08,0.093,False
MFIS_Total,fatigue,with_interaction,omega_z,570,-0.032,-0.117,0.055,False
MFIS_Total,fatigue,with_interaction,kappa_z,570,0.01,-0.08,0.094,False
MFIS_Total,fatigue,with_interaction,omega_z:kappa_z,570,-0.039,-0.111,0.039,False
MFIS_Total,fatigue,main_effects_only,omega_z,570,-0.035,-0.118,0.053,False
MFIS_Total,fatigue,main_effects_only,kappa_z,570,0.003,-0.083,0.094,False
