,F1,F2
DASS21_Anxiety,0.8596010431542299,-0.143316293597723
DASS21_Depression,0.7193663973704434,-0.46861854816389903
DASS21_Stress,0.8242649184826073,-0.35927778645076713
PHQ9_Total,0.7564167683419778,-0.4627401646078899
OASIS_Total,0.7723988921859193,-0.3925026393452398
STAI_Trait,-0.5890317254319826,0.491714317592084
STAI_State,0.7102741907854708,-0.43111129477934906
STICSA_Total,0.8561177282644584,-0.3161004993510411
AMI_Behavioural,0.24579275731682393,-0.5697585225542761
AMI_Social,0.1348700902106242,-0.409687348509356
AMI_Emotional,-0.2564034978293035,0.0304514764157823
MFIS_Physical,0.5449185627268044,-0.6921128296861593
MFIS_Cognitive,0.5560310437423721,-0.7156596798683309
MFIS_Psychosocial,0.4411723695763486,-0.7505572461722798
