n,beta,se,t,p,group,predictor,scale
569,-0.003180276737867834,0.04206786701986432,-0.0755987161499326,0.9397650704676387,per_condition,p_heavy_T0.1,STAI_Trait
571,-0.018284695701222025,0.04199129122863826,-0.43544018691075104,0.6634083624277355,per_condition,p_heavy_T0.1,DASS21_Anxiety
571,0.0402416239950296,0.04198016863079038,0.9585865256747528,0.3381749261959078,per_condition,p_heavy_T0.1,OASIS_Total
571,-0.0013187193274277328,0.0420302788726216,-0.031375459854175336,0.974981133183386,per_condition,p_heavy_T0.1,STICSA_Total
571,0.058877215137108335,0.04135252544875577,1.4237876525841024,0.1550570380498405,per_condition,p_heavy_T0.1,AMI_Total
571,0.09906263176888493,0.041623307888848333,2.379979794816492,0.01764262589966508,per_condition,p_heavy_T0.1,AMI_Behavioural
571,0.05851714790743031,0.04160237230952204,1.4065819966241873,0.1600982494056533,per_condition,p_heavy_T0.1,AMI_Social
571,-0.06651335795847411,0.041518298506438345,-1.6020251395456324,0.10970600032001751,per_condition,p_heavy_T0.1,AMI_Emotional
571,0.05835045658460274,0.041915619351954814,1.392093388735325,0.1644389233224703,per_condition,p_heavy_T0.1,DASS21_Depression
571,0.06531715126949621,0.04193823817488388,1.5574605446495264,0.11991816122955427,per_condition,p_heavy_T0.1,PHQ9_Total
570,0.061555107575153534,0.04199236711063904,1.4658641989143342,0.1432396161586254,per_condition,p_heavy_T0.1,MFIS_Total
569,0.039431857887008114,0.041973210442200315,0.9394529861209497,0.34789895578440294,per_condition,p_heavy_T0.5,STAI_Trait
571,0.03700743256468886,0.04191028783757896,0.8830154712396429,0.3776014749790885,per_condition,p_heavy_T0.5,DASS21_Anxiety
571,0.04113626527991371,0.041919314094598516,0.9813200947678267,0.3268527092539021,per_condition,p_heavy_T0.5,OASIS_Total
571,0.004021673340643903,0.04197067548425685,0.09582102966516294,0.9236965114552388,per_condition,p_heavy_T0.5,STICSA_Total
571,-0.12678619271641647,0.041024317560769755,-3.090513145736227,0.002095970291593761,per_condition,p_heavy_T0.5,AMI_Total
571,-0.0734321273920044,0.04165752509124532,-1.7627578026097568,0.07847908013985391,per_condition,p_heavy_T0.5,AMI_Behavioural
571,-0.11790728476088669,0.04132085452742012,-2.853457076562745,0.00448230512679903,per_condition,p_heavy_T0.5,AMI_Social
571,-0.07708665747349135,0.041427205282028465,-1.8607737825590738,0.06329263751802841,per_condition,p_heavy_T0.5,AMI_Emotional
571,0.017204232639519305,0.041921608827889305,0.4103905627799713,0.681674223506227,per_condition,p_heavy_T0.5,DASS21_Depression
571,0.031769991354541345,0.041947220002936575,0.7573801399071796,0.44913622470271125,per_condition,p_heavy_T0.5,PHQ9_Total
570,-0.019608068448308914,0.04200218287491098,-0.46683450968976503,0.6407976102210142,per_condition,p_heavy_T0.5,MFIS_Total
569,0.043606455384837726,0.0419520189615401,1.0394363957742856,0.29904564330420463,per_condition,p_heavy_T0.9,STAI_Trait
571,0.06191370803188959,0.04184515356147077,1.4795908907572295,0.13953685103334965,per_condition,p_heavy_T0.9,DASS21_Anxiety
571,0.025064953513390793,0.04192831307724015,0.5978049597945009,0.5502083442951113,per_condition,p_heavy_T0.9,OASIS_Total
571,0.031385223970429726,0.0419370052549216,0.7483897283472919,0.4545348827789612,per_condition,p_heavy_T0.9,STICSA_Total
571,-0.17730738727698664,0.04067996174455357,-4.3585927732767695,1.5539610386740184e-05,per_condition,p_heavy_T0.9,AMI_Total
571,-0.12024551414589958,0.041452117663595,-2.9008292199147228,0.003865913335058166,per_condition,p_heavy_T0.9,AMI_Behavioural
571,-0.16162689838198566,0.04104627092228906,-3.937675573208249,9.249660969850505e-05,per_condition,p_heavy_T0.9,AMI_Social
571,-0.08616873099045451,0.04138243193910091,-2.0822539167650147,0.03776625873157806,per_condition,p_heavy_T0.9,AMI_Emotional
571,-0.007836542363876917,0.04191320935137804,-0.18697070649444944,0.8517503641884661,per_condition,p_heavy_T0.9,DASS21_Depression
571,0.014678326141701052,0.041950537850399615,0.34989601787814095,0.7265464352451543,per_condition,p_heavy_T0.9,PHQ9_Total
570,-0.0019440997428042217,0.04199657038521167,-0.04629186919246151,0.9630939191459583,per_condition,p_heavy_T0.9,MFIS_Total
569,0.08907377526392311,0.04182407190744562,2.129725088964042,0.03362511458808456,per_condition,vigor_T0.1,STAI_Trait
571,-0.011626866176769364,0.0419228563625951,-0.27733955139428956,0.7816202997230867,per_condition,vigor_T0.1,DASS21_Anxiety
571,-0.06185104106340884,0.04186111102973661,-1.4775298491115565,0.1400879103955558,per_condition,vigor_T0.1,OASIS_Total
571,-0.037600280603647535,0.04192798345104923,-0.8967824710087889,0.37021492814448304,per_condition,vigor_T0.1,STICSA_Total
571,-0.0005199873290980184,0.04135463118543967,-0.012573859666800703,0.9899721909381226,per_condition,vigor_T0.1,AMI_Total
571,-0.061277019562331,0.04167879036957972,-1.470220681045857,0.14205569736116933,per_condition,vigor_T0.1,AMI_Behavioural
571,0.03931871552392494,0.0415699951208804,0.9458436405775604,0.34463052729340693,per_condition,vigor_T0.1,AMI_Social
571,0.034881850754207716,0.041514263232400546,0.8402377409165618,0.4011286421767258,per_condition,vigor_T0.1,AMI_Emotional
571,-0.023728685674489276,0.0419026512322505,-0.5662812489589304,0.571426271096823,per_condition,vigor_T0.1,DASS21_Depression
571,-0.013883984411392273,0.041950992791867335,-0.3309572309831923,0.7407988461606712,per_condition,vigor_T0.1,PHQ9_Total
570,0.0013929285924835126,0.04199673367437058,0.0331675459164001,0.9735526506885137,per_condition,vigor_T0.1,MFIS_Total
569,0.09686366035533119,0.04179427121627514,2.3176300850919356,0.020825162858052783,per_condition,vigor_T0.5,STAI_Trait
571,-0.014763319078036989,0.041920471622128634,-0.3521744509726329,0.7248380619347872,per_condition,vigor_T0.5,DASS21_Anxiety
571,-0.06191628686336345,0.04186029310405283,-1.4791173752524165,0.13966330631142584,per_condition,vigor_T0.5,OASIS_Total
571,-0.03968833005766616,0.04192394744751039,-0.9466744539587244,0.344207246601078,per_condition,vigor_T0.5,STICSA_Total
571,-0.012212154518605342,0.041350824403709435,-0.29533037598906575,0.7678494374469242,per_condition,vigor_T0.5,AMI_Total
571,-0.06823202506427807,0.04165911636712659,-1.6378653945267139,0.10200359504637767,per_condition,vigor_T0.5,AMI_Behavioural
571,0.029043025770415693,0.041584225843438134,0.698414487256797,0.4852038562440371,per_condition,vigor_T0.5,AMI_Social
571,0.027207439296441118,0.0415237249157552,0.6552263640037239,0.5125872928416134,per_condition,vigor_T0.5,AMI_Emotional
571,-0.022044066582785394,0.041903624494229685,-0.5260658677824148,0.599047776470815,per_condition,vigor_T0.5,DASS21_Depression
571,-0.013010450055079188,0.04195083862827496,-0.31013563686686624,0.7565715699677508,per_condition,vigor_T0.5,PHQ9_Total
570,-0.003034071866528802,0.041996090792040974,-0.0722465307914758,0.9424311924982826,per_condition,vigor_T0.5,MFIS_Total
569,0.10375220135638624,0.04176407461504629,2.484245187106518,0.013270737280537874,per_condition,vigor_T0.9,STAI_Trait
571,-0.01199731858776261,0.04192221495452617,-0.2861804558937625,0.7748442571531728,per_condition,vigor_T0.9,DASS21_Anxiety
571,-0.06499639132039148,0.041852261441520607,-1.5529959214082072,0.12098109213568439,per_condition,vigor_T0.9,OASIS_Total
571,-0.03864439881178912,0.04192585372912932,-0.9217319475820166,0.3570597440573731,per_condition,vigor_T0.9,STICSA_Total
571,-0.018255638068608283,0.04134709087208145,-0.44152170524129736,0.6590033815018734,per_condition,vigor_T0.9,AMI_Total
571,-0.07286788915708284,0.04164548089638646,-1.749718999244538,0.08070682697932294,per_condition,vigor_T0.9,AMI_Behavioural
571,0.02637983350697039,0.04158753787899082,0.6343206367188414,0.5261269753298922,per_condition,vigor_T0.9,AMI_Social
571,0.02107784861177147,0.04153018615192262,0.5075308002392781,0.6119794365901406,per_condition,vigor_T0.9,AMI_Emotional
571,-0.020445635629367388,0.041905240222241846,-0.48790164478082515,0.6258077845163177,per_condition,vigor_T0.9,DASS21_Depression
571,-0.019738549091572553,0.04194640405062104,-0.4705659409505524,0.6381313781657798,per_condition,vigor_T0.9,PHQ9_Total
570,-0.011922510993003113,0.04199347770632543,-0.2839133990373757,0.7765803921130423,per_condition,vigor_T0.9,MFIS_Total
569,-0.07568884169905873,0.04187514293714085,-1.8074885574164112,0.07121692149461241,per_condition,anxiety_T0.1,STAI_Trait
571,0.1808278176891888,0.0412357134833288,4.3852234486568475,1.3809768381778324e-05,per_condition,anxiety_T0.1,DASS21_Anxiety
571,0.11470733123438628,0.041666666614189385,2.7529759530925193,0.006094517133748853,per_condition,anxiety_T0.1,OASIS_Total
571,0.1495596493872752,0.041487986343840454,3.604890537414084,0.0003397372070397009,per_condition,anxiety_T0.1,STICSA_Total
571,-0.08095071006565319,0.041217134943822134,-1.9640062361439452,0.05001663088523514,per_condition,anxiety_T0.1,AMI_Total
571,-0.05016443644135085,0.041707177601144514,-1.202777059648703,0.22956372925720903,per_condition,anxiety_T0.1,AMI_Behavioural
571,-0.050699177620095695,0.04155052728256855,-1.220181329476539,0.22290249181730606,per_condition,anxiety_T0.1,AMI_Social
571,-0.07883043074628382,0.04141039137361546,-1.9036388725490396,0.057462376505035384,per_condition,anxiety_T0.1,AMI_Emotional
571,0.09650206194785406,0.04172069238088761,2.3130503460211504,0.02107621289590737,per_condition,anxiety_T0.1,DASS21_Depression
571,0.09537113551092216,0.04176601817906257,2.283462481437409,0.02277153317209554,per_condition,anxiety_T0.1,PHQ9_Total
570,0.07105243169162972,0.04189180598468092,1.6960937830565797,0.0904170360275451,per_condition,anxiety_T0.1,MFIS_Total
569,-0.1697713745059096,0.04138290987711958,-4.102451350328446,4.688371807610305e-05,per_condition,anxiety_T0.5,STAI_Trait
571,0.20722356368777145,0.041015321172786785,5.052345264219508,5.891749700468089e-07,per_condition,anxiety_T0.5,DASS21_Anxiety
571,0.20083930149364546,0.041087310490774326,4.888110199832661,1.326634016836537e-06,per_condition,anxiety_T0.5,OASIS_Total
571,0.2122930472745946,0.04100235882022852,5.177581324171521,3.124779810408928e-07,per_condition,anxiety_T0.5,STICSA_Total
571,0.007856880777246864,0.04135442990809858,0.18998885475406407,0.8493857412025202,per_condition,anxiety_T0.5,AMI_Total
571,0.03959391766904657,0.0417260783408839,0.9489010049202682,0.3430745104342324,per_condition,anxiety_T0.5,AMI_Behavioural
571,0.07293460517484862,0.041491127674344076,1.7578361751769773,0.07931399761602878,per_condition,anxiety_T0.5,AMI_Social
