model,outcome,rsq,betas,ps
params only,AMI_Behavioural,0.013204431790575288,"{'omega_z': 0.01291108435955444, 'kappa_z': 0.05468315558319228}","{'omega_z': 0.7783983145739933, 'kappa_z': 0.2175154873621843}"
shift only,AMI_Behavioural,0.0399988148627235,{'p_heavy_shift': -0.17466421601396773},{'p_heavy_shift': 2.5989049800344483e-05}
affect intercepts only,AMI_Behavioural,0.04222915185056064,"{'confidence_intercept': -0.1804264086409214, 'anxiety_intercept': 0.022566273637756165}","{'confidence_intercept': 1.4612120097198535e-05, 'anxiety_intercept': 0.5832904098046748}"
all together,AMI_Behavioural,0.0775686373405613,"{'omega_z': -0.0014520251579537337, 'kappa_z': 0.05666096951169327, 'p_heavy_shift': -0.18854725880686898, 'confidence_intercept': -0.17394715738913494, 'anxiety_intercept': 0.04404127225112232}","{'omega_z': 0.9742087954814669, 'kappa_z': 0.1924440933557314, 'p_heavy_shift': 5.8541546184500465e-06, 'confidence_intercept': 3.1349375184533825e-05, 'anxiety_intercept': 0.2802606224494233}"
params only,AMI_Total,0.040691398506780274,"{'omega_z': 0.11615449539712891, 'kappa_z': -0.007967212317981106}","{'omega_z': 0.010456516674556871, 'kappa_z': 0.8553124883259596}"
shift only,AMI_Total,0.059308187629056874,{'p_heavy_shift': -0.17543034611409142},{'p_heavy_shift': 1.984297214284557e-05}
affect intercepts only,AMI_Total,0.07052152762182351,"{'confidence_intercept': -0.2035133331623496, 'anxiety_intercept': -0.02315808578821534}","{'confidence_intercept': 7.408110128311181e-07, 'anxiety_intercept': 0.5676816432943934}"
all together,AMI_Total,0.10973966648903455,"{'omega_z': 0.09964955164577846, 'kappa_z': -0.007490815560641502, 'p_heavy_shift': -0.18433122421361284, 'confidence_intercept': -0.19000383586961325, 'anxiety_intercept': -0.002420782614627396}","{'omega_z': 0.024233976773320228, 'kappa_z': 0.8606645702181318, 'p_heavy_shift': 6.483059156393846e-06, 'confidence_intercept': 3.820731507725913e-06, 'anxiety_intercept': 0.9518029038660288}"
params only,DASS21_Anxiety,0.0035789009874407363,"{'omega_z': -0.04430172345944652, 'kappa_z': -0.0036023905306556614}","{'omega_z': 0.33677495073276176, 'kappa_z': 0.9355228068973064}"
shift only,DASS21_Anxiety,0.005113831563545279,{'p_heavy_shift': 0.05911610460352242},{'p_heavy_shift': 0.1590977557673487}
affect intercepts only,DASS21_Anxiety,0.050709894891857066,"{'confidence_intercept': -0.013043542577060696, 'anxiety_intercept': 0.22146958405242403}","{'confidence_intercept': 0.7509704364521105, 'anxiety_intercept': 9.258783638776948e-08}"
all together,DASS21_Anxiety,0.05471229048065929,"{'omega_z': -0.05124091778603445, 'kappa_z': -0.013692212259709857, 'p_heavy_shift': 0.03902534384767132, 'confidence_intercept': -0.02327409846634599, 'anxiety_intercept': 0.21786399542139148}","{'omega_z': 0.25999834661973276, 'kappa_z': 0.755531043798437, 'p_heavy_shift': 0.34995443023446654, 'confidence_intercept': 0.5792544861639936, 'anxiety_intercept': 1.8338315689308402e-07}"
params only,DASS21_Depression,0.002922139334758156,"{'omega_z': -0.027179746188581332, 'kappa_z': -0.0032228873024076838}","{'omega_z': 0.5556794366205313, 'kappa_z': 0.9423217137695723}"
shift only,DASS21_Depression,0.00578366442598266,{'p_heavy_shift': -0.060256970719648285},{'p_heavy_shift': 0.15108173515159964}
affect intercepts only,DASS21_Depression,0.04727814345972492,"{'confidence_intercept': -0.1330299200241817, 'anxiety_intercept': 0.1692096038458004}","{'confidence_intercept': 0.0012985560541601293, 'anxiety_intercept': 4.2320048449017965e-05}"
all together,DASS21_Depression,0.056236232542192566,"{'omega_z': -0.04425795435406752, 'kappa_z': -0.012449431201548374, 'p_heavy_shift': -0.07741304604909637, 'confidence_intercept': -0.14313295737012066, 'anxiety_intercept': 0.17944599909964074}","{'omega_z': 0.33014749693794415, 'kappa_z': 0.7769277754305468, 'p_heavy_shift': 0.06381486426869276, 'confidence_intercept': 0.0006844739945415285, 'anxiety_intercept': 1.5908749368013393e-05}"
