scale,F,p,HH_mean,HL_mean,LH_mean,LL_mean,n_HH,n_HL,n_LH,n_LL
DASS21_Anxiety,0.27490138505860723,0.8435190120009518,8.53061224489796,8.745762711864407,8.144927536231885,7.845238095238095,147,118,138,168
DASS21_Depression,1.5290991239254685,0.20588238871484457,12.73469387755102,10.423728813559322,10.101449275362318,10.535714285714286,147,118,138,168
DASS21_Stress,0.6428896870805072,0.5876759645720551,12.19047619047619,11.711864406779661,10.81159420289855,10.880952380952381,147,118,138,168
DASS21_Total,0.7685460046849166,0.5119483875844495,33.45578231292517,30.88135593220339,29.057971014492754,29.261904761904763,147,118,138,168
PHQ9_Total,1.9259623162033304,0.12422745182263231,8.537414965986395,7.466101694915254,6.768115942028985,7.285714285714286,147,118,138,168
OASIS_Total,0.4705620851729986,0.7029175976994886,6.503401360544218,6.101694915254237,5.920289855072464,5.928571428571429,147,118,138,168
STAI_Trait,0.9673036668438059,0.4077730832856814,51.17687074829932,51.92372881355932,52.10948905109489,51.191616766467064,147,118,137,167
STAI_State,0.3234558612063911,0.8084155968216371,42.93877551020408,41.347457627118644,42.094202898550726,42.75,147,118,138,168
STICSA_Total,0.15322495942398004,0.927610025323416,36.27210884353742,36.69491525423729,35.608695652173914,35.904761904761905,147,118,138,168
AMI_Behavioural,1.090306326408468,0.35262929204325905,9.115646258503402,7.940677966101695,8.615942028985508,8.93452380952381,147,118,138,168
AMI_Social,3.2682035467162582,0.021012492229484123,11.65986394557823,10.05084745762712,12.0,11.375,147,118,138,168
AMI_Emotional,0.9797162404830199,0.4018914690425769,6.3061224489795915,5.771186440677966,6.478260869565218,6.464285714285714,147,118,138,168
AMI_Total,2.9907763133702385,0.030512931122469018,27.081632653061224,23.76271186440678,27.094202898550726,26.773809523809526,147,118,138,168
MFIS_Physical,0.3659826851520714,0.7775924947835721,12.653061224489797,11.627118644067796,11.802919708029197,11.851190476190476,147,118,137,168
MFIS_Cognitive,0.48920288843998017,0.689906736175434,13.92517006802721,12.61864406779661,12.86861313868613,13.029761904761905,147,118,137,168
MFIS_Psychosocial,1.1458624981433285,0.32992651491979064,3.3401360544217686,2.7796610169491527,3.167883211678832,3.1547619047619047,147,118,137,168
MFIS_Total,0.5170195767366571,0.6707097091529262,29.918367346938776,27.02542372881356,27.83941605839416,28.035714285714285,147,118,137,168
