scale,scale_type,term,n,beta,hdi_lo,hdi_hi,sig
DASS21_Anxiety,anxiety,angle_z,571,-0.01,-0.094,0.07,False
DASS21_Anxiety,anxiety,magnitude_z,571,0.008,-0.073,0.091,False
DASS21_Anxiety,anxiety,angle_z:magnitude_z,571,-0.007,-0.097,0.082,False
DASS21_Depression,depression,angle_z,571,-0.009,-0.093,0.073,False
DASS21_Depression,depression,magnitude_z,571,-0.009,-0.095,0.069,False
DASS21_Depression,depression,angle_z:magnitude_z,571,0.043,-0.048,0.127,False
DASS21_Stress,stress,angle_z,571,-0.002,-0.079,0.086,False
DASS21_Stress,stress,magnitude_z,571,-0.013,-0.093,0.071,False
DASS21_Stress,stress,angle_z:magnitude_z,571,0.04,-0.051,0.128,False
PHQ9_Total,depression,angle_z,571,0.016,-0.069,0.096,False
PHQ9_Total,depression,magnitude_z,571,0.001,-0.078,0.087,False
PHQ9_Total,depression,angle_z:magnitude_z,571,0.021,-0.062,0.113,False
OASIS_Total,anxiety,angle_z,571,-0.018,-0.104,0.063,False
OASIS_Total,anxiety,magnitude_z,571,-0.02,-0.098,0.07,False
OASIS_Total,anxiety,angle_z:magnitude_z,571,0.022,-0.065,0.113,False
STAI_Trait,anxiety,angle_z,569,-0.104,-0.184,-0.022,True
STAI_Trait,anxiety,magnitude_z,569,0.0,-0.081,0.082,False
STAI_Trait,anxiety,angle_z:magnitude_z,569,-0.053,-0.14,0.035,False
STAI_State,anxiety,angle_z,571,0.069,-0.015,0.153,False
STAI_State,anxiety,magnitude_z,571,0.04,-0.041,0.123,False
STAI_State,anxiety,angle_z:magnitude_z,571,0.087,-0.003,0.174,False
STICSA_Total,anxiety,angle_z,571,0.045,-0.039,0.126,False
STICSA_Total,anxiety,magnitude_z,571,0.036,-0.048,0.118,False
STICSA_Total,anxiety,angle_z:magnitude_z,571,0.063,-0.024,0.155,False
AMI_Behavioural,apathy,angle_z,571,0.081,0.0,0.167,False
AMI_Behavioural,apathy,magnitude_z,571,-0.079,-0.159,0.005,False
AMI_Behavioural,apathy,angle_z:magnitude_z,571,0.06,-0.03,0.145,False
AMI_Social,apathy,angle_z,571,0.009,-0.072,0.091,False
AMI_Social,apathy,magnitude_z,571,-0.079,-0.16,0.006,False
AMI_Social,apathy,angle_z:magnitude_z,571,0.009,-0.076,0.099,False
AMI_Emotional,apathy,angle_z,571,0.001,-0.082,0.083,False
AMI_Emotional,apathy,magnitude_z,571,0.009,-0.07,0.092,False
AMI_Emotional,apathy,angle_z:magnitude_z,571,0.029,-0.061,0.117,False
AMI_Total,apathy,angle_z,571,0.048,-0.035,0.128,False
AMI_Total,apathy,magnitude_z,571,-0.079,-0.161,0.004,False
AMI_Total,apathy,angle_z:magnitude_z,571,0.047,-0.037,0.14,False
MFIS_Physical,fatigue,angle_z,570,0.032,-0.053,0.117,False
MFIS_Physical,fatigue,magnitude_z,570,-0.022,-0.108,0.058,False
MFIS_Physical,fatigue,angle_z:magnitude_z,570,0.027,-0.06,0.115,False
MFIS_Cognitive,fatigue,angle_z,570,0.032,-0.054,0.111,False
MFIS_Cognitive,fatigue,magnitude_z,570,-0.005,-0.086,0.08,False
MFIS_Cognitive,fatigue,angle_z:magnitude_z,570,0.033,-0.053,0.122,False
MFIS_Psychosocial,fatigue,angle_z,570,0.025,-0.056,0.108,False
MFIS_Psychosocial,fatigue,magnitude_z,570,-0.033,-0.113,0.051,False
MFIS_Psychosocial,fatigue,angle_z:magnitude_z,570,-0.009,-0.097,0.079,False
MFIS_Total,fatigue,angle_z,570,0.032,-0.053,0.114,False
MFIS_Total,fatigue,magnitude_z,570,-0.016,-0.1,0.064,False
MFIS_Total,fatigue,angle_z:magnitude_z,570,0.027,-0.057,0.121,False
