test,value,N,p_value
1_p_esc_empirical,0.38919582565991406,6516.0,
1_p_esc_T0.1,0.2,615.0,
1_p_esc_T0.5,0.3601750547045952,2285.0,
1_p_esc_T0.9,0.439712389380531,3616.0,
1_logit_T0.1_heavy_OR,1.4417182899359091,3015.0,0.039461000153689106
1_rpb_T0.1_heavy,0.03768410499971665,3015.0,0.038539146399999356
1_logit_T0.1_light_OR,1.5773598920099432,1357.0,0.06271045468238702
1_rpb_T0.1_light,0.051464553328356984,1357.0,0.05804823721684486
1_logit_T0.5_heavy_OR,1.3408942196458662,1728.0,0.04395023249329901
1_rpb_T0.5_heavy,0.0500651717638942,1728.0,0.037436730155078056
1_logit_T0.5_light_OR,2.1101390565606595,2589.0,6.165713921935668e-07
1_rpb_T0.5_light,0.10898460560458001,2589.0,2.709112174519692e-08
1_logit_T0.9_heavy_OR,0.933263745926101,870.0,0.7492200566329998
1_rpb_T0.9_heavy,-0.01084027840110653,870.0,0.7495051336473609
1_logit_T0.9_light_OR,1.6560283857003233,3407.0,4.661277645191247e-05
1_rpb_T0.9_light,0.07243043114478179,3407.0,2.3189415797798865e-05
1_attack_logit_T0.1_heavy_OR,0.8608903184089269,446.0,0.7896067238046351
1_attack_rpb_T0.1_heavy,-0.012635177856583869,446.0,0.7901618302260816
1_attack_logit_T0.1_light_OR,1.2325732222342387,169.0,0.7198102246167797
1_attack_rpb_T0.1_light,0.027631596350134333,169.0,0.7213816254584613
1_attack_logit_T0.5_heavy_OR,0.8732732037491829,957.0,0.48346318332909877
1_attack_rpb_T0.5_heavy,-0.022890920951324705,957.0,0.4793754988914468
1_attack_logit_T0.5_light_OR,2.5385222787319552,1328.0,2.708284740772779e-05
1_attack_rpb_T0.5_light,0.11447167960268091,1328.0,2.897581420783291e-05
1_attack_logit_T0.9_heavy_OR,0.5771181912790009,698.0,0.03946590295246433
1_attack_rpb_T0.9_heavy,-0.07907391797609527,698.0,0.036740564632739794
1_attack_logit_T0.9_light_OR,1.7296307546420473,2918.0,0.00011147775531466784
1_attack_rpb_T0.9_light,0.07323618783947038,2918.0,7.503356532814215e-05
1_attack_overall_press_OR,1.7591729777094782,6516.0,1.1324707518383833e-08
1_attack_overall_rpb,0.08000560737916806,6516.0,9.975503882393059e-11
2_baseline_BIC,14474.0902933816,293.0,0.7966628744785741
2_alpha_model_BIC,14442.165607045541,293.0,0.7938566552901024
2_alpha_best,0.6373737373737373,,
2_alpha_vs_baseline_dBIC,-31.924686336058585,,
2B_friedman_chi2,35.99097472924184,293.0,1.5298862394379095e-08
2B_ce_r_T01_T05,0.485168730664061,293.0,1.0463151116215734e-18
2B_ce_r_T01_T09,0.24651718453799787,293.0,1.9749702984088205e-05
2B_ce_r_T05_T09,0.5401550025643606,293.0,1.3619721408068697e-23
2_prelec_alpha,1.7251256281407037,3.0,
3A_heuristic_BIC,13991.320332273805,293.0,0.8076602199469094
3B_effort_only_BIC,28961.15088622843,293.0,0.6930602957906712
3C_rl_BIC,20238.46199777782,293.0,0.5664770572620402
3_comparison_min_bic_model,13991.320332273805,5.0,
4_policy_alignment_mean,0.7933257489571482,293.0,
4_policy_alignment_sd,0.10086359694333842,293.0,
4_calibration_alignment_r,0.16542017848576498,293.0,0.00452525810861473
4_calibration_alignment_partial_r,0.23817747605058953,293.0,3.8061301798558374e-05
4_discrepancy_alignment_r,0.010113012432152341,293.0,0.8631456081756992
5_dR2_point,0.002711080400498611,293.0,0.2251951983895672
5_dR2_CI_lo,1.4917563103905574e-05,1000.0,
5_dR2_CI_hi,0.021992215092615112,1000.0,
5_bonferroni_p,1.0,5.0,
5_f_squared,0.0051116368262256375,,
5_N_needed_80pct,1540.0,,
