clinical_measure,R2,R2_adj,F_stat,F_pvalue,beta_ce,t_ce,p_ce,partial_r2_ce,beta_cd,t_cd,p_cd,partial_r2_cd,beta_eps,t_eps,p_eps,partial_r2_eps
DASS21_Stress,0.01305354116034707,0.002737027653312407,1.2653054882781913,0.2865040523530156,-0.10167812555214628,-1.5637187528781293,0.11898557179281172,0.008447941786836995,-0.06253070625874095,-0.7927672588233396,0.42856827829314265,0.0021850406705988153,-0.0104752694642781,-0.13333964421141342,0.8940182213875467,6.1945502999265e-05
DASS21_Anxiety,0.012161127817023831,0.0018352859475154748,1.1777371734632995,0.31846823069050684,-0.09200887075997388,-1.414374944531503,0.1583357660560388,0.006921983819880895,-0.0725200434953366,-0.9189971576007683,0.3588687703884362,0.0029340689574704573,-0.0365967733575048,-0.46562964820103114,0.6418337632066208,0.0007548686602017969
DASS21_Depression,0.011684793734778265,0.001353972763364908,1.1310614874762974,0.3367781683892175,-0.08742959838526007,-1.343657728186519,0.1801204366750231,0.006251323520710971,-0.028002255307989915,-0.3547680006155185,0.723023950394406,0.0004383455189797633,0.047442824600330905,0.6034811148483465,0.5466653190818108,0.0012673446077886945
AMI_Behavioural,0.0020089099799538435,-0.008423052633496075,0.19257258239822742,0.9014177664103467,0.042332739872331555,0.6474272214699321,0.5178730054873247,0.0014583648639610249,-0.035943831547769485,-0.4531690137090932,0.6507694611761796,0.0007150359361161638,0.039464032184915614,0.49955005335168806,0.6177746771275866,0.0008687576902433545
AMI_Social,0.01123757212346721,0.000902076361691706,1.0872794476901404,0.3547930383871721,-0.05144316064866851,-0.7904230121523229,0.4299333967508873,0.0021721652878343993,0.07494892871084413,0.9493330928016612,0.343249933334729,0.003130355888692032,0.06723399769079808,0.8550349011702273,0.3932450257477357,0.0025408609675475874
AMI_Emotional,0.016513915526901624,0.006233573180493002,1.6063585209952258,0.18804601408667931,0.025393485294788784,0.3912155534074952,0.6959281898825614,0.0005329896702689044,0.13930919075022444,1.769272910100007,0.07791029344029007,0.010789380988776657,0.06150305626224303,0.7842480959767409,0.4335413444201039,0.0021384315131377446
MFIS_Physical,0.005434544885083659,-0.00496160969799897,0.522745678861589,0.6669665756520158,-0.05761446057327329,-0.8826585338817731,0.3781594894987847,0.002707236644700497,-0.007311027684270354,-0.09233384295938915,0.9264972178733344,2.9704826850183054e-05,0.03872161805159854,0.49099570885500166,0.6238047081749072,0.0008392838127867645
MFIS_Cognitive,0.006643452353615076,-0.003740065566033568,0.6398074722868029,0.5899469436802034,-0.06357977286606985,-0.9746401597963913,0.33055954268936194,0.003298918887478993,-0.02564787211164386,-0.3241141027586583,0.7460877310424208,0.00036589377868747626,0.03837571875749952,0.4869056659706887,0.6266968274209853,0.0008253709093728182
MFIS_Psychosocial,0.01842781246552616,0.008167476010462082,1.7960241894826703,0.1480566168152301,-0.12837447796831475,-1.9796821994130922,0.048694441049796006,0.013471583853075945,0.00655782191329553,0.08336767017196615,0.933617311532203,2.421602830810554e-05,0.030402429976050457,0.3880503323496433,0.698266454065787,0.0005244045087137273
OASIS_Total,0.016545087893916066,0.006265071391065136,1.6094417639628757,0.1873211517543127,-0.0917099576763831,-1.4129187088276594,0.15876317543763493,0.006907835866517785,-0.09881613466218653,-1.2550175619658173,0.21049334803060576,0.005458091323895265,-0.06347209710336636,-0.8093688870014955,0.4189734838042267,0.0022773037757979914
PHQ9_Total,0.006148506402269049,-0.004240185168438826,0.5918460819075052,0.6207959722374725,-0.058830072709356945,-0.9016054898655097,0.36802246783207654,0.002824378200745197,-0.031810976768861146,-0.4018976116829654,0.6880585037873603,0.0005624767877176941,0.03784376399842688,0.4800367238663377,0.6315669274850504,0.0008022661528007559
STICSA_Total,0.0015720572548524325,-0.008864471763389448,0.1506302768003304,0.9292342561697283,-0.015305846475564397,-0.23403289183838305,0.8151262997726639,0.0001908046823125997,-0.040393388360105274,-0.509156262432733,0.6110339238014705,0.0009024604377725435,-0.018950235673758812,-0.23982648205037116,0.8106359727417134,0.00020036660995870472
STAI_Trait,0.01272682619090948,0.0024068975448214847,1.2332281188527228,0.29786092618841886,0.1045807279365301,1.6080920386825621,0.1089145033537233,0.008929852831369009,-0.08483702047813475,-1.0753897864178632,0.28310346141483606,0.0040133168623684955,0.10900987347979114,1.3873564332468027,0.16640944325523238,0.006661796265026883
