parameter,clinical_measure,r,p_uncorrected,n,p_fdr,sig_fdr
ce,DASS21_Stress,-0.05892517559785107,0.31647280728913646,291,0.726214207789985,False
ce,DASS21_Anxiety,-0.049061092024004625,0.4043826274077965,291,0.726214207789985,False
ce,DASS21_Depression,-0.040391900894243916,0.49249322409446145,291,0.726214207789985,False
ce,DASS21_Total,-0.0541013625647171,0.35778100103546556,291,0.726214207789985,False
ce,AMI_Behavioural,-0.001011662140737322,0.9862903131988445,291,0.9862903131988445,False
ce,AMI_Social,0.029647187195571086,0.6144882880312267,291,0.7461643497522039,False
ce,AMI_Emotional,0.06446132742299478,0.2730633231430706,291,0.726214207789985,False
ce,AMI_Total,0.03853435085157982,0.5126217937341071,291,0.726214207789985,False
ce,MFIS_Physical,-0.04362315905025534,0.45850826662557587,291,0.726214207789985,False
ce,MFIS_Cognitive,-0.05737632164892954,0.32938280917081764,291,0.726214207789985,False
ce,MFIS_Psychosocial,-0.046124400187047485,0.4331257358190161,291,0.726214207789985,False
ce,MFIS_Total,-0.053409963618185514,0.3639667590236593,291,0.726214207789985,False
ce,OASIS_Total,-0.06411127688417832,0.27568182953087034,291,0.726214207789985,False
ce,PHQ9_Total,-0.04758055448590378,0.41872908723352276,291,0.726214207789985,False
ce,STICSA_Total,-0.022251900883088024,0.7054290820460419,291,0.7994862929855142,False
ce,STAI_State,0.03929890398077205,0.5042857131071586,291,0.726214207789985,False
ce,STAI_Trait,-0.06403177665348081,0.27627888729445815,291,0.726214207789985,False
cd,DASS21_Stress,0.0339031436946894,0.5646011833692627,291,0.7461643497522039,False
cd,DASS21_Anxiety,0.011663438735045448,0.8429560657757618,291,0.90879148047589,False
cd,DASS21_Depression,0.06979692095684525,0.23523954564446398,291,0.726214207789985,False
cd,DASS21_Total,0.04607889355115917,0.43358019181912094,291,0.726214207789985,False
cd,AMI_Behavioural,-0.030766585621796592,0.6011806246841728,291,0.7461643497522039,False
cd,AMI_Social,0.08052913660291372,0.1706751657938037,291,0.726214207789985,False
cd,AMI_Emotional,0.06864659810001705,0.243064757339338,291,0.726214207789985,False
cd,AMI_Total,0.05045874889742039,0.39111146397242474,291,0.726214207789985,False
cd,MFIS_Physical,0.06089363417589074,0.3005485853708252,291,0.726214207789985,False
cd,MFIS_Cognitive,0.05658615827647776,0.3360979053810802,291,0.726214207789985,False
cd,MFIS_Psychosocial,0.08772863555616801,0.13544316846909246,291,0.726214207789985,False
cd,MFIS_Total,0.06611288831751774,0.26093768119083616,291,0.726214207789985,False
cd,OASIS_Total,-0.03118440673933783,0.5962468622623447,291,0.7461643497522039,False
cd,PHQ9_Total,0.05075665548497412,0.38831715068342576,291,0.726214207789985,False
cd,STICSA_Total,-0.010733561448626526,0.8553331580949552,291,0.90879148047589,False
cd,STAI_State,0.02388478496064149,0.6849276635760284,291,0.7994862929855142,False
cd,STAI_Trait,-0.006471536231801857,0.9124711246453211,291,0.9401217647860884,False
