clinical_measure,b_ce,p_ce,b_cd,p_cd,b_interaction,p_interaction,R2,R2_adj,f_stat,f_p
DASS21_Stress,-2.7748270302208824,0.15639696788756674,0.46483647788772425,0.31298769247300123,0.6038692650655552,0.2632642881312866,0.008506208536806836,-0.0018578380638536451,0.820742019460304,0.4832978998312766
DASS21_Anxiety,-0.9100805823386128,0.6001418106230274,0.07154439163058893,0.8610720567082745,0.08558594745815434,0.8581579896242958,0.002545382884491465,-0.007880971998248887,0.24412969950841287,0.8654802185869197
DASS21_Depression,-0.5050640305615884,0.8316075945458798,0.4957136189288841,0.3758422373945989,-0.019634479718403423,0.9760958520200583,0.005862428054546953,-0.004529253882165074,0.5641462171620107,0.6390697176422072
DASS21_Total,-4.189971643121083,0.4445890579336925,1.0320944884471974,0.4239927067600748,0.6698207328053062,0.6576826990333076,0.005150485498876645,-0.005248638346082801,0.49528071553576763,0.6858323691927056
AMI_Behavioural,0.3865802463089377,0.7259856188861775,-0.1773259748640678,0.49499123574206527,-0.13262585344881728,0.6629888404291232,0.0016349096882669611,-0.008800962335897333,0.15666248919891607,0.9253402799035813
AMI_Social,-0.2069257737377673,0.8443326983994949,0.3751708902639852,0.13138982741253297,0.16484742069969666,0.5708194794108986,0.009250498741490198,-0.00110576782218752,0.8932271764743988,0.44502624203413876
AMI_Emotional,0.06722933171966171,0.927166458219792,0.2408462916124085,0.16509828766300017,0.10794432084522565,0.5948242060267462,0.0111952194369217,0.0008592809641370103,1.0831352630822513,0.3565412824170839
AMI_Total,0.24688380429083087,0.902625457799977,0.4386912070123258,0.3563226738943305,0.14016588809610547,0.801228630290527,0.004847125280739939,-0.005555169576952679,0.46596691855503725,0.7062539700131926
MFIS_Physical,-0.7172543163239535,0.6711004987454076,0.34592604144103134,0.3847695482631112,0.07898367190159025,0.8653929721514476,0.005094977481862828,-0.0053047265862709025,0.4899156214910573,0.6895487964802296
MFIS_Cognitive,-0.7461918514110593,0.6823220903559476,0.3019588974286361,0.48201970001595157,0.014614599223743375,0.9768164713209261,0.005737789634539525,-0.004655195142799773,0.5520829441653878,0.6471278752395249
MFIS_Psychosocial,-0.2724682139446,0.5689014373348137,0.15108884820446972,0.1803882640243508,0.044895318644935255,0.7336372024982141,0.009308965304578809,-0.0010466901103558524,0.8989257494174233,0.4421251271715595
MFIS_Total,-1.735914381679613,0.6434411528531848,0.7989737870741377,0.3659211894784868,0.13849358977026913,0.893496593064669,0.006462891511694102,-0.0039225138035146045,0.6223051788098832,0.6010852631022513
OASIS_Total,-0.5723851952029317,0.5334993697198785,-0.10665052976524722,0.6222352976652392,0.027921977437583997,0.912302742605671,0.005754336484509293,-0.004638475329241443,0.5536842759815706,0.6460547913726313
PHQ9_Total,-0.33788057445029485,0.7874673844090874,0.1753947650005951,0.5524558698930739,-0.017094921879577517,0.9605653634579181,0.0042841093904424365,-0.006124070650772362,0.4116098466281309,0.7447844421307159
STICSA_Total,-0.26970549268812244,0.9188335302928204,-0.1511094925936323,0.8084623396915089,-0.06502048131688985,0.9290457374488319,0.0007132742234566836,-0.009732231620897425,0.06828527350278837,0.9767554595613429
STAI_State,0.14367442526792626,0.959190861849967,0.38599609944366997,0.5595378227299482,0.238099051316002,0.7585877259087309,0.0027344388300888367,-0.007689939858098294,0.26231192398905084,0.8525199810024118
STAI_Trait,-0.5249769341760137,0.6411702266950459,-0.06102735978536617,0.8180328474983076,-0.011193965064806568,0.9712604785552901,0.004332041448617874,-0.0060756375606298985,0.41623511301305344,0.7414773813972344
