parameter,outcome,r,p,analysis,F,mean_cautious,mean_lazy,mean_vigilant,mean_bold,R2,R2_adj,b_ce,p_ce,b_cd,p_cd,b_int,p_int
log_ce,p_heavy,-0.9756734303436445,7.613139700939163e-194,correlation,,,,,,,,,,,,,
log_ce,survival,0.23585449753928034,4.550438405523238e-05,correlation,,,,,,,,,,,,,
log_ce,total_earnings,-0.28695129726880014,5.84455298249332e-07,correlation,,,,,,,,,,,,,
log_ce,OASIS_Total,-0.06073461915910661,0.3001451917124019,correlation,,,,,,,,,,,,,
log_ce,AMI_Total,0.040613514061576816,0.48861993973635914,correlation,,,,,,,,,,,,,
log_ce,PHQ9_Total,-0.04667960848160477,0.42600605143666087,correlation,,,,,,,,,,,,,
log_ce,STAI_Trait,,,correlation,,,,,,,,,,,,,
log_cd,p_heavy,0.1521627290492732,0.009089211018052174,correlation,,,,,,,,,,,,,
log_cd,survival,-0.019563046929059913,0.7387826095051485,correlation,,,,,,,,,,,,,
log_cd,total_earnings,0.07383845506202676,0.2075867666704688,correlation,,,,,,,,,,,,,
log_cd,OASIS_Total,-0.03713299338876006,0.5266579916756586,correlation,,,,,,,,,,,,,
log_cd,AMI_Total,0.04271703534534035,0.4663658033174528,correlation,,,,,,,,,,,,,
log_cd,PHQ9_Total,0.046577581368880475,0.4270191127615432,correlation,,,,,,,,,,,,,
log_cd,STAI_Trait,,,correlation,,,,,,,,,,,,,
,p_heavy,,1.2650967955958297e-64,quadrant_anova,174.78993660633722,0.2697435897435897,0.2680216802168021,0.5915989159891598,0.5989583333333333,,,,,,,,
,survival,,6.347915030062825e-05,quadrant_anova,7.62651949672874,0.7162393162393164,0.7176151761517615,0.673170731707317,0.6180555555555556,,,,,,,,
,total_earnings,,0.0005805007670931846,quadrant_anova,5.972987871334141,3.769230769230769,2.902439024390244,29.926829268292682,10.125,,,,,,,,
,OASIS_Total,,0.29082368578301615,quadrant_anova,1.2529300000201002,5.569230769230769,5.829268292682927,6.926829268292683,6.390625,,,,,,,,
,AMI_Total,,0.040650628627224156,quadrant_anova,2.7934454750275153,27.661538461538463,27.524390243902438,30.536585365853657,25.734375,,,,,,,,
,PHQ9_Total,,0.05624149679513072,quadrant_anova,2.546008789094862,6.846153846153846,6.634146341463414,9.134146341463415,7.421875,,,,,,,,
,STAI_Trait,,,quadrant_anova,,51.41538461538462,,50.670731707317074,51.546875,,,,,,,,
,p_heavy,,,regression,,,,,,0.9530481644443586,0.9525607751479332,-0.30893252752911887,3.073918216596072e-108,0.005076537388447183,0.012919959226400936,0.004892516821152985,0.04090833861044586
,survival,,,regression,,,,,,0.05701582940361538,0.04722706638704399,0.06598858979265171,0.017025163473298445,-0.0011300961907085903,0.8613698993429784,-0.004669047658456316,0.5389374179387966
,total_earnings,,,regression,,,,,,0.08363520381049117,0.07412276647980431,-18.77830230215201,0.034099124738776944,0.9352337392118956,0.6523997964462088,-0.2735549982147533,0.9106249863157748
