domain,threat,distance_H,cookie_type,obs_mean,obs_sem,pred_mean,pred_sem,resid,n,choice_accuracy,choice_auc,vigor_r,vigor_r2,subj_choice_r,subj_vigor_r
choice,0.100000,1,all,0.808247,0.010324,0.847290,0.006346,-0.039042,1455,,,,,,
choice,0.100000,2,all,0.694578,0.012071,0.847752,0.006320,-0.153174,1457,,,,,,
choice,0.100000,3,all,0.566438,0.012974,0.846409,0.006339,-0.279971,1460,,,,,,
choice,0.500000,1,all,0.631469,0.012761,0.409834,0.008811,0.221635,1430,,,,,,
choice,0.500000,2,all,0.383287,0.012781,0.411661,0.008780,-0.028374,1448,,,,,,
choice,0.500000,3,all,0.187630,0.010296,0.409564,0.008779,-0.221934,1439,,,,,,
choice,0.900000,1,all,0.392681,0.012959,0.228863,0.007631,0.163818,1421,,,,,,
choice,0.900000,2,all,0.138365,0.009131,0.229092,0.007598,-0.090727,1431,,,,,,
choice,0.900000,3,all,0.080000,0.007189,0.229096,0.007652,-0.149096,1425,,,,,,
vigor,0.100000,all,Heavy,-0.021499,0.005015,0.254610,0.002751,-0.276110,3015,,,,,,
vigor,0.100000,all,Light,-0.041963,0.008656,0.045199,0.003295,-0.087162,1357,,,,,,
vigor,0.500000,all,Heavy,0.018181,0.008689,0.307870,0.003242,-0.289690,1728,,,,,,
vigor,0.500000,all,Light,-0.005150,0.006512,0.096658,0.002299,-0.101807,2589,,,,,,
vigor,0.900000,all,Heavy,0.038396,0.011160,0.319521,0.004643,-0.281125,870,,,,,,
vigor,0.900000,all,Light,0.020627,0.005340,0.113156,0.001959,-0.092529,3407,,,,,,
overall,,,,,,,,,12966,0.754435,0.819424,0.510258,0.260363,0.901035,0.717457
