outcome,model,feature_set,cv_r2_mean,cv_r2_std,l1_ratio,alpha,n_nonzero,nonzero_features,analysis
DASS21_Stress,ElasticNet,full,-0.04670422945923443,0.06736868887184802,0.1,0.675556,0.0,{},enet_clinical
DASS21_Anxiety,ElasticNet,full,-0.05117138266772694,0.054282692116806766,0.1,0.731017,0.0,{},enet_clinical
DASS21_Depression,ElasticNet,full,-0.04205846562496384,0.06701321232801118,0.1,0.888842,0.0,{},enet_clinical
DASS21_Total,ElasticNet,full,-0.04728685480882347,0.06853092091751356,0.1,0.855519,0.0,{},enet_clinical
AMI_Behavioural,ElasticNet,full,-0.052498109033895984,0.07825808638760316,0.1,0.823543,0.0,{},enet_clinical
AMI_Social,ElasticNet,full,-0.03498883637389823,0.03674680359229663,0.5,0.09415,2.0,"{'log_cd': np.float64(0.0311), 'calibration': np.float64(0.074)}",enet_clinical
AMI_Emotional,ElasticNet,full,-0.058560566564452896,0.05500733105005496,0.1,0.937466,0.0,{},enet_clinical
AMI_Total,ElasticNet,full,-0.03966520526352136,0.0611326241242375,0.1,0.672933,0.0,{},enet_clinical
MFIS_Physical,ElasticNet,full,-0.047663665037487916,0.0790172055167924,0.1,0.656986,0.0,{},enet_clinical
MFIS_Cognitive,ElasticNet,full,-0.04854835498303002,0.061969827084071324,0.1,0.857673,0.0,{},enet_clinical
MFIS_Psychosocial,ElasticNet,full,-0.03596745886313101,0.03453430926243862,0.1,1.059976,0.0,{},enet_clinical
MFIS_Total,ElasticNet,full,-0.05221979240656634,0.0651177932535668,0.1,0.848191,0.0,{},enet_clinical
OASIS_Total,ElasticNet,full,-0.04202714014886823,0.0630932443453329,0.1,0.683439,0.0,{},enet_clinical
PHQ9_Total,ElasticNet,full,-0.05156023557187642,0.06518812876942201,0.1,0.578947,1.0,{'log_cd_x_disc': np.float64(-0.0288)},enet_clinical
STICSA_Total,ElasticNet,full,-0.045658975155787075,0.06161056740980995,0.1,0.692869,0.0,{},enet_clinical
STAI_State,ElasticNet,full,-0.05168357871968636,0.06198055526479365,1.0,0.040492,3.0,"{'log_ce': np.float64(0.0153), 'calibration': np.float64(0.0872), 'log_cd_x_disc': np.float64(-0.0471)}",enet_clinical
STAI_Trait,ElasticNet,full,-0.049717759562222436,0.10605150197650344,0.1,1.083758,0.0,{},enet_clinical
F1_distress,ElasticNet,full,-0.04526581534887043,0.053862912679295376,0.1,0.674715,0.0,{},enet_factor
F2_fatigue,ElasticNet,full,-0.0447412261740374,0.06640714526223158,0.1,0.916912,0.0,{},enet_factor
F3_amotivation,ElasticNet,full,-0.03393299870321673,0.052297002143167085,0.1,0.619059,0.0,{},enet_factor
DASS21_Stress,Ridge,full,-0.04606882127407614,0.06970154840906555,,1000.0,,,ridge_all
DASS21_Anxiety,Ridge,full,-0.04706403802063172,0.04808627740884972,,1000.0,,,ridge_all
DASS21_Depression,Ridge,full,-0.03971854852432362,0.06596420421899066,,1000.0,,,ridge_all
DASS21_Total,Ridge,full,-0.04417053947080806,0.06797226750099163,,1000.0,,,ridge_all
AMI_Behavioural,Ridge,full,-0.05156774318643666,0.07897219217484006,,1000.0,,,ridge_all
AMI_Social,Ridge,full,-0.03931756505566657,0.03915734913543119,,323.745754,,,ridge_all
AMI_Emotional,Ridge,full,-0.05715979985045344,0.053950205607871636,,1000.0,,,ridge_all
AMI_Total,Ridge,full,-0.043585392450019585,0.06025435203588904,,1000.0,,,ridge_all
MFIS_Physical,Ridge,full,-0.050996349217719734,0.07945276933562113,,1000.0,,,ridge_all
MFIS_Cognitive,Ridge,full,-0.04558992871966099,0.06602936947564646,,1000.0,,,ridge_all
MFIS_Psychosocial,Ridge,full,-0.030868616074785284,0.03374914433288872,,1000.0,,,ridge_all
MFIS_Total,Ridge,full,-0.04604587415801726,0.06798813066627057,,1000.0,,,ridge_all
OASIS_Total,Ridge,full,-0.04008125007916769,0.06023538653429605,,1000.0,,,ridge_all
PHQ9_Total,Ridge,full,-0.045798159147010624,0.06256589698664208,,1000.0,,,ridge_all
STICSA_Total,Ridge,full,-0.046646120708278935,0.06243910228910538,,1000.0,,,ridge_all
STAI_State,Ridge,full,-0.04586329914847827,0.0581436505155254,,323.745754,,,ridge_all
STAI_Trait,Ridge,full,-0.0437608399931173,0.09757473987470429,,1000.0,,,ridge_all
F1_distress,Ridge,full,-0.05155102010833595,0.057368488986033014,,1000.0,,,ridge_all
F2_fatigue,Ridge,full,-0.04876348804449886,0.07141206738201539,,1000.0,,,ridge_all
F3_amotivation,Ridge,full,-0.0396815029739635,0.05252395724160655,,1000.0,,,ridge_all
