sample,outcome,parameterization,term,mean,hdi_lo,hdi_hi,r_hat,ess_bulk
exploratory,p_heavy,polar,angle_z,-0.097,-0.116,-0.079,1.0,12249
exploratory,p_heavy,polar,mag_z,-0.025,-0.044,-0.006,1.0,11065
exploratory,p_heavy,polar,ang_x_mag,-0.092,-0.113,-0.071,1.0,12112
exploratory,p_heavy,cartesian,omega_z,-0.154,-0.161,-0.147,1.0,8189
exploratory,p_heavy,cartesian,kappa_z,-0.076,-0.083,-0.069,1.0,7992
exploratory,p_heavy,cartesian,om_x_kap,0.006,0.0,0.013,1.0,11124
exploratory,p_heavy,cartesian_main,omega_z,-0.154,-0.161,-0.147,1.0,8461
exploratory,p_heavy,cartesian_main,kappa_z,-0.075,-0.082,-0.068,1.0,8692
exploratory,mean_vigor,polar,angle_z,-0.102,-0.129,-0.076,1.0,11210
exploratory,mean_vigor,polar,mag_z,0.067,0.039,0.094,1.0,10500
exploratory,mean_vigor,polar,ang_x_mag,-0.087,-0.116,-0.056,1.0,10707
exploratory,mean_vigor,cartesian,omega_z,0.137,0.12,0.154,1.0,7001
exploratory,mean_vigor,cartesian,kappa_z,-0.238,-0.256,-0.222,1.0,8048
exploratory,mean_vigor,cartesian,om_x_kap,-0.053,-0.068,-0.039,1.0,11376
exploratory,mean_vigor,cartesian_main,omega_z,0.134,0.117,0.153,1.0,10295
exploratory,mean_vigor,cartesian_main,kappa_z,-0.245,-0.264,-0.227,1.0,9629
confirmatory,p_heavy,polar,angle_z,-0.083,-0.105,-0.061,1.0,12191
confirmatory,p_heavy,polar,mag_z,0.006,-0.017,0.028,1.0,12808
confirmatory,p_heavy,polar,ang_x_mag,-0.033,-0.056,-0.012,1.0,11002
confirmatory,p_heavy,cartesian,omega_z,-0.168,-0.177,-0.16,1.0,8566
confirmatory,p_heavy,cartesian,kappa_z,-0.062,-0.07,-0.053,1.0,8378
confirmatory,p_heavy,cartesian,om_x_kap,0.015,0.007,0.022,1.0,10190
confirmatory,p_heavy,cartesian_main,omega_z,-0.167,-0.175,-0.158,1.0,9673
confirmatory,p_heavy,cartesian_main,kappa_z,-0.058,-0.067,-0.049,1.0,9231
confirmatory,mean_vigor,polar,angle_z,-0.098,-0.125,-0.073,1.0,12079
confirmatory,mean_vigor,polar,mag_z,0.054,0.029,0.081,1.0,11379
confirmatory,mean_vigor,polar,ang_x_mag,-0.101,-0.127,-0.075,1.0,11092
confirmatory,mean_vigor,cartesian,omega_z,0.125,0.11,0.141,1.0,9669
confirmatory,mean_vigor,cartesian,kappa_z,-0.228,-0.244,-0.212,1.0,8152
confirmatory,mean_vigor,cartesian,om_x_kap,-0.021,-0.034,-0.008,1.0,9865
confirmatory,mean_vigor,cartesian_main,omega_z,0.122,0.107,0.138,1.0,11035
confirmatory,mean_vigor,cartesian_main,kappa_z,-0.233,-0.249,-0.217,1.0,11087
