sample,outcome,parameterization,term,mean,hdi_lo,hdi_hi,r_hat,ess_bulk
exploratory,escape_rate,polar,angle_z,0.021,-0.009,0.048,1.0,11198
exploratory,escape_rate,polar,mag_z,-0.019,-0.047,0.01,1.0,12712
exploratory,escape_rate,polar,ang_x_mag,0.015,-0.019,0.046,1.0,12655
exploratory,escape_rate,cartesian,omega_z,0.058,0.029,0.089,1.0,7737
exploratory,escape_rate,cartesian,kappa_z,0.005,-0.024,0.035,1.0,7760
exploratory,escape_rate,cartesian,om_x_kap,0.008,-0.017,0.035,1.0,10449
exploratory,mean_vigor,polar,angle_z,-0.102,-0.129,-0.076,1.0,11210
exploratory,mean_vigor,polar,mag_z,0.067,0.039,0.094,1.0,10500
exploratory,mean_vigor,polar,ang_x_mag,-0.087,-0.116,-0.056,1.0,10707
exploratory,mean_vigor,cartesian,omega_z,0.137,0.12,0.154,1.0,7001
exploratory,mean_vigor,cartesian,kappa_z,-0.238,-0.256,-0.222,1.0,8048
exploratory,mean_vigor,cartesian,om_x_kap,-0.053,-0.068,-0.039,1.0,11376
exploratory,pct_opt,polar,angle_z,-0.049,-0.063,-0.035,1.0,10883
exploratory,pct_opt,polar,mag_z,-0.052,-0.065,-0.038,1.0,12764
exploratory,pct_opt,polar,ang_x_mag,-0.039,-0.055,-0.024,1.0,12779
exploratory,pct_opt,cartesian,omega_z,-0.072,-0.085,-0.06,1.0,7561
exploratory,pct_opt,cartesian,kappa_z,-0.035,-0.048,-0.023,1.0,7946
exploratory,pct_opt,cartesian,om_x_kap,-0.02,-0.03,-0.009,1.0,10854
confirmatory,escape_rate,polar,angle_z,0.051,0.023,0.078,1.0,10464
confirmatory,escape_rate,polar,mag_z,-0.034,-0.064,-0.008,1.0,12820
confirmatory,escape_rate,polar,ang_x_mag,-0.019,-0.047,0.009,1.0,12435
confirmatory,escape_rate,cartesian,omega_z,0.049,0.018,0.077,1.0,8859
confirmatory,escape_rate,cartesian,kappa_z,0.008,-0.021,0.038,1.0,8147
confirmatory,escape_rate,cartesian,om_x_kap,-0.023,-0.048,0.002,1.0,9146
confirmatory,mean_vigor,polar,angle_z,-0.098,-0.125,-0.073,1.0,12079
confirmatory,mean_vigor,polar,mag_z,0.054,0.029,0.081,1.0,11379
confirmatory,mean_vigor,polar,ang_x_mag,-0.101,-0.127,-0.075,1.0,11092
confirmatory,mean_vigor,cartesian,omega_z,0.125,0.11,0.141,1.0,9669
confirmatory,mean_vigor,cartesian,kappa_z,-0.228,-0.244,-0.212,1.0,8152
confirmatory,mean_vigor,cartesian,om_x_kap,-0.021,-0.034,-0.008,1.0,9865
confirmatory,pct_opt,polar,angle_z,-0.051,-0.069,-0.033,1.0,13212
confirmatory,pct_opt,polar,mag_z,-0.024,-0.042,-0.006,1.0,12619
confirmatory,pct_opt,polar,ang_x_mag,-0.027,-0.045,-0.009,1.0,12383
confirmatory,pct_opt,cartesian,omega_z,-0.108,-0.12,-0.095,1.0,8469
confirmatory,pct_opt,cartesian,kappa_z,-0.046,-0.059,-0.034,1.0,8393
confirmatory,pct_opt,cartesian,om_x_kap,-0.001,-0.012,0.009,1.0,8340
