step,elbo_joint,elbo_choice
1,-11053446.0,-71811.375
2,-1006214.1875,-56138.29296875
3,-1227630.0,-94038.7421875
4,-248919.5625,-59065.70703125
5,-276828.125,-33235.69921875
6,-1193607.25,-71988.5546875
7,-740860.125,-26397.1015625
8,-447730.125,-33517.9921875
9,-645835.5,-49628.421875
10,-362927.4375,-37343.8984375
11,-3201807.25,-32622.1484375
12,-408525.25,-22081.28515625
13,-233375.171875,-29065.5234375
14,-10951807.0,-41111.88671875
15,-599851.3125,-20702.326171875
16,-7761104.5,-59962.3515625
17,-2762218.0,-18116.103515625
18,-1115360.875,-19990.71875
19,-730717.4375,-26376.78515625
20,-3185670.5,-80966.984375
21,-797405.625,-64298.03515625
22,-13210360.0,-22077.107421875
23,-1289467.5,-37354.5390625
24,-383810.03125,-92404.2578125
25,-555699.875,-32378.22265625
26,-522782.34375,-126237.1484375
27,-640110.6875,-46750.50390625
28,-1169677.75,-21355.681640625
29,-2217754.5,-29533.935546875
30,-563850.75,-41063.140625
31,-2670374.5,-21867.650390625
32,-380006.0625,-26348.328125
33,-841140.8125,-100414.8984375
34,-1203314.375,-20091.59375
35,-706652.1875,-21533.35546875
36,-316497.59375,-19726.609375
37,-1434160.875,-51327.28125
38,-5778243.5,-31465.001953125
39,-421865.1875,-16858.814453125
40,-741666.3125,-21827.11328125
41,-429245.25,-22495.998046875
42,-1796159.25,-17293.12890625
43,-8687781.0,-38141.078125
44,-1864925.625,-33647.76953125
45,-318575.25,-18447.873046875
46,-548453.5625,-19278.0625
47,-2094772.25,-29421.193359375
48,-773071.0625,-32359.0546875
49,-433828.75,-41798.71484375
50,-2165746.25,-19111.62890625
51,-417348.625,-22401.25390625
52,-5608801.0,-27496.013671875
53,-5207396.0,-26730.69140625
54,-3291201.75,-26647.15234375
55,-307126.375,-39583.03125
56,-390143.5625,-26488.169921875
57,-9914887.0,-30223.61328125
58,-1177849.0,-18077.236328125
59,-249621.921875,-17418.791015625
60,-768985.875,-14599.2001953125
61,-319580.9375,-21872.6171875
62,-297144.5625,-22886.080078125
63,-315212.84375,-21494.7890625
64,-342744.28125,-21150.861328125
65,-812763.0625,-42163.19140625
66,-876944.8125,-21477.392578125
67,-441298.875,-18091.09375
68,-7934313.0,-15308.7138671875
69,-461110.65625,-18862.2578125
70,-871310.0625,-31873.39453125
71,-2563218.5,-14873.03515625
72,-232960.640625,-15284.296875
73,-395655.0625,-14093.525390625
74,-480455.1875,-16994.939453125
75,-417570.5,-18562.869140625
76,-977036.8125,-14894.5888671875
77,-872101.6875,-18013.265625
78,-270607.5625,-26919.935546875
79,-395422.9375,-21318.5859375
80,-1211953.75,-18244.619140625
81,-268628.9375,-19206.66796875
82,-777413.0,-19025.23046875
83,-459174.15625,-25980.04296875
84,-259039.546875,-17885.2890625
85,-673498.5625,-16062.3603515625
86,-462642.34375,-18070.44140625
87,-213421.578125,-25873.46875
88,-1241993.0,-21812.00390625
89,-466669.375,-14479.7109375
