rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.20938733,0.37497732,-0.7542228,-0.2941647,0.7571772,-0.2175164
-0.105659,0.34512132,-0.7051921,-0.33927163,0.696192,-0.14375755
-0.22350483,0.4116786,-0.7747682,-0.33179417,0.7331567,-0.22995746
-0.13070904,0.3462728,-0.6894701,-0.3340916,0.7812638,-0.26990741
-0.20730463,0.36326262,-0.74027056,-0.30912232,0.762076,-0.19879664
-0.2521393,0.4069931,-0.79833955,-0.35676178,0.7525454,-0.30557927
-0.2458531,0.38978735,-0.7759323,-0.3612489,0.75598496,-0.25255883
-0.11242328,0.3841447,-0.7274814,-0.34811902,0.7362779,-0.31709236
-0.16916272,0.39274922,-0.72634435,-0.3271906,0.77417827,-0.30002177
-0.14884442,0.42755476,-0.68803924,-0.33520135,0.7731598,-0.26203048
-0.09874036,0.3803259,-0.73203033,-0.29829192,0.71846694,-0.27226263
-0.18083178,0.4104525,-0.7409981,-0.32275888,0.7580664,-0.27446377
-0.21778128,0.38525042,-0.71577793,-0.3654043,0.7918897,-0.24686868
-0.2852708,0.45950347,-0.69726706,-0.3837311,0.8169331,-0.23472491
-0.20439413,0.45762616,-0.75567967,-0.33739123,0.7342193,-0.2556489
-0.0721127,0.34295723,-0.69964844,-0.33011323,0.71238315,-0.21041815
-0.16928114,0.390901,-0.75101346,-0.30910766,0.7552745,-0.30711263
-0.14220431,0.3668732,-0.7963655,-0.26374248,0.6742252,-0.2231326
-0.23560461,0.33907568,-0.699963,-0.31973684,0.8146319,-0.17618687
-0.18839402,0.38963345,-0.74592143,-0.31693345,0.7428136,-0.21515805
-0.07445639,0.34127912,-0.6667737,-0.30759105,0.7138449,-0.11877543
-0.07002398,0.3647908,-0.7007617,-0.30567914,0.71201956,-0.21217555
-0.06666849,0.3524204,-0.7311576,-0.28547156,0.68456054,-0.20938644
-0.27241814,0.39089337,-0.79475844,-0.3473329,0.75535816,-0.24612387
-0.275409,0.43776128,-0.7165692,-0.42898673,0.7787895,-0.21680221
-0.14840922,0.39466253,-0.73045594,-0.31072015,0.7296243,-0.21407267
-0.24412166,0.4148917,-0.76522803,-0.36089036,0.7569978,-0.2497976
-0.10515488,0.4062134,-0.7548452,-0.29827708,0.68425393,-0.25447816
-0.28088382,0.3863091,-0.77205974,-0.32254678,0.7903963,-0.24088149
