subj,k,k_sd,beta,beta_sd,alpha,alpha_sd,delta,delta_sd,delta_ols
1,3.5860615,1.3552336,589.0049,294.2121,0.13825089,0.039547354,0.41049615,0.064762115,0.42265293042329183
2,15.688009,2.6602654,121.36677,97.77021,-0.0025589021,0.04247148,0.03700523,0.06759698,0.0288589837790709
3,6.5016904,1.2005998,65.65535,44.348125,-0.02017985,0.038758792,0.060826633,0.061724514,0.01849885664501015
4,1.7700038,0.90267295,357.16074,136.74353,-0.025405584,0.039692245,0.39539504,0.05965974,0.400995132119127
5,1.5577754,0.669467,77.780556,41.156605,-0.21579531,0.04008748,0.1858644,0.06243256,0.15183929469297808
6,4.854317,1.4156108,364.07217,196.59193,0.15350315,0.03923093,0.32757485,0.06034907,0.30166964896498694
7,4.980873,1.2979223,179.54823,112.23619,0.05684437,0.040703792,0.21989724,0.06499781,0.19945137064087667
8,11.877585,2.2487814,213.5248,158.2337,0.09446503,0.041177936,0.15379742,0.068108894,0.1999464311062919
9,4.7533445,1.1567612,59.01582,32.972725,-0.08128497,0.036789533,0.07300022,0.055239223,0.11865649691987531
10,2.8042471,1.3144478,503.04474,224.62483,-0.036061257,0.04145011,0.379814,0.063668594,0.3949396453659064
11,3.7055974,1.3742375,267.66086,132.15536,-0.03930226,0.040680632,0.27788678,0.062198944,0.29148586604545557
12,10.13682,1.7918339,197.27808,171.29593,0.15477192,0.044434633,0.16908368,0.07411159,0.14125739407060892
13,2.5487843,0.9815248,98.37704,54.533436,-0.022771804,0.040759116,0.20996104,0.061293736,0.22495094226701437
14,1.6351769,0.7973614,227.01634,93.93688,0.18685542,0.0404841,0.40607938,0.060772367,0.4294986808908419
15,11.05477,1.8413873,107.54739,82.38329,0.40242255,0.04315808,0.16358082,0.06707259,0.15705790905953815
16,18.255733,3.3536398,93.81905,65.09809,0.07090058,0.039535742,0.018690588,0.060999192,0.07930240342327412
17,4.615602,1.362114,289.70593,147.42368,0.031229515,0.041381814,0.27959004,0.058979586,0.35116258437688336
18,2.353208,1.0287298,190.34833,80.16823,0.042374488,0.040459253,0.3119523,0.057406463,0.3639048255445488
19,1.9556714,1.1025804,687.5297,287.8734,-0.14813553,0.041489366,0.4261336,0.06468878,0.46883095527384794
20,1.5500615,0.84034014,635.7675,261.02032,-0.065938324,0.040685095,0.46178073,0.06195355,0.47692748449574274
21,3.9837325,1.1506615,124.82705,71.91904,0.15106188,0.040505733,0.22896138,0.062171966,0.17236710568483044
22,1.2495469,0.6760687,316.16653,117.59901,-0.021374527,0.03924633,0.4196627,0.058383197,0.4521374068338277
23,2.0706372,0.9981493,227.1258,99.2389,0.028523643,0.03924091,0.3414497,0.060629264,0.3360646858930798
24,1.0138278,0.5456791,74.02376,38.00533,-0.061612263,0.041604303,0.26852238,0.063025296,0.2888252161395724
25,2.2889504,1.2396011,571.0047,233.19807,0.17096053,0.04366322,0.47044566,0.065308236,0.5209164323219945
26,8.0361805,1.5591816,153.25793,104.82416,0.39707848,0.040835246,0.23613687,0.06287472,0.23322275510722792
27,6.5037093,1.4333906,175.99974,102.01077,0.02406859,0.039942514,0.1849211,0.058900367,0.24956249667601452
28,2.0664756,1.118255,567.8538,215.6914,-0.015239025,0.042760853,0.43402436,0.06144321,0.44443468299115957
29,3.3171918,1.0108279,94.11265,49.802437,0.11970684,0.03970724,0.21269621,0.060284737,0.20214214587935064
30,2.6186962,1.1915566,265.5174,115.52701,-0.087134965,0.041760415,0.30460882,0.06155522,0.2745231302680747
31,2.147875,0.891899,88.35418,48.348083,-0.07906234,0.042207304,0.20219405,0.06425301,0.22037617005239474
32,14.449122,2.614804,155.26503,122.607216,0.05490108,0.04213856,0.086133376,0.068708695,0.11152436010733979
33,1.4848508,0.7446487,230.21925,93.79465,-0.09429711,0.03976029,0.3473296,0.061459564,0.32804793271079485
34,7.9004407,1.5208257,144.69525,92.731766,-0.006425475,0.037577413,0.13262321,0.060734365,0.17324770736224304
35,28.288914,6.2640624,153.41698,124.51249,0.14081939,0.040602107,0.039932933,0.06721146,0.07352669730780456
36,4.201562,1.216022,179.31085,99.00728,0.060739487,0.039051004,0.24215724,0.059185162,0.20114172512708517
37,17.126982,2.9866965,90.53803,65.00042,0.24104978,0.041124452,0.06248982,0.06444582,0.0691275922960586
38,3.3785017,1.2336923,232.05309,108.598045,0.035123218,0.039120328,0.29268572,0.058430176,0.39959324816150277
39,1.3144947,0.5935573,28.787983,17.245682,-0.03495448,0.04058783,0.13937064,0.06287306,0.06734550324576874
40,2.2972078,0.9419304,124.86487,62.89151,-0.06287931,0.040277716,0.23788804,0.061902598,0.23441239863149582
41,11.736612,1.9083034,121.84094,101.02282,0.02988835,0.041093376,0.07329689,0.06822408,0.04927227525155853
42,4.6084456,0.9708743,30.682514,20.592585,0.13801597,0.039114002,0.05429396,0.06196112,-0.029235994360409023
43,16.960125,3.1041362,83.93315,62.50434,0.09377175,0.03979116,0.017923065,0.06185084,0.04042676315052778
44,6.328372,1.3995816,245.8675,179.75612,-0.034330033,0.041793548,0.19997863,0.06872706,0.1280313117057005
45,9.064123,1.6865019,148.2671,97.14499,0.119593255,0.03960618,0.15172212,0.06259971,0.19137695995914167
46,5.548136,1.5847541,350.2843,203.20288,0.052483726,0.040294956,0.28304857,0.062209353,0.29959682575291674
47,3.7708101,0.9989246,46.48621,30.638416,-0.005448544,0.04034396,0.08536329,0.062044263,0.06310406071839016
48,6.555697,1.5494586,319.71567,206.00485,0.049815513,0.04150483,0.2511605,0.06463216,0.26412766534959076
49,2.1692078,1.0907207,549.5992,233.3811,0.016921552,0.040300786,0.43033072,0.059923556,0.4228765087208463
50,7.1580343,1.4205341,143.45488,97.897095,0.17518477,0.03910403,0.18500027,0.06319501,0.15262559707846396
51,1.05037,0.5658476,149.76419,65.16912,0.13359804,0.04122032,0.39380428,0.062602356,0.4151137630244377
52,10.719516,1.6377876,65.9811,48.253426,0.020110505,0.04055106,0.01743874,0.06397456,-0.02506752499012366
53,8.653961,1.7727655,233.18336,158.7579,0.057873208,0.041167274,0.18951532,0.06322549,0.21971707557890538
54,2.9115233,1.0564868,177.52121,84.22158,-0.038283236,0.039230622,0.25839064,0.05674283,0.2821342819620861
55,12.485112,2.1506202,98.04271,64.22392,0.059382483,0.03960318,0.060354196,0.05874822,0.11798102724982999
56,4.4507656,1.4333391,254.22127,120.34134,0.035765953,0.03763791,0.27263576,0.057957,0.32629409208684
57,5.9322386,1.2075621,93.13081,58.04304,-0.013310164,0.039503295,0.113054186,0.058570657,0.12673178524051548
58,5.7769136,1.2894132,111.12057,65.4099,-0.12404597,0.03905179,0.10849725,0.05688589,0.13618409106875332
59,7.1815324,1.2836311,73.42856,47.370056,0.026771054,0.038518008,0.07733652,0.058044154,0.08347153975717601
60,1.6026927,0.8589735,100.86643,48.710953,-0.13949336,0.043659355,0.2378034,0.06520198,0.29744333754821356
61,6.394163,1.3166103,134.46794,75.7013,0.047954842,0.036712557,0.16330966,0.054156415,0.20647395342006336
62,0.8230176,0.43733227,73.37989,38.409756,-0.24885637,0.04235422,0.24033673,0.06361217,0.2670737234225212
63,0.0049811555,0.004320737,681.90344,202.99931,-0.07426192,0.049323656,1.0633726,0.08172256,1.659768139947205
