test,outcome,predictor,beta,p,R2
direct,accel_post,anxiety_intercept,0.056890107510368354,0.3277693001023868,0.04231917265756613
direct,accel_post,anxiety_slope_T,-0.0008619572485694248,0.9881695100452896,0.039102047479854796
direct,accel_post,anxiety_slope_D,-0.11852170673349989,0.040625795584991554,0.053105595373523884
direct,accel_post,anxiety_mean,0.05689010751036845,0.3277693001023859,0.04231917265756613
direct,accel_post,anxiety_sd,-0.07004380015245233,0.22864200381238856,0.04396676614317696
direct,accel_post,anxiety_range,-0.09818999387994225,0.09206217650884728,0.0486055319562293
direct,peak_post,anxiety_intercept,-0.1430937089850123,0.005472172005036053,0.2568994313280858
direct,peak_post,anxiety_slope_T,0.12567558190084194,0.014765722663364159,0.25227248402464464
direct,peak_post,anxiety_slope_D,0.015958174281270183,0.7579679703123298,0.23679529884720962
direct,peak_post,anxiety_mean,-0.1430937089850123,0.005472172005036063,0.2568994313280858
direct,peak_post,anxiety_sd,0.10160715474731777,0.04960863245517131,0.24677983760033462
direct,peak_post,anxiety_range,0.10686407517717054,0.03945405172087011,0.24779901360232115
direct,time_to_peak,anxiety_intercept,0.11876979758231043,0.043368960082291005,0.025809499764652744
direct,time_to_peak,anxiety_slope_T,-0.10264166912819078,0.08085041552115868,0.022277486152723736
direct,time_to_peak,anxiety_slope_D,-0.01752021834596493,0.7661912846199044,0.01209040292970387
direct,time_to_peak,anxiety_mean,0.11876979758231049,0.043368960082290964,0.025809499764652744
direct,time_to_peak,anxiety_sd,-0.025988007634012676,0.6599637681063075,0.01245416403417865
direct,time_to_peak,anxiety_range,-0.04660744534919494,0.43129803204210193,0.013925762275677878
direct,latency,anxiety_intercept,0.09292744436624586,0.11745890027029691,0.011921157987469844
direct,latency,anxiety_slope_T,-0.0733383020408731,0.21659256236210384,0.008695244473907016
direct,latency,anxiety_slope_D,0.023420305053056936,0.6933142430674369,0.0038887181078440802
direct,latency,anxiety_mean,0.09292744436624598,0.11745890027029655,0.011921157987469622
direct,latency,anxiety_sd,0.0012809464327364073,0.9828439394805681,0.0033437533140980857
direct,latency,anxiety_range,-0.009938188553986795,0.8679406979647517,0.0034393182630965136
interaction,accel_post,omega_z(anxiety_intercept),0.16673919695708148,0.009062721176844667,0.044308940017263154
interaction,accel_post,kappa_z(anxiety_intercept),-0.17565454605746203,0.005294536718808022,0.044308940017263154
interaction,accel_post,anxiety_intercept(anxiety_intercept),0.047117089880274785,0.42969728041010014,0.044308940017263154
interaction,accel_post,ω×anx(anxiety_intercept),0.04687024609685121,0.4425803220048099,0.044308940017263154
interaction,accel_post,κ×anx(anxiety_intercept),-0.014155779078669464,0.7866179445127139,0.044308940017263154
interaction,accel_post,omega_z(anxiety_slope_T),0.18574942566311575,0.004808679370194076,0.041109806735230014
interaction,accel_post,kappa_z(anxiety_slope_T),-0.1849468775755711,0.004280754765514647,0.041109806735230014
interaction,accel_post,anxiety_slope_T(anxiety_slope_T),0.00369223285943057,0.9503341664547771,0.041109806735230014
interaction,accel_post,ω×anx(anxiety_slope_T),0.03126378066554523,0.673035863566164,0.041109806735230014
interaction,accel_post,κ×anx(anxiety_slope_T),-0.05830645568813551,0.4413261020441518,0.041109806735230014
interaction,accel_post,omega_z(anxiety_slope_D),0.19973344916171945,0.0016039662705188186,0.06278194008677063
interaction,accel_post,kappa_z(anxiety_slope_D),-0.1991922941522701,0.0018040205447751028,0.06278194008677063
interaction,accel_post,anxiety_slope_D(anxiety_slope_D),-0.10407379294323162,0.0778163703448143,0.06278194008677063
interaction,accel_post,ω×anx(anxiety_slope_D),-0.024553566833173612,0.7191922674798157,0.06278194008677063
interaction,accel_post,κ×anx(anxiety_slope_D),0.11297238911552754,0.08911906413207116,0.06278194008677063
interaction,accel_post,omega_z(anxiety_mean),0.16673919695708125,0.009062721176844713,0.044308940017263154
interaction,accel_post,kappa_z(anxiety_mean),-0.17565454605746175,0.005294536718808086,0.044308940017263154
interaction,accel_post,anxiety_mean(anxiety_mean),0.04711708988027479,0.42969728041010014,0.044308940017263154
interaction,accel_post,ω×anx(anxiety_mean),0.0468702460968511,0.4425803220048108,0.044308940017263154
interaction,accel_post,κ×anx(anxiety_mean),-0.014155779078669386,0.7866179445127153,0.044308940017263154
interaction,accel_post,omega_z(anxiety_sd),0.16208513905080854,0.011340642743973409,0.0462009362033865
interaction,accel_post,kappa_z(anxiety_sd),-0.17574345859050403,0.005359573542213942,0.0462009362033865
interaction,accel_post,anxiety_sd(anxiety_sd),-0.07222274158470889,0.21631537364427986,0.0462009362033865
interaction,accel_post,ω×anx(anxiety_sd),-0.028559374671472463,0.6491054787197716,0.0462009362033865
interaction,accel_post,κ×anx(anxiety_sd),-0.026035736262482564,0.6661767270789756,0.0462009362033865
interaction,accel_post,omega_z(anxiety_range),0.14952145741160763,0.018990828937365895,0.056242628659914584
interaction,accel_post,kappa_z(anxiety_range),-0.1775919520759475,0.004697869560520629,0.056242628659914584
interaction,accel_post,anxiety_range(anxiety_range),-0.09255386049495276,0.11373752545826635,0.056242628659914584
interaction,accel_post,ω×anx(anxiety_range),-0.07938422332600667,0.20881696828218804,0.056242628659914584
interaction,accel_post,κ×anx(anxiety_range),-0.011204380145876564,0.8489079942967134,0.056242628659914584
