outcome,affect,beta_no_baseline,p_no_baseline,beta_with_baseline,p_with_baseline,delta_beta,tag
peak_post,anxiety_intercept,-0.1430937089850123,0.005472172005036053,-0.0449177579370317,0.24254121090093622,0.0981759510479806, ✗ MEDIATED BY BASELINE
peak_post,anxiety_slope_T,0.12567558190084194,0.014765722663364159,0.035638948426952165,0.3524765833840474,-0.09003663347388977, ✗ MEDIATED BY BASELINE
peak_post,anxiety_slope_D,0.015958174281270183,0.7579679703123298,-0.046340969317373526,0.22326766868392353,-0.062299143598643705,
peak_post,anxiety_mean,-0.1430937089850123,0.005472172005036063,-0.04491775793703173,0.2425412109009357,0.09817595104798058, ✗ MEDIATED BY BASELINE
peak_post,anxiety_sd,0.10160715474731777,0.04960863245517131,0.03786828865598027,0.32130453935068654,-0.0637388660913375, ✗ MEDIATED BY BASELINE
peak_post,anxiety_range,0.10686407517717054,0.03945405172087011,0.02669209861319545,0.48745177605001044,-0.0801719765639751, ✗ MEDIATED BY BASELINE
peak_post,confidence_intercept,-0.09300883448760666,0.07870388931947317,-0.124979379530852,0.0011713868548554965,-0.03197054504324534, ★ EMERGES with baseline control
peak_post,confidence_slope_T,-0.13300875213127036,0.009688264749871812,-0.07108403108101652,0.06097024358620276,0.061924721050253845, ✗ MEDIATED BY BASELINE
peak_post,confidence_slope_D,-0.16985008690277148,0.0009486252257434416,-0.03186257759925117,0.414115430922254,0.1379875093035203, ✗ MEDIATED BY BASELINE
peak_post,confidence_mean,-0.09300883448760672,0.07870388931947307,-0.12497937953085204,0.0011713868548555062,-0.03197054504324533, ★ EMERGES with baseline control
peak_post,confidence_sd,0.08520795231806204,0.0992143106960838,0.024128916364628,0.5264692266224501,-0.06107903595343404,
peak_post,confidence_range,0.06740596421562756,0.1918689437779662,0.012528678861032996,0.7416657227790657,-0.05487728535459456,
accel_post,anxiety_intercept,0.056890107510368354,0.3277693001023868,0.016512758113168137,0.7729130216146894,-0.04037734939720022,
accel_post,anxiety_slope_T,-0.0008619572485694248,0.9881695100452896,0.03731841886646264,0.5128321114939726,0.03818037611503206,
accel_post,anxiety_slope_D,-0.11852170673349989,0.040625795584991554,-0.09414362152344267,0.09579321242449433,0.024378085210057215, ✗ MEDIATED BY BASELINE
accel_post,anxiety_mean,0.05689010751036845,0.3277693001023859,0.016512758113167755,0.7729130216146946,-0.040377349397200696,
accel_post,anxiety_sd,-0.07004380015245233,0.22864200381238856,-0.04419267583247581,0.43655570246098263,0.02585112431997652,
accel_post,anxiety_range,-0.09818999387994225,0.09206217650884728,-0.06625641550928728,0.24610075401418519,0.03193357837065497,
accel_post,confidence_intercept,-0.07293376014955037,0.21972304086209027,-0.060100117186135345,0.2979280198404094,0.012833642963415028,
accel_post,confidence_slope_T,-0.07200566079216097,0.21400251568947043,-0.09885348093657316,0.07986685201851768,-0.026847820144412185,
accel_post,confidence_slope_D,0.03329175607381545,0.5672092852748409,-0.025484742773832156,0.6606261911124196,-0.05877649884764761,
accel_post,confidence_mean,-0.07293376014955043,0.21972304086209002,-0.0601001171861352,0.2979280198404113,0.012833642963415229,
accel_post,confidence_sd,-0.01704968992136824,0.7692346417020873,0.008228266943711659,0.8845565006785351,0.025277956865079897,
accel_post,confidence_range,-0.06004141479289875,0.3003791775691158,-0.03777845393939431,0.5037518377705701,0.02226296085350444,
time_to_peak,anxiety_intercept,0.11876979758231043,0.043368960082291005,-0.005332294543548765,0.8932781675961303,-0.1241020921258592, ✗ MEDIATED BY BASELINE
time_to_peak,anxiety_slope_T,-0.10264166912819078,0.08085041552115868,0.010897089168259592,0.7832750599441497,0.11353875829645038,
time_to_peak,anxiety_slope_D,-0.01752021834596493,0.7661912846199044,0.0601825356619907,0.12541124170198195,0.07770275400795564,
time_to_peak,anxiety_mean,0.11876979758231049,0.043368960082290964,-0.00533229454354913,0.8932781675961231,-0.12410209212585961, ✗ MEDIATED BY BASELINE
time_to_peak,anxiety_sd,-0.025988007634012676,0.6599637681063075,0.054652318182376515,0.1654655717864303,0.08064032581638919,
time_to_peak,anxiety_range,-0.04660744534919494,0.43129803204210193,0.054942639447927065,0.16589672523080093,0.101550084797122,
time_to_peak,confidence_intercept,-0.040914020763233465,0.49760597836805454,-0.0014720448046403312,0.9707465074931247,0.03944197595859313,
time_to_peak,confidence_slope_T,0.07471782606010265,0.2035245339152595,-0.0035094264267345964,0.9288558357511822,-0.07822725248683725,
time_to_peak,confidence_slope_D,0.10106500141466439,0.08603362756299623,-0.07736029293106227,0.05425278468449181,-0.17842529434572665,
time_to_peak,confidence_mean,-0.04091402076323345,0.49760597836805465,-0.0014720448046400658,0.97074650749313,0.03944197595859338,
time_to_peak,confidence_sd,0.004884734167334987,0.9339496349111153,0.08222244816194056,0.03599187135521746,0.07733771399460558, ★ EMERGES with baseline control
time_to_peak,confidence_range,-0.012668330162673956,0.8295535941639242,0.056365590628557644,0.15034625027788046,0.0690339207912316,
