label,kappa_opt,sample,outcome,model,R2,beta_omega,p_omega,beta_kappa,p_kappa,delta_R2,beta_anxiety_slope_T,p_anxiety_slope_T,beta_confidence_slope_T,p_confidence_slope_T,beta_anxiety_slope_D,p_anxiety_slope_D,beta_confidence_slope_D,p_confidence_slope_D,beta_anxiety_intercept,p_anxiety_intercept,beta_confidence_intercept,p_confidence_intercept
κ_opt*,6.866488450042998,exploratory,delta_choice_sum,params_only,0.9188178350035853,-0.7561528575819849,4.712056617406995e-124,-0.3729860456779115,1.4450001982496664e-58,,,,,,,,,,,,,
κ_opt*,6.866488450042998,exploratory,delta_choice_sum,with_affect,0.9272435972238569,-0.7451963615103002,6.6579283828961855e-124,-0.3671932616110221,9.11197034239418e-60,0.008425762220271582,0.049148993709074794,0.006374465007722472,-0.054900611590712155,0.0042876980582933245,-0.028719549973577823,0.08919579624034465,0.019298610008121365,0.283410452781075,0.006833656953089392,0.6807925821619545,0.043338637935577594,0.010697090149050122
κ_opt*,6.866488450042998,exploratory,delta_uH_sum,params_only,0.6597265546486558,0.5149850659396371,5.999540510692433e-34,-0.8460056848777239,1.6224639724425222e-66,,,,,,,,,,,,,
κ_opt*,6.866488450042998,exploratory,delta_uH_sum,with_affect,0.6689536061222426,0.5114281059178292,9.318055339140827e-33,-0.8475967602830807,7.401852315153637e-66,0.009227051473586823,-0.03499957205172217,0.35963532047761915,0.023171332923255065,0.5692871694986154,0.04749839192022576,0.18711471709442107,0.06370986761477045,0.09736181815010578,-0.041442419588221514,0.2426739402378919,-0.04333165425541759,0.22942870721910208
κ_opt*,6.866488450042998,exploratory,delta_uL_sum,params_only,0.656331931620965,0.5328240298938359,1.9324732527398983e-35,-0.837514221857179,2.6073389034511975e-65,,,,,,,,,,,,,
κ_opt*,6.866488450042998,exploratory,delta_uL_sum,with_affect,0.681973347427093,0.524172455446516,5.404113445287677e-35,-0.8453227222836214,3.034194031560746e-67,0.025641415806128,-0.059948881235485765,0.10994991900906823,0.048680778975444164,0.2229978630876456,0.028662278677197204,0.4162499899322683,0.09431136497806257,0.012559956355709575,-0.06601553723443185,0.05808828890007375,-0.09823819158877578,0.005699912245474468
κ_opt*,6.866488450042998,confirmatory,delta_choice_sum,params_only,0.888125331643335,-0.8164839729025544,3.277541422551141e-114,-0.2846764321935173,2.2159411918680506e-32,,,,,,,,,,,,,
κ_opt*,6.866488450042998,confirmatory,delta_choice_sum,with_affect,0.9025578686495898,-0.819836327515604,2.7697642056391334e-118,-0.271502213191695,8.082770512073675e-32,0.014432537006254798,0.03737929427240908,0.08495843772077903,-0.06727993908347217,0.0013427475320329663,0.021535837082144117,0.31109168655110525,-0.024519867007736673,0.2212478730640889,-0.04406054662579737,0.02447860183614874,0.0454484194080249,0.022004211047363723
κ_opt*,6.866488450042998,confirmatory,delta_uH_sum,params_only,0.613138423130035,0.4957889639823028,2.406152430209395e-29,-0.7740923664847702,5.699362305541081e-55,,,,,,,,,,,,,
κ_opt*,6.866488450042998,confirmatory,delta_uH_sum,with_affect,0.6190703389393126,0.4895106450315738,3.709629202166555e-28,-0.7660106588355068,2.7203626831375606e-52,0.005931915809277655,0.004780346037617487,0.9110416374307176,-0.037444573897142536,0.36253381490507575,0.04585206517929869,0.27545065643128835,-0.01575239834876708,0.6906740775027066,-0.030235077144787674,0.4330729967059273,-0.00122989675007895,0.9748718468610154
κ_opt*,6.866488450042998,confirmatory,delta_uL_sum,params_only,0.7740264723617587,0.555946326263754,1.1047493733080127e-50,-0.8702064834497703,2.372680717961251e-86,,,,,,,,,,,,,
