parameter,rhat,ess,mean,std
bc,1.0000664351808781,9152.783303882938,-0.1827387868711437,0.009301402642396681
gamma,0.9999719865968412,16000.0,0.8656897103176,0.01661031323624935
gr,0.9999715070005335,16000.0,-0.14441276706368758,0.019184566645755456
hazard,0.9999561736130875,16000.0,0.5116168346611746,0.026758166077255563
hr,0.9999558006925909,16000.0,-0.6715544842541158,0.05253436072075325
kappa (max across 500),1.0003459008360833,16000.0,0.5108006919996777,1.3973929490603856
kr (max across 500),1.0005616480959367,16000.0,-0.0015469341821000091,1.0069425628364983
mk,1.0005052973550843,5394.471631549049,-1.7213564456942274,0.11066476221456978
mo,1.000478191724685,5986.508342442478,0.16390557001568112,0.07260673494157967
omega (max across 500),1.0003169953211952,16000.0,1.7105234243344425,1.7736748983042132
or (max across 500),1.0009072488461683,16000.0,0.0005898733191737292,0.9997507616772932
rp (max across 6776),1.0006513746046932,16000.0,0.9381163648121855,0.1761101976646004
sk,1.0002240438162537,5672.236041612727,1.4097973175319976,0.06920774716170923
so,1.0013372920858779,4567.185152735513,0.8739744727541581,0.035411322429908555
spr,0.9999678551891228,7344.3296012441,-1.503434314662974,0.04689696845588201
sv,0.9998231101289359,16000.0,0.4620968107775854,0.004119750753022131
tr,0.9998470849242024,16000.0,0.7012480111008967,0.02282944399321223
