subj,log_omega_true,log_omega_rec,log_omega_lo80,log_omega_hi80,log_omega_lo95,log_omega_hi95,log_kappa_true,log_kappa_rec,log_kappa_lo80,log_kappa_hi80,log_kappa_lo95,log_kappa_hi95
0,-0.5425814808234831,-0.2836392282026696,-0.6378278060777087,0.04764521019971557,-0.8728203431865139,0.20184100603471886,-0.8805014944740316,-0.8411001705062181,-1.1697531240180907,-0.5271475416172223,-1.3846198078206062,-0.37239401238114633
1,1.1204302518059952,1.1087550874038006,0.8071044253176511,1.3981050887170519,0.6313893618513404,1.5295343905066723,-0.7968964197978538,-2.7780226865229283,-5.324712411903758,-0.8876592503208671,-6.9814851339317014,-0.5523163493081282
2,-1.793190654561729,-0.5324730749252845,-0.8926487751268894,-0.19358161335734622,-1.1235223720417469,-0.04719827273250833,-3.8226806593029803,-4.83155870060766,-6.820758555609237,-3.122959823957149,-8.218911065065438,-2.559820603834052
3,-0.094250380361418,-0.1448745984511876,-0.5023848287960211,0.18761186706506694,-0.7440786447921197,0.33940958949115396,-1.3032898778852995,-1.3233626928028726,-1.750060314299376,-0.9320265674510143,-2.098157112807772,-0.7697080993582873
4,-0.5561663251567392,-0.4821032202431167,-0.8606847904130379,-0.12832339673668683,-1.1008189476138406,0.02309261953789674,-1.357747945362691,-1.1302670191617394,-1.481185947617319,-0.7976059539879429,-1.6951760727740892,-0.647029423267384
5,1.0614248116666698,0.873396956460054,0.5554853235425469,1.1783007142089426,0.3695502747679079,1.3189165053479948,-0.5828348039722575,-0.7555728831837797,-1.1594260505567382,-0.37917817967508566,-1.4830292778255467,-0.22150453362426117
6,0.9364212314983947,0.8339173887142959,0.5617551857237977,1.0981848999625616,0.40592733370246137,1.222360344777826,-1.7582946488150717,-4.162208675221141,-6.353107222603835,-2.2577909387967168,-7.763919183238887,-1.6669348632642047
7,-0.3335724765153701,0.1771725974427521,-0.12675672543674377,0.4676902447862037,-0.32421424810243565,0.6077052982548329,-0.7099207087515652,-0.3211575607034943,-0.5971346374650577,-0.05635297618379977,-0.7620285274820374,0.0842640057740697
8,-0.4530076431528405,-0.48832702194920585,-0.8517427326488166,-0.1510286712909696,-1.0700212885029623,-0.006932251656607228,-0.815991996792935,-0.8947301932681256,-1.2037389530997438,-0.598744474507741,-1.3861319644321304,-0.46257605467222107
9,0.45335035635459303,0.33483632715934086,0.05184522825140569,0.6078978984872357,-0.12514442726659222,0.7388827119566674,-0.37048306911209816,-0.5742671898653792,-0.8624128886954493,-0.2994338659814693,-1.0372057498724787,-0.16755227761126018
10,-0.5086510289802734,0.039489612162964,-0.28661439805454764,0.34529650614810775,-0.503522540329715,0.49082625304928645,-1.626410737424327,-1.207714254292042,-1.64124858470233,-0.8109499347060244,-1.9947067256491466,-0.6428479903973565
11,0.5379672025114275,0.43458792305971355,0.14033152778281896,0.7212980885141778,-0.04638967243329771,0.8514512313474085,0.11563291659066624,0.04708143880497101,-0.2453693672230762,0.33162738856105733,-0.416383089285244,0.46834247612209107
12,-0.38148604856542573,-0.41969972063311684,-0.8226030002348694,-0.043597140122430766,-1.0947238447080925,0.118924736010029,-2.036121448764191,-4.383261905564953,-6.474033132522571,-2.585252097069448,-7.957486773387424,-2.055131845112102
13,0.5959063186795549,0.4284502519967686,0.08850130270018021,0.7494372687491041,-0.13434012266346462,0.8957104200771746,-0.9395366108317587,-1.5036335016600697,-2.5629211969512196,-0.7075647696277152,-4.84693979408776,-0.49755797023225157
14,0.5878085927737848,0.34304417123174547,-0.004004751014793448,0.668310067206565,-0.2174080629922053,0.8231810467039102,-1.1159598020813912,-2.4858982997978285,-4.565436918517517,-1.177965259217034,-6.352606357607266,-0.9031353736655892
15,0.7841927494822861,0.646760309296245,0.3070823262697394,0.9712700391748821,0.10493383985535788,1.1291291417016964,1.407000990768683,1.3213335756338929,0.9640564163318186,1.6792457329381727,0.7666205296601363,1.8664944037746738
16,-0.7597395221561966,-0.5482967514586229,-0.9924290171966762,-0.1469709272209719,-1.2772106677301418,0.022520178638545954,-2.02894979189724,-2.2003799559717185,-3.1367499759769917,-1.447539489139115,-4.654404393561089,-1.236502181915849
17,1.19566259436294,1.0364389032611085,0.7655704284322176,1.299091825086711,0.6109155286114796,1.4292836399221223,-1.0249458159375515,-3.9498779022016914,-6.228589475072731,-1.988326759536602,-7.69177392104679,-1.4036774879126448
