parameter,rhat,ess,mean,std
b_cookie,1.0190921394654442,16000.0,-0.048975497072034295,0.0015060199784524392
base_raw (max across 500),6.795205233880044,4561.545268065785,0.00012278239034703688,0.9989549032481754
baseline (max across 500),6.912274568304699,16000.0,0.033403564976605286,0.10282564913114553
gamma,0.9999951111686561,16000.0,0.821693642163474,0.008573420035157037
gamma_raw,0.9999956251832812,16000.0,-0.1964420799020897,0.010433393561586148
hazard,1.010206858430051,16000.0,0.7544182587513858,0.021689383300652877
hazard_raw,1.010180560398646,16000.0,-0.2822221666906871,0.028781274137814037
kap_raw (max across 500),1.75033094583376,2113.69783730051,-0.0016381280521246683,1.0017324622153772
kappa (max across 500),2.9710467446072353,5750.064819508424,0.495528857166716,1.0972633813970771
log_kappa (max across 500),1.7521724896727486,1992.0995459017813,-2.5252528282073308,2.3487919188074966
log_omega (max across 500),1.0153842941114926,16000.0,0.28390124211925705,0.7383908404603009
mu_base,1.017095781360369,1000.2981677424121,0.03338747017415156,0.004849768009227191
mu_kap,1.0046356098614766,2100.4892763848093,-2.521263936643716,0.15104614825824966
mu_om,1.0071793156415074,5256.481507096811,0.2848203878208247,0.044512056897627085
om_raw (max across 500),1.0182439381510962,16000.0,-0.0012548304598623671,0.9997233179599254
omega (max across 500),1.0172807795603378,16000.0,1.7732245873193409,1.6968157262891368
sigma_base,1.0092690636241797,1908.3764512805353,0.10317369816499661,0.003381088293013633
sigma_kap,1.0006497834383068,3199.199731710728,2.345447818477647,0.13627887542792122
sigma_om,1.000914518152841,5863.361501813611,0.7396883302750299,0.02825478021464129
sigma_v,1.005781229533968,16000.0,0.12369566794766587,0.0004473863491564738
tau_raw,1.001214407388756,16000.0,0.7790668411256304,0.01971339855240814
