test,sample,predictor,beta,p
H1_anticipatory_slope,exploratory,omega_z,0.21546388750584694,0.0005723220440166711
H1_anticipatory_slope,exploratory,kappa_z,0.02562792453824968,0.6789454233110171
H1_anticipatory_slope,confirmatory,omega_z,0.18844472636877246,0.0030783272256045846
H1_anticipatory_slope,confirmatory,kappa_z,-0.04641516330159507,0.46264887710258673
H2_baseline_lowT,exploratory,omega_z,0.26122605784141023,7.214073566279168e-06
H2_baseline_lowT,exploratory,kappa_z,-0.45845493275098836,2.6607380555136443e-14
H2_baseline_lowT,confirmatory,omega_z,0.2637811437645794,3.868590664706165e-06
H2_baseline_lowT,confirmatory,kappa_z,-0.511810666230075,1.345612120908997e-17
H3_spike_mag_peak,exploratory,omega_z,-0.06004196785897509,0.3353016973828598
H3_spike_mag_peak,exploratory,kappa_z,-0.17028711180147832,0.006583546699570036
H3_spike_mag_peak,confirmatory,omega_z,-0.030170999728678725,0.6363114330192404
H3_spike_mag_peak,confirmatory,kappa_z,-0.09651769071019216,0.13107512204093555
H3_spike_mag_mean,exploratory,omega_z,-0.10922499813802301,0.08358981368341906
H3_spike_mag_mean,exploratory,kappa_z,-0.0505743135012478,0.42209622051530216
H3_spike_mag_mean,confirmatory,omega_z,-0.11556994859673775,0.07070406631109358
H3_spike_mag_mean,confirmatory,kappa_z,0.08036488263200839,0.2081274179409605
H3_post_minus_pre,exploratory,omega_z,0.09313293672925861,0.12563125974111972
H3_post_minus_pre,exploratory,kappa_z,-0.3185778710221938,2.902375144208784e-07
H3_post_minus_pre,confirmatory,omega_z,0.012459737110586044,0.8432208536972481
H3_post_minus_pre,confirmatory,kappa_z,-0.19550612586001972,0.002092384939691228
