outcome,model,predictor,beta,p,R2
peak_post,params_only,omega_z,0.36987317945430764,1.341821380507431e-10,0.23654141700325015
peak_post,params_only,kappa_z,-0.48033062224686035,3.545633720950845e-16,0.23654141700325015
peak_post,params + anxiety_slope_T,omega_z,0.3712123475170447,8.300522459977574e-11,0.25227248402464464
peak_post,params + anxiety_slope_T,kappa_z,-0.4729671038558794,5.887887004583534e-16,0.25227248402464464
peak_post,params + anxiety_slope_T,anxiety_slope_T,0.12567558190084194,0.014765722663364159,0.25227248402464464
peak_post,params + full affect,omega_z,0.3623726844563055,1.8705406619190228e-10,0.2961690122888915
peak_post,params + full affect,kappa_z,-0.48418613570132374,5.62822304028203e-17,0.2961690122888915
peak_post,params + full affect,anxiety_intercept,-0.1161500414791073,0.02519538098664278,0.2961690122888915
peak_post,params + full affect,anxiety_slope_T,0.11291029018874922,0.043288796113879,0.2961690122888915
peak_post,params + full affect,anxiety_slope_D,-0.020860112063752052,0.69071412320433,0.2961690122888915
peak_post,params + full affect,confidence_intercept,-0.06178396996276246,0.23987454595224353,0.2961690122888915
peak_post,params + full affect,confidence_slope_T,-0.012181201469090781,0.8373897090863163,0.2961690122888915
peak_post,params + full affect,confidence_slope_D,-0.13166933556262292,0.01908026845885806,0.2961690122888915
time_to_peak,params_only,omega_z,-0.10229517527110049,0.10621793929131158,0.01178438683746752
time_to_peak,params_only,kappa_z,0.09007353759058774,0.15469194862327498,0.01178438683746752
time_to_peak,params + anxiety_slope_T,omega_z,-0.10338889962967111,0.10134451765027348,0.022277486152723736
time_to_peak,params + anxiety_slope_T,kappa_z,0.08405961024786211,0.18311819062728127,0.022277486152723736
time_to_peak,params + anxiety_slope_T,anxiety_slope_T,-0.10264166912819078,0.08085041552115868,0.022277486152723736
time_to_peak,params + full affect,omega_z,-0.11586426743094728,0.07039852524111015,0.045498436369524
time_to_peak,params + full affect,kappa_z,0.08059512880532217,0.20276291158365345,0.045498436369524
time_to_peak,params + full affect,anxiety_intercept,0.10454590318312865,0.08306041450670835,0.045498436369524
time_to_peak,params + full affect,anxiety_slope_T,-0.10288551902149928,0.11330145164546186,0.045498436369524
time_to_peak,params + full affect,anxiety_slope_D,0.017971331153350138,0.7684739120803179,0.045498436369524
time_to_peak,params + full affect,confidence_intercept,-0.061890087014601435,0.3118740897042382,0.045498436369524
time_to_peak,params + full affect,confidence_slope_T,-0.012139760927782963,0.8605783543449004,0.045498436369524
time_to_peak,params + full affect,confidence_slope_D,0.09624573570881553,0.14004180992765233,0.045498436369524
accel_post,params_only,omega_z,0.17801035912065097,0.0045504138204378215,0.03910130748649254
accel_post,params_only,kappa_z,-0.17387673464964803,0.005567027014169225,0.03910130748649254
accel_post,params + anxiety_slope_T,omega_z,0.1780011743164013,0.0046256060757650435,0.039102047479854796
accel_post,params + anxiety_slope_T,kappa_z,-0.1739272380008646,0.0057072493828066746,0.039102047479854796
accel_post,params + anxiety_slope_T,anxiety_slope_T,-0.0008619572485694248,0.9881695100452896,0.039102047479854796
accel_post,params + full affect,omega_z,0.17288004726454742,0.006433987662604256,0.06993366597012218
accel_post,params + full affect,kappa_z,-0.18610217715919464,0.003070701758138871,0.06993366597012218
accel_post,params + full affect,anxiety_intercept,0.07286719978418356,0.22041506312102743,0.06993366597012218
accel_post,params + full affect,anxiety_slope_T,-0.010712016605707935,0.8670618476470786,0.06993366597012218
accel_post,params + full affect,anxiety_slope_D,-0.10682270789808385,0.07709386635604233,0.06993366597012218
accel_post,params + full affect,confidence_intercept,-0.06728331787754144,0.26546929792075186,0.06993366597012218
accel_post,params + full affect,confidence_slope_T,-0.10415404998661673,0.12764539737760697,0.06993366597012218
accel_post,params + full affect,confidence_slope_D,0.05799439199913508,0.3671267007970025,0.06993366597012218
latency,params_only,omega_z,-0.053600516894106366,0.39951703574123554,0.0033421277130804006
latency,params_only,kappa_z,-0.009617018858139204,0.8797785257207935,0.0033421277130804006
latency,params + anxiety_slope_T,omega_z,-0.05435233261523294,0.3925286132564487,0.008695244473907016
latency,params + anxiety_slope_T,kappa_z,-0.014332356881301023,0.8218163925495212,0.008695244473907016
latency,params + anxiety_slope_T,anxiety_slope_T,-0.0733383020408731,0.21659256236210384,0.008695244473907016
latency,params + full affect,omega_z,-0.05559050313718709,0.3916162770578496,0.020318752835951193
latency,params + full affect,kappa_z,-0.010614697992665963,0.8685109948078,0.020318752835951193
latency,params + full affect,anxiety_intercept,0.08824403213030871,0.1498914809265362,0.020318752835951193
latency,params + full affect,anxiety_slope_T,-0.0787079536649225,0.2326558199861891,0.020318752835951193
latency,params + full affect,anxiety_slope_D,0.03836526116421619,0.5367841437365788,0.020318752835951193
latency,params + full affect,confidence_intercept,0.03868970045913214,0.5333349971037138,0.020318752835951193
latency,params + full affect,confidence_slope_T,-0.0004852502068804967,0.9944787035353384,0.020318752835951193
latency,params + full affect,confidence_slope_D,0.016275326818043688,0.8055298553722798,0.020318752835951193
subtractive_spike,params_only,omega_z,0.26341621766413426,9.941426549544719e-06,0.1497125973947735
subtractive_spike,params_only,kappa_z,-0.3966916327905372,7.052779016978833e-11,0.1497125973947735
subtractive_spike,params + anxiety_slope_T,omega_z,0.2631626187149383,1.0441401333698725e-05,0.15027673222432758
subtractive_spike,params + anxiety_slope_T,kappa_z,-0.3980860660796063,6.919413814209217e-11,0.15027673222432758
subtractive_spike,params + anxiety_slope_T,anxiety_slope_T,-0.023799249994442297,0.6633480440492696,0.15027673222432758
subtractive_spike,params + full affect,omega_z,0.242659480877965,4.2249594846998205e-05,0.2021216955669195
subtractive_spike,params + full affect,kappa_z,-0.4184120521466055,4.064343653040352e-12,0.2021216955669195
subtractive_spike,params + full affect,anxiety_intercept,0.02124088307819401,0.6993964298882587,0.2021216955669195
subtractive_spike,params + full affect,anxiety_slope_T,-0.030390062147151495,0.6082200201583654,0.2021216955669195
subtractive_spike,params + full affect,anxiety_slope_D,-0.07471024011960897,0.18139702151894624,0.2021216955669195
subtractive_spike,params + full affect,confidence_intercept,-0.1906491004889324,0.0007358701448071669,0.2021216955669195
subtractive_spike,params + full affect,confidence_slope_T,-0.07616729314958966,0.22867389433679583,0.2021216955669195
subtractive_spike,params + full affect,confidence_slope_D,0.11361037298754081,0.05707631052046334,0.2021216955669195
