outcome,sample,predictor,beta,p,R2
abs_peak_strike,exploratory,omega_z,0.13377579439224155,0.01801574630593785,0.22409752676182682
abs_peak_strike,exploratory,kappa_z,-0.4910135360302966,2.1944472043251492e-16,0.22409752676182682
abs_peak_strike,exploratory,anxiety_slope_T,-0.039332153066726314,0.4534934918283326,0.22409752676182682
abs_peak_strike,exploratory,confidence_slope_D,0.10051515739239643,0.05637459472483376,0.22409752676182682
abs_peak_strike,confirmatory,omega_z,0.22311741410713945,4.258905995522362e-05,0.30879624989917887
abs_peak_strike,confirmatory,kappa_z,-0.5616519184384775,7.803975384196049e-22,0.30879624989917887
abs_peak_strike,confirmatory,anxiety_slope_T,-0.14056356867357084,0.005869803336219072,0.30879624989917887
abs_peak_strike,confirmatory,confidence_slope_D,0.0908041826528857,0.07501573870650063,0.30879624989917887
spike_mag_peak,exploratory,omega_z,-0.048295306641287686,0.4251514228102377,0.10268697338721278
spike_mag_peak,exploratory,kappa_z,-0.17083359223571212,0.005072363708589151,0.10268697338721278
spike_mag_peak,exploratory,anxiety_slope_T,-0.12494700394471749,0.02738717557620227,0.10268697338721278
spike_mag_peak,exploratory,confidence_slope_D,0.20930752471981312,0.000249222103779585,0.10268697338721278
spike_mag_peak,confirmatory,omega_z,-0.007457877005838709,0.9004243548152233,0.14786682319458322
spike_mag_peak,confirmatory,kappa_z,-0.0964078226690151,0.10632010587517758,0.14786682319458322
spike_mag_peak,confirmatory,anxiety_slope_T,-0.28282009089301513,8.809130089756204e-07,0.14786682319458322
spike_mag_peak,confirmatory,confidence_slope_D,0.20557582658363263,0.00032101797268779445,0.14786682319458322
spike_ratio_mean,exploratory,omega_z,0.032989977992000416,0.5815712142358427,0.1226279623218447
spike_ratio_mean,exploratory,kappa_z,-0.2425130966157904,6.483773876327648e-05,0.1226279623218447
spike_ratio_mean,exploratory,anxiety_slope_T,-0.17818128050700038,0.0015407258063391558,0.1226279623218447
spike_ratio_mean,exploratory,confidence_slope_D,0.18380423666832404,0.0011098158612566557,0.1226279623218447
spike_ratio_mean,confirmatory,omega_z,0.05139895598150693,0.4055111251385246,0.08529435702738486
spike_ratio_mean,confirmatory,kappa_z,-0.03313341841291895,0.591374319015528,0.08529435702738486
spike_ratio_mean,confirmatory,anxiety_slope_T,-0.21310312260535963,0.0003031888104199178,0.08529435702738486
spike_ratio_mean,confirmatory,confidence_slope_D,0.17303073386327386,0.0033417018631266473,0.08529435702738486
abs_peak_norm,exploratory,omega_z,0.31166384864842656,1.4207563930212283e-08,0.30111928486209993
abs_peak_norm,exploratory,kappa_z,-0.564402135514887,2.9243055936226778e-22,0.30111928486209993
abs_peak_norm,exploratory,anxiety_slope_T,-0.06370815587419099,0.2012068618900211,0.30111928486209993
abs_peak_norm,exploratory,confidence_slope_D,0.10805226369404076,0.030823726852040306,0.30111928486209993
abs_peak_norm,confirmatory,omega_z,0.2757381260816112,1.205343884565684e-06,0.2590354065791536
abs_peak_norm,confirmatory,kappa_z,-0.5289631080040299,8.615889451590109e-19,0.2590354065791536
abs_peak_norm,confirmatory,anxiety_slope_T,-0.01091255972955418,0.8352240589062307,0.2590354065791536
abs_peak_norm,confirmatory,confidence_slope_D,0.05113289772819195,0.3319102773505177,0.2590354065791536
spike_peak_to_peak,exploratory,omega_z,-0.0964900683389258,0.11390007502609518,0.09145940156926091
spike_peak_to_peak,exploratory,kappa_z,-0.04299499781775228,0.4805081488236501,0.09145940156926091
spike_peak_to_peak,exploratory,anxiety_slope_T,-0.15284687113489354,0.007442223255157043,0.09145940156926091
spike_peak_to_peak,exploratory,confidence_slope_D,0.2175953814207558,0.00015585853256366413,0.09145940156926091
spike_peak_to_peak,confirmatory,omega_z,-0.1373448295512602,0.019946310177971875,0.17287279799102062
spike_peak_to_peak,confirmatory,kappa_z,0.19808496492563055,0.0008329115368493048,0.17287279799102062
spike_peak_to_peak,confirmatory,anxiety_slope_T,-0.2739418267780084,1.3173802036439934e-06,0.17287279799102062
spike_peak_to_peak,confirmatory,confidence_slope_D,0.20512724637260196,0.00026985618409042624,0.17287279799102062
spike_mag_peak_with_baseline_covariate,exploratory,omega_z,0.16522635714245654,0.0003642880022565859,0.5303455334154686
spike_mag_peak_with_baseline_covariate,exploratory,kappa_z,-0.4769153079625657,2.6683170671073987e-20,0.5303455334154686
spike_mag_peak_with_baseline_covariate,exploratory,anxiety_slope_T,0.0028780661716322686,0.944898042114447,0.5303455334154686
spike_mag_peak_with_baseline_covariate,exploratory,confidence_slope_D,0.033255041751379735,0.4327349838058643,0.5303455334154686
spike_mag_peak_with_baseline_covariate,exploratory,pre_mean,-0.756072534350218,8.1033898396517e-42,0.5303455334154686
spike_mag_peak_with_baseline_covariate,confirmatory,omega_z,0.20269286501123546,2.250360606132991e-05,0.5209729879242438
spike_mag_peak_with_baseline_covariate,confirmatory,kappa_z,-0.49948632975485296,1.081461159984722e-18,0.5209729879242438
spike_mag_peak_with_baseline_covariate,confirmatory,anxiety_slope_T,-0.10305019584211057,0.019848529375477063,0.5209729879242438
spike_mag_peak_with_baseline_covariate,confirmatory,confidence_slope_D,0.06466872760280053,0.13793048499342908,0.5209729879242438
spike_mag_peak_with_baseline_covariate,confirmatory,pre_mean,-0.762461316956449,5.195940566809953e-36,0.5209729879242438
