subj,k_mcmc,k_mcmc_sd,beta_mcmc,beta_mcmc_sd,logk_mcmc,logb_mcmc
1,4.0495524,1.715233,396.77023,341.6058,1.2971863,5.6054144
2,13.55196,4.592992,1.1067381e+08,1.9292898e+08,2.5312037,8.174501
3,6.262383,1.294149,32.579025,36.289227,1.81149,2.93477
4,2.7964551,1.3882574,128.15822,94.701096,0.85773283,4.491054
5,1.2834679,0.91450435,28.465935,29.218872,-0.06518715,1.9409899
6,5.0567327,2.070716,199.72049,201.6701,1.5014857,4.2292633
7,5.238408,1.665507,79.1838,71.851105,1.5908624,3.979424
8,12.130948,2.107912,71.4763,113.24348,2.4801269,2.2926934
9,5.2525415,1.0097903,20.146824,14.449832,1.638098,2.7191858
10,4.5103807,2.244648,184.1769,142.07718,1.3420523,4.9122534
11,3.2377548,2.2255585,280.64362,298.9583,0.652909,4.9968348
12,6.351809,4.3679056,2043.3865,3351.9043,-0.7328103,6.020902
13,2.3838117,1.3776768,49.394806,38.610466,0.65409744,3.5308712
14,2.4587169,1.1002791,127.50756,89.9745,0.7758982,4.514974
15,10.958901,1.7790811,71.34927,60.822964,2.3804564,3.8347998
16,19.631056,3.6763203,22.764793,29.917276,2.95976,2.1714242
17,6.0059466,1.57618,68.20612,77.968666,1.7505695,2.6101289
18,3.4957151,1.1898615,55.8587,41.71458,1.1753409,3.7505212
19,4.3652744,2.4533265,202.76418,181.04332,1.272713,4.3872457
20,2.6793573,1.3550828,315.9068,144.00407,0.8139744,5.632305
21,2.6460104,1.7521459,204.30676,217.1431,0.6219641,4.753386
22,1.6823401,0.97926164,252.64702,222.92921,0.3601229,5.168531
23,1.8695815,1.4047061,207.87999,187.98645,0.231979,4.8793063
24,1.5094191,0.7160275,20.715504,18.288689,0.26359287,2.6772892
25,2.6598525,2.098216,530.8631,551.2061,-0.93877554,5.704546
26,7.948091,1.5691922,128.23872,111.415886,2.0518103,4.320241
27,8.038094,1.8138033,79.51085,61.270145,2.055531,3.9431584
28,2.1576164,1.6885357,547.2572,518.04114,0.2947788,5.8564463
29,3.7260935,1.3907841,40.28889,33.55804,1.2276989,3.3868327
30,2.6780107,1.180187,243.68983,217.34505,0.8624463,5.150823
31,2.6574068,1.1283475,24.5245,24.950296,0.86883396,2.6688561
32,11.271111,6.4480195,1979.8978,3303.877,1.9602029,5.051925
33,1.5953777,0.87994206,155.69193,99.81019,0.3221665,4.79655
34,8.548328,1.6282058,52.05602,54.35625,2.1258223,3.5207968
35,27.269669,6.2689047,81.16342,186.45941,3.2814536,2.482151
36,4.663256,2.0371432,89.28055,86.674614,1.4126407,3.5937355
37,17.563025,2.937249,74.15323,67.04769,2.8518121,3.7380462
38,5.4063463,1.3877692,42.54093,49.210777,1.6471425,2.5540025
39,0.8549926,0.7015317,10.746588,11.184991,-1.0411369,1.7637355
40,3.0681703,1.2783109,40.567135,40.856716,1.0017257,2.8388693
41,11.708081,2.35537,101.0924,155.7818,2.4384398,3.8292518
42,4.260668,1.0658025,20.89243,19.515083,1.4118835,2.699289
43,18.009306,3.0175803,25.227528,33.109325,2.8763933,2.2872183
44,5.42855,2.6752522,291.8962,286.9999,1.5263281,5.0481744
45,10.693278,2.5049014,86.74312,81.43737,2.34126,3.9393609
46,4.4906654,2.6914227,495.87488,584.00323,1.0478294,5.4037304
47,2.879422,1.7835995,17.68201,17.167324,0.6442709,2.4970298
48,5.0203695,3.1267285,969.17645,1361.0881,1.2024908,5.620869
49,2.270372,1.3386717,633.91864,676.4184,0.6291147,5.945492
50,4.9413743,3.256599,451.0126,609.4545,0.22065012,5.034357
51,1.1824006,0.8583482,99.53891,81.92657,-0.12560442,4.198529
52,10.367193,1.6859113,45.74984,41.442802,2.3252163,3.427392
53,9.303174,1.7165258,83.83345,114.758766,2.2110085,3.5293908
54,3.3149726,1.3547443,126.42275,130.91183,1.1034814,4.3086476
55,12.670209,1.8877726,22.430283,27.939981,2.528202,2.2571094
56,5.0167356,1.4987153,244.38812,291.18335,1.5630395,4.7241645
57,6.4843984,1.3054093,35.13699,30.909586,1.8456553,3.2289329
58,4.62841,2.776442,129.46599,152.95833,1.0098526,4.010828
59,6.589002,1.5817709,39.65913,42.39262,1.8558064,3.2203996
60,1.7357036,1.3101695,29.19922,21.021145,-0.1557333,3.103558
61,7.4845657,1.7139354,37.144264,45.682327,1.9848074,2.2055967
62,0.8561591,0.5710877,23.720783,17.129358,-0.37748155,2.9240415
63,2.083114,1.149711,248.69858,214.6104,0.58361876,5.123995
64,10.431183,1.7440736,48.683876,43.21682,2.3300388,3.528485
65,9.28455,1.4056888,32.422363,41.541306,2.2166922,2.005993
66,1.0130727,0.47417805,11.986624,12.050548,-0.10140112,1.9773426
67,1.8922807,0.84863347,29.780453,27.221615,0.53126997,2.995939
68,2.7862756,1.1830758,38.185223,36.002907,0.9237601,3.2232091
69,1.5275266,1.1083311,94.80007,74.4085,0.08311753,4.15649
70,12.009323,1.7508018,36.973618,41.725174,2.4749365,3.1921935
71,5.6439667,1.4012479,29.666296,35.57558,1.6948487,2.0454118
72,21.649786,13.288985,3.620763e+07,6.324319e+07,2.4789405,7.58182
73,5.405335,1.8950788,457.24664,501.50214,1.6206663,5.400989
74,17.9554,3.2754326,124.19073,376.846,2.8700137,3.8934157
75,5.9799623,2.0166857,101.72864,108.85577,1.7153437,3.5027347
76,3.3186443,2.18165,108.46487,140.63133,-0.48889506,3.6961818
77,21.154705,3.6240153,20.201077,25.674986,3.0372956,1.4478496
78,2.3583016,1.8217624,544.6542,647.25085,0.27019554,5.575989
79,1.224214,0.79967004,19.946907,20.226278,-0.014585857,2.4553242
