subj,alpha_mcmc,alpha_mcmc_sd,delta_mcmc,delta_mcmc_sd
1,0.15464744,0.046045408,0.38748097,0.079084985
2,-0.023040362,0.045802623,0.080582306,0.078888685
3,-0.021988194,0.04553621,0.06890458,0.078111865
4,0.0011295582,0.045787588,0.35315168,0.07862654
5,-0.189871,0.045651577,0.14631826,0.07783019
6,0.17226681,0.045026958,0.30187407,0.076979294
7,0.059103835,0.046307836,0.21217035,0.07882174
8,0.0666201,0.045258906,0.21488474,0.07801944
9,-0.109581515,0.045566984,0.13122226,0.07749032
10,-0.011728237,0.0462668,0.3479485,0.07934218
11,-0.028591942,0.045631193,0.26961115,0.07857857
12,0.14761281,0.045300074,0.18137188,0.077862635
13,-0.022748979,0.04535989,0.21768244,0.077430725
14,0.20275614,0.046059143,0.39781415,0.078699276
15,0.37896276,0.04509306,0.2199926,0.07711719
16,0.018400172,0.045738127,0.12084848,0.07837391
17,0.01774727,0.04563492,0.31853238,0.07767371
18,0.04180423,0.045682833,0.327593,0.07789279
19,-0.12142109,0.04549642,0.38869542,0.07887515
20,-0.029308582,0.04622733,0.4060089,0.07914529
21,0.16611949,0.045606967,0.20577963,0.07845615
22,0.0024195055,0.04606887,0.38916546,0.079368025
23,0.050717916,0.04622944,0.31076255,0.07848581
24,-0.045797158,0.045152165,0.259794,0.07705414
25,0.18423393,0.046361234,0.46287864,0.079559185
26,0.3840166,0.04576908,0.2762922,0.07782007
27,-0.004329091,0.045842007,0.24171211,0.07885514
28,0.014200832,0.045801412,0.38708586,0.07859738
29,0.118698426,0.045645963,0.22080639,0.07815276
30,-0.05369167,0.045401108,0.25420547,0.077731565
31,-0.079884104,0.045534037,0.20885034,0.07720327
32,0.025045648,0.04515168,0.14573486,0.07717827
33,-0.058591314,0.0473461,0.2926822,0.080784306
34,-0.029936332,0.045328524,0.1832852,0.07744931
35,0.09808932,0.04516257,0.12718418,0.07737793
36,0.07783357,0.04526523,0.2169252,0.077650204
37,0.20571765,0.045671213,0.13512409,0.07827924
38,0.015940316,0.045706794,0.35299537,0.077689804
39,-0.013061512,0.045592688,0.10210445,0.076820746
40,-0.05114482,0.045434326,0.22418287,0.077534415
41,0.014031376,0.045413204,0.09929854,0.07839117
42,0.1430281,0.045944724,0.053821456,0.07805539
43,0.052469414,0.04572513,0.09713779,0.07845549
44,-0.0097948555,0.04541712,0.15463684,0.078207254
45,0.08864785,0.045877416,0.21025059,0.078372285
46,0.058430888,0.046160124,0.2871745,0.079939164
47,-0.013456468,0.045554344,0.10116367,0.0775689
48,0.04446253,0.04550431,0.2594785,0.07806665
49,0.05460167,0.045145966,0.37606356,0.07806002
50,0.17531025,0.046741523,0.1937573,0.07970501
51,0.15518358,0.045702487,0.3771339,0.07916746
52,0.006173014,0.04599561,0.044392586,0.07893927
53,0.04385466,0.045477696,0.22732118,0.07840745
54,-0.0348495,0.04523995,0.26150948,0.07735775
55,0.01608423,0.04572563,0.14841232,0.07839577
56,0.026416035,0.045966037,0.30214843,0.0784611
57,-0.02790832,0.045993652,0.14742672,0.07863986
58,-0.14220914,0.045568906,0.14209796,0.078149594
59,0.007567831,0.045328297,0.12107758,0.07780009
60,-0.14200692,0.045007836,0.25521743,0.078422904
61,0.03135591,0.04577702,0.21447012,0.07875444
62,-0.23513094,0.04585231,0.22368644,0.07808956
63,-0.12800726,0.048342455,1.2516797,0.08626558
64,0.0018694131,0.045119215,0.19278286,0.07782814
65,0.122465484,0.045598727,0.1896153,0.078405924
66,-0.1009045,0.04533306,0.01883232,0.07614495
67,-0.11812124,0.045097336,0.053338584,0.076912224
68,-0.11507091,0.045810264,0.16847333,0.07811928
69,0.026930667,0.045623366,0.24823126,0.077894524
70,-0.011111011,0.045286648,0.14980258,0.077674754
71,-0.12221577,0.04627087,0.121018015,0.078279145
72,0.40869567,0.04554301,0.11934101,0.07800614
73,0.022155128,0.046286676,0.34449938,0.07908741
74,-0.08414533,0.04594853,0.056591265,0.07858964
75,-0.103952646,0.045568347,0.35781497,0.07814852
76,-0.036498543,0.04521935,0.072556674,0.0779133
77,0.51379144,0.04465338,0.09984446,0.0763783
78,0.052864324,0.04565281,0.355412,0.07826645
79,0.19361587,0.046567913,0.2455046,0.07879668
80,0.16555825,0.04598539,0.24841587,0.07862356
81,-0.11045933,0.045325678,0.36836362,0.07709866
82,-0.014031317,0.045928475,0.09037591,0.078736044
83,-0.1849442,0.045443624,0.008492461,0.07707815
84,-0.0917059,0.045277763,0.22515695,0.077798
85,-0.040408652,0.045627337,0.28021207,0.07847521
86,-0.08204647,0.046266753,0.3367993,0.07874478
87,-0.0263476,0.04500219,0.3834582,0.07745838
88,0.13953461,0.04500271,0.28458908,0.077165544
89,0.102209926,0.046073444,0.1888449,0.0783614
90,0.05940024,0.045584418,0.25107896,0.078012876
91,0.14937748,0.046165843,0.18025357,0.07800884
92,-0.061731372,0.04595258,0.3650375,0.07819214
93,0.054666556,0.04533361,0.14343469,0.07720758
94,-0.014872039,0.045811158,0.3633642,0.07827671
95,0.03347693,0.04595853,0.19985664,0.07929958
96,-0.2229544,0.04613096,0.1527948,0.07819488
97,-0.26241046,0.046477336,0.20585074,0.07931136
98,0.11392684,0.04508068,0.10068866,0.07854158
99,0.019623114,0.04586241,0.11957422,0.079007596
100,-0.11775527,0.045199182,0.31175175,0.0780122
101,0.2642595,0.04563256,0.2604474,0.076961964
102,-0.02831995,0.04544293,0.3112873,0.07772357
103,-0.120459564,0.045329127,0.21671994,0.07713634
104,0.14237659,0.04548787,0.1536607,0.07809538
105,0.018119449,0.044996098,0.296611,0.077319026
106,-0.08006107,0.045584742,0.14687328,0.07746224
107,0.08356582,0.046089903,0.35374728,0.078915246
108,0.057770208,0.04526356,0.31520903,0.07769983
109,0.07629492,0.04555793,0.2309879,0.07838387
110,0.15376319,0.046123367,0.09372702,0.07874204
111,-0.10575264,0.048828803,0.15863715,0.082235284
112,0.1434493,0.045269653,0.31006184,0.07766833
113,-0.078062154,0.04505527,0.17075568,0.0771045
114,0.07118222,0.045371957,0.21118033,0.07749427
115,0.013467218,0.045431808,0.25732931,0.07819128
116,0.08468582,0.045655843,0.24139492,0.07757043
117,0.16714415,0.046562444,0.05202113,0.07983545
118,-0.049346946,0.045566406,0.12114786,0.07863143
119,-0.0637066,0.04535727,0.23037435,0.07865718
