predictor,mean,ci_lo,ci_hi,p_direction,direction,outcome,outcome_type,outcome_raw,p_rope
log(k),-0.0127,-0.1351,0.1111,0.577,-,F1 (Distress),factor,,0.883
log(beta),-0.0692,-0.188,0.0478,0.8832,-,F1 (Distress),factor,,0.7028
alpha,-0.1116,-0.2519,0.026,0.9398,-,F1 (Distress),factor,,0.4378
delta,-0.0687,-0.1923,0.058,0.8592,-,F1 (Distress),factor,,0.682
log(k),0.0413,-0.0752,0.1616,0.7478,+,F2 (Fatigue),factor,,0.8298
log(beta),-0.1022,-0.2299,0.0254,0.9412,-,F2 (Fatigue),factor,,0.4902
alpha,-0.0489,-0.1757,0.0786,0.775,-,F2 (Fatigue),factor,,0.7728
delta,0.0496,-0.0779,0.175,0.779,+,F2 (Fatigue),factor,,0.7768
log(k),0.0002,-0.137,0.1304,0.5005,+,F3 (Apathy),factor,,0.8582
log(beta),-0.0421,-0.1858,0.1016,0.716,-,F3 (Apathy),factor,,0.7568
alpha,-0.2675,-0.4109,-0.1239,1.0,-,F3 (Apathy),factor,,0.0132
delta,-0.1383,-0.2795,0.0048,0.9712,-,F3 (Apathy),factor,,0.3008
log(k),-0.0719,-0.1852,0.0428,0.888,-,DASS Stress,subscale,DASS21_Stress,
log(beta),-0.0468,-0.1512,0.0587,0.8122,-,DASS Stress,subscale,DASS21_Stress,
alpha,0.0203,-0.1024,0.1455,0.6248,+,DASS Stress,subscale,DASS21_Stress,
delta,0.0122,-0.1011,0.1264,0.584,+,DASS Stress,subscale,DASS21_Stress,
log(k),-0.0613,-0.1735,0.0519,0.8575,-,DASS Anxiety,subscale,DASS21_Anxiety,
log(beta),0.0132,-0.1074,0.1275,0.5905,+,DASS Anxiety,subscale,DASS21_Anxiety,
alpha,-0.0142,-0.1345,0.1065,0.5888,-,DASS Anxiety,subscale,DASS21_Anxiety,
delta,-0.1357,-0.251,-0.0225,0.9912,-,DASS Anxiety,subscale,DASS21_Anxiety,
log(k),-0.0655,-0.1836,0.0529,0.8548,-,DASS Depression,subscale,DASS21_Depression,
log(beta),-0.0553,-0.1562,0.0483,0.8588,-,DASS Depression,subscale,DASS21_Depression,
alpha,0.0678,-0.0476,0.1855,0.8705,+,DASS Depression,subscale,DASS21_Depression,
delta,-0.0201,-0.1288,0.0943,0.6405,-,DASS Depression,subscale,DASS21_Depression,
log(k),-0.0104,-0.1321,0.1072,0.5615,-,AMI Behavioural,subscale,AMI_Behavioural,
log(beta),0.0701,-0.0356,0.1748,0.903,+,AMI Behavioural,subscale,AMI_Behavioural,
alpha,0.1359,0.0271,0.2435,0.9942,+,AMI Behavioural,subscale,AMI_Behavioural,
delta,0.0188,-0.104,0.1375,0.614,+,AMI Behavioural,subscale,AMI_Behavioural,
log(k),-0.0247,-0.1338,0.0808,0.659,-,AMI Social,subscale,AMI_Social,
log(beta),0.0991,-0.0217,0.2137,0.9518,+,AMI Social,subscale,AMI_Social,
