test_type,parameter,metric,r,p,p_fdr,n,sig
param_x_calibration,delta,S_slope_anxiety,-0.2145421464597948,0.00023851674393831083,0.0019081339515064867,289,True
param_x_calibration,delta,S_slope_confidence,0.2539601821694014,1.156113254221283e-05,0.00018497812067540527,291,True
param_x_calibration,delta,mean_response_anxiety,-0.18795083190008574,0.0012279742411903341,0.0065491959530151155,293,True
param_x_calibration,delta,mean_response_confidence,0.04291353085502597,0.4643159623474938,0.6190879497966584,293,False
param_x_calibration,beta,S_slope_anxiety,-0.06726527501401314,0.25435078007940193,0.4069612481270431,289,False
param_x_calibration,beta,S_slope_confidence,0.13717315525293386,0.01923196758310304,0.04883616670772641,291,True
param_x_calibration,beta,mean_response_anxiety,-0.04823171581254073,0.41076751105326054,0.5974800160774699,293,False
param_x_calibration,beta,mean_response_confidence,0.0044382192538023,0.9397009722142539,0.9397009722142539,293,False
param_x_calibration,k,S_slope_anxiety,0.12022020787808235,0.04112188610655925,0.0822437722131185,289,False
param_x_calibration,k,S_slope_confidence,-0.10968797142083744,0.06166101334169269,0.10961957927412033,291,False
param_x_calibration,k,mean_response_anxiety,0.13441640055049364,0.021365822934630307,0.04883616670772641,293,True
param_x_calibration,k,mean_response_confidence,-0.1573621062475837,0.006956350751131918,0.027825403004527672,293,True
param_x_calibration,alpha,S_slope_anxiety,-0.0071682352703349595,0.9034269421888339,0.9397009722142539,289,False
param_x_calibration,alpha,S_slope_confidence,-0.007652312783690081,0.8965832504891877,0.9397009722142539,291,False
param_x_calibration,alpha,mean_response_anxiety,0.016849382835072278,0.7739572677597594,0.9397009722142539,293,False
param_x_calibration,alpha,mean_response_confidence,-0.14609270163621016,0.012298538852295789,0.03935532432734652,293,True
calibration_x_psych_factor,F1,S_slope_anxiety,0.06815137452495297,0.24979092289468216,0.3746863843420233,287,False
calibration_x_psych_factor,F1,S_slope_confidence,0.02184929108234877,0.711477613598018,0.8009143155939428,289,False
calibration_x_psych_factor,F2,S_slope_anxiety,0.104264596291443,0.07782378095300667,0.3702252158628861,287,False
calibration_x_psych_factor,F2,S_slope_confidence,0.07805379624838095,0.18577441310989448,0.37154882621978896,289,False
calibration_x_psych_factor,F3,S_slope_anxiety,0.014949177991982185,0.8009143155939428,0.8009143155939428,287,False
calibration_x_psych_factor,F3,S_slope_confidence,-0.0908311472142333,0.1234084052876287,0.3702252158628861,289,False
