subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
1,-0.0006875990098711622,0.001775358099257515,0.005092486754971032,0.9735148461710509,45,-0.3204305875777517,-0.9430400536587225
2,-0.00515159806753874,0.013301257305530239,0.027833755977893945,0.8559787479088984,45,-0.3204305875777517,-0.9430400536587225
3,-0.01899069291707834,0.04903334646622695,0.13470250071822615,0.3776608746890869,45,-0.3204305875777517,-0.9430400536587225
4,-0.005064389558557267,0.013076087794635536,0.040404696017622234,0.7921472532731773,45,-0.3204305875777517,-0.9430400536587225
5,0.04172418870714953,-0.10773048723567295,-0.1608733092580942,0.2911061520454047,45,-0.3204305875777517,-0.9430400536587225
6,0.04297078461278482,-0.1109491569920264,-0.152051199662253,0.31871564213483516,45,-0.3204305875777517,-0.9430400536587225
7,-0.0388005289361419,0.1001816935646289,0.14590530212255493,0.3388949911924134,45,-0.3204305875777517,-0.9430400536587225
8,-0.010280772719078136,0.026544618086144358,0.05515424393853455,0.7189603857507105,45,-0.3204305875777517,-0.9430400536587225
9,0.03354457549626321,-0.086610994109204,-0.1339523718357271,0.3803472900409825,45,-0.3204305875777517,-0.9430400536587225
10,0.016233875518903863,-0.041915334331596124,-0.09062410285515418,0.5538250222267197,45,-0.3204305875777517,-0.9430400536587225
11,0.01846945960148323,-0.04768753913497732,-0.11822370578828888,0.43924426974079517,45,-0.3204305875777517,-0.9430400536587225
12,-0.038413591954521036,0.09918263496454195,0.28101266943914993,0.06149494150963356,45,-0.3204305875777517,-0.9430400536587225
13,0.00922181685167112,-0.023810428756363976,-0.07193775967097495,0.6386388928150449,45,-0.3204305875777517,-0.9430400536587225
14,0.06786437205401533,-0.17871260766618263,-0.2755643431321481,0.0702185881295566,44,-0.3204305875777517,-0.9430400536587225
15,-0.027999999789393774,0.0722950814234346,0.26599635911954994,0.07737626553197899,45,-0.3204305875777517,-0.9430400536587225
16,0.06293171488973393,-0.1624876245103786,-0.29994701099163146,0.04530185767288429,45,-0.3204305875777517,-0.9430400536587225
17,0.021164288061772656,-0.05464549786441306,-0.11432451446662861,0.45458802273651505,45,-0.3204305875777517,-0.9430400536587225
18,0.013479132506361536,-0.03480267819265483,-0.07720843502268998,0.6141848688888387,45,-0.3204305875777517,-0.9430400536587225
19,-0.009893920234192246,0.02554577765385715,0.10442967813259735,0.49480107021076225,45,-0.3204305875777517,-0.9430400536587225
20,0.009616764140983312,-0.02483016970827671,-0.07435292003933747,0.6273842734361796,45,-0.3204305875777517,-0.9430400536587225
21,-0.01938168108526537,0.0500428650972015,0.08579186027770654,0.5752412938182281,45,-0.3204305875777517,-0.9430400536587225
22,-0.018685727679107752,0.048245936220647254,0.12425733581490517,0.41607686902887414,45,-0.3204305875777517,-0.9430400536587225
23,-0.01627570376923897,0.04202333350254325,0.07330906894327824,0.6322385455069822,45,-0.3204305875777517,-0.9430400536587225
24,0.030057235171900308,-0.07760679573072644,-0.1790943305479635,0.23913954763502215,45,-0.3204305875777517,-0.9430400536587225
