subscale,F1,F2,F3
DASS21_Stress,0.7816340627069818,-0.38285824483374004,-0.21553762756558204
DASS21_Anxiety,0.8415281736933831,-0.2449849398547423,-0.003533005612483479
DASS21_Depression,0.6625685168703119,-0.3564608742472424,-0.5144768597676544
AMI_Behavioural,0.22610269065938404,-0.403931321856607,-0.5561707879165383
AMI_Social,0.11739420769197642,-0.18605108174939028,-0.6125028444286342
AMI_Emotional,-0.3500233920657484,0.2316969089100704,-0.15952608425149536
MFIS_Physical,0.48550005276456354,-0.775714948764647,-0.09405445393012012
MFIS_Cognitive,0.463785475177227,-0.7512339076166941,-0.24455019502287106
MFIS_Psychosocial,0.3932504399114956,-0.6739452368171504,-0.33893579902024207
OASIS_Total,0.7086846436090839,-0.42296774057530556,-0.20609043096226742
PHQ9_Total,0.7177704366546446,-0.40678256975518245,-0.38800195955560374
STICSA_Total,0.8602316225144689,-0.34223802596775726,-0.09929931337063314
STAI_Trait,-0.5349673643273039,0.38739595412746897,0.3530578445708009
