factor,predictor,beta,ci_lo,ci_hi,p,R2,adj_R2,F,F_p
F1,k,0.01629104928923399,-0.10078572546097785,0.13336782403944583,0.7843683224983591,0.022676505731359264,0.005530479516119846,1.3225516773795922,0.2545093337839292
F1,z,-0.10029498132216906,-0.21497186747605657,0.014381904831718459,0.08625060146803949,0.022676505731359264,0.005530479516119846,1.3225516773795922,0.2545093337839292
F1,β,-0.007699197892942563,-0.11972694236164429,0.10432854657575917,0.8924902788236055,0.022676505731359264,0.005530479516119846,1.3225516773795922,0.2545093337839292
F1,α,-0.055387452636384955,-0.17439904028358832,0.06362413501081843,0.36041595831594164,0.022676505731359264,0.005530479516119846,1.3225516773795922,0.2545093337839292
F1,ρ,0.05476755057212199,-0.05911343593708618,0.16864853708133015,0.3446424431314596,0.022676505731359264,0.005530479516119846,1.3225516773795922,0.2545093337839292
F2,k,-0.009945652166526604,-0.11480289363019561,0.09491158929714241,0.8520331308860659,0.09716209495983719,0.08132283346790448,6.134256638753277,2.0411261961967233e-05
F2,z,0.10514359347747501,0.0024357595164262585,0.20785142743852375,0.04484323705204985,0.09716209495983719,0.08132283346790448,6.134256638753277,2.0411261961967233e-05
F2,β,-0.05720714338224774,-0.15754233178701385,0.04312804502251836,0.2626967235767037,0.09716209495983719,0.08132283346790448,6.134256638753277,2.0411261961967233e-05
F2,α,-0.2718750292033966,-0.3784651433359593,-0.16528491507083393,9.095705778536892e-07,0.09716209495983719,0.08132283346790448,6.134256638753277,2.0411261961967233e-05
F2,ρ,-0.0564475234642515,-0.15844252739217846,0.04554748046367545,0.27692551615794725,0.09716209495983719,0.08132283346790448,6.134256638753277,2.0411261961967233e-05
