subj,k,beta,alpha
1,4.899968,133.17061,0.7252699
2,15.077516,67.03376,0.66683894
3,6.088634,45.905342,0.34048268
4,2.16343,101.61145,0.7953145
5,1.4874257,50.00836,0.24332698
6,4.997633,134.56029,0.62070155
7,4.855934,67.48411,0.6418693
8,12.009285,57.30812,0.48115176
9,5.09695,32.830723,0.2796844
10,4.0875006,146.15361,0.49967152
11,4.5024285,88.27528,0.43045953
12,9.757399,87.52578,0.73734015
13,2.6918693,38.719246,0.54919624
14,2.111133,61.66994,0.6871863
15,10.357297,44.966274,0.81027985
16,17.82904,41.26396,0.2926229
17,5.747448,57.0258,0.8179998
18,3.1142843,47.468483,0.6115383
19,3.7683573,165.38536,0.49604255
20,2.3422155,186.84964,0.58705693
21,3.0210168,62.483288,0.81557107
22,1.7348186,84.34412,0.80386335
23,2.3208065,86.59633,0.592082
24,1.096462,25.122568,0.6879298
25,3.5421221,117.22407,0.8001704
26,7.824399,56.00787,0.6403839
27,7.253459,55.882782,0.34267768
28,2.9147205,166.25957,0.62708575
29,2.907092,38.810726,0.6715052
30,2.9118993,117.667496,0.4904068
31,2.4679227,38.56733,0.41176528
32,14.347065,49.450275,0.8201186
33,1.6419424,89.94689,0.54115134
34,8.081704,55.177185,0.5820591
35,27.814705,57.102993,0.2854009
36,3.8495965,78.03044,0.7515288
37,17.016394,41.08997,0.8238889
38,5.102829,44.59285,0.6268926
39,1.0605565,17.799374,0.70533943
40,2.3650684,46.782112,0.5834399
41,11.717642,70.07289,0.49274284
42,3.70742,26.783321,0.5238495
43,16.76653,41.23498,0.37819058
44,5.8297577,147.17017,0.45536947
45,9.232835,45.483177,0.6867326
46,5.9162016,96.38295,0.6794166
47,3.3540764,24.331522,0.70835394
48,7.212363,90.16615,0.43884873
49,2.55855,159.09279,0.7496479
50,6.9504113,63.84047,0.7849211
51,1.2434722,44.046238,0.7724692
52,10.327724,55.277782,0.18677764
53,8.973006,66.551315,0.59155643
54,3.2563288,55.964222,0.6010665
55,12.224741,33.021133,0.6165586
56,5.17883,67.43174,0.64497083
57,5.822284,33.361908,0.81826085
58,5.9900513,48.713387,0.1985614
59,7.043911,35.89729,0.55784696
60,2.479883,41.214577,0.2703867
61,6.795939,48.71642,0.51918536
62,1.0102203,38.226444,0.29459962
63,2.0739882,76.53298,0.89287704
64,10.1832,50.631283,0.28489387
65,9.058773,39.545044,0.6962148
66,0.97181547,21.522045,0.50092304
67,1.7771767,40.654415,0.4582505
68,2.95724,51.420467,0.33337048
69,1.9441162,59.71458,0.3642999
70,11.384634,48.951817,0.40274444
71,5.249775,44.62916,0.30324084
72,28.67835,60.325985,0.81817317
73,6.2407856,89.818184,0.6024893
74,16.616774,57.693844,0.30086866
75,5.6448116,82.8423,0.5387046
76,4.2507343,33.806343,0.42820865
77,21.20531,32.186638,0.58646834
78,2.9535754,108.550896,0.66286474
79,1.0904804,23.808712,0.5678763
80,8.79344,65.15647,0.6886919
81,3.0376318,82.309746,0.41148552
82,12.162834,69.63097,0.49836475
83,0.6187492,19.12843,0.32266754
84,5.038889,115.70036,0.6136646
85,5.7669916,84.025986,0.7297509
86,1.2591798,30.779442,0.80712795
87,1.5485446,96.3376,0.78487766
88,7.461862,80.30859,0.7136424
89,9.812832,92.345764,0.60449535
90,1.7959032,27.543297,0.7982687
91,0.7044756,14.950658,0.75472575
92,1.522711,57.425583,0.7912018
93,2.082443,29.622454,0.6894537
94,6.118297,95.46145,0.5043126
95,5.0090737,114.9283,0.6554093
96,1.1875741,33.639023,0.30820906
97,1.1551734,32.317986,0.4398968
98,39.63606,54.350357,0.6482889
99,6.61164,106.97386,0.6173367
100,2.7851603,61.50997,0.47733232
101,0.9502273,19.66679,0.7559686
102,4.077133,144.22389,0.54277223
103,1.6676666,52.570763,0.41842365
104,9.868554,48.154217,0.4540678
105,2.969409,160.70238,0.7204116
106,2.0567596,59.163177,0.38004708
107,2.0055802,39.03518,0.8051621
108,5.70385,104.61582,0.7173015
109,6.290745,55.08339,0.6236258
110,23.532415,50.39747,0.5239992
111,7.4557304,73.071335,0.13589199
112,4.792758,73.81376,0.819569
113,4.170989,42.184376,0.639204
114,5.715928,57.766796,0.6303692
115,2.0515947,204.18968,0.69405776
116,5.6165423,30.035778,0.87853515
117,10.941643,57.07237,0.4809372
118,8.737112,79.41806,0.16699901
119,13.164524,54.391426,0.24009342
120,2.0203936,208.03712,0.66122794
121,8.069454,64.717125,0.41503674
122,1.5204823,105.52586,0.46647343
123,5.5935545,31.149359,0.4872858
124,41.038208,59.859207,0.6717711
125,4.950106,74.83368,0.55850565
126,5.2856956,130.69579,0.4334223
127,7.308754,43.284344,0.5696823
128,6.973568,90.69676,0.3575932
129,3.0934243,190.15598,0.53691304
130,0.8512489,23.294043,0.63986355
131,1.9876589,44.881668,0.6925826
132,2.9089594,40.892582,0.39624465
133,2.4730647,51.385418,0.31101343
134,20.053225,46.977722,0.23557602
135,2.084271,93.15067,0.59369797
136,1.4818519,100.32253,0.75573707
137,1.9966868,70.925026,0.64447767
138,4.535477,54.665176,0.27632225
139,12.255114,32.37485,0.70353645
