model,ELBO,per_subj_params,total_params,BIC,dELBO,dBIC
L4a_add_norm,-6262.624069824219,2,592,18141.454518130573,0.0,0.0
L4a_hyp,-6418.146389160156,2,592,18452.499156802445,-155.52231933593703,311.04463867187224
L4b_hyp_eff,-6429.156062011719,2,592,18474.51850250557,-166.53199218749978,333.0639843749959
L3_survival,-6449.348537597656,2,592,18514.903453677445,-186.72446777343703,373.44893554687224
L3b_surv_zi,-6561.153876953125,3,886,21527.643651431878,-298.5298071289062,3386.1891333013045
L4a_unified,-6625.55021484375,2,592,18867.306808169633,-362.92614501953085,725.8522900390599
L4b_unified_eff,-6632.340471191406,2,592,18880.887320864946,-369.71640136718725,739.4328027343727
L2_TxD,-6780.387211914062,2,592,19176.98080231026,-517.7631420898433,1035.5262841796866
L1_threat,-6783.917817382812,2,591,19174.55517814897,-521.2937475585932,1033.1006600183973
L0_effort,-8297.617338867187,1,296,19403.33786697544,-2034.9932690429678,1261.8833488448654
