affect,phase,model,beta,p,n,p_fdr,sig
anxiety,onset_slope,M1_raw,-0.005253505648125817,0.7281345326766222,3123,0.8510610750921627,False
anxiety,onset_slope,M2_resid,-0.0059578172985320236,0.6220321712095311,3123,0.8479562414109333,False
anxiety,onset_mean,M1_raw,0.0018091869596272877,0.877794796261392,3123,0.877794796261392,False
anxiety,onset_mean,M2_resid,0.0052188891135939944,0.5749284782023045,3123,0.8479562414109333,False
anxiety,enc_spike,M1_raw,-0.008536100067451268,0.6359671810581999,3123,0.8479562414109333,False
anxiety,enc_spike,M2_resid,-0.017654539555487927,0.2327925385392121,3123,0.6735681300222637,False
anxiety,term_mean,M1_raw,0.007973935291652889,0.6189112850983426,3123,0.8479562414109333,False
anxiety,term_mean,M2_resid,0.002416066475862171,0.850920390546062,3123,0.877794796261392,False
confidence,onset_slope,M1_raw,-0.01912845141067176,0.24185003799251936,3277,0.6735681300222637,False
confidence,onset_slope,M2_resid,-0.014319385471120896,0.2907122017206345,3277,0.6735681300222637,False
confidence,onset_mean,M1_raw,0.013320507706189267,0.29468605688474037,3277,0.6735681300222637,False
confidence,onset_mean,M2_resid,0.011097536131271148,0.28373208317679743,3277,0.6735681300222637,False
confidence,enc_spike,M1_raw,-0.03330968351087418,0.06266322374438518,3277,0.6735681300222637,False
confidence,enc_spike,M2_resid,-0.025635561315983994,0.0923984635086658,3277,0.6735681300222637,False
confidence,term_mean,M1_raw,0.005833512063138348,0.7446784407056424,3277,0.8510610750921627,False
confidence,term_mean,M2_resid,0.007535864501311833,0.6181193921918414,3277,0.8479562414109333,False
