subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
1,0.1,1,1,1.0553729555837381,5,0.11287431166742488,0.05047892676037193,5.0,0.9,1.0894255691827468,0.9687425974180559,0.9687425974180559
1,0.1,2,0,0.9557706790300349,2,0.12672385987325757,0.08960730065451425,1.0,0.4,1.0662310764866647,0.8964010711255879,0.8964010711255879
1,0.1,2,1,1.0154345033400254,3,0.09026859564393643,0.05211659799439618,5.0,0.9,1.0894255691827468,0.9320824956419673,0.9320824956419673
1,0.1,3,0,0.9787452657737846,1,,,1.0,0.4,1.0662310764866647,0.9179485454493088,0.9179485454493088
1,0.1,3,1,1.1154441980230188,4,0.08981937289054874,0.04490968644527437,5.0,0.9,1.0894255691827468,1.0238828879881994,1.0238828879881994
1,0.5,1,0,1.181800978260193,2,0.04399602747635678,0.031109889373801543,1.0,0.4,1.0662310764866647,1.1083910461082624,1.1083910461082624
1,0.5,1,1,1.1714506197842052,3,0.09605861906143932,0.05545946957310571,5.0,0.9,1.0894255691827468,1.0752920189517776,1.0752920189517776
1,0.5,2,0,1.0696596718355873,5,0.14611503011515575,0.06534462797438344,1.0,0.4,1.0662310764866647,1.0032156212893553,1.0032156212893553
1,0.5,3,0,1.0208117677818098,5,0.09741452903507967,0.04356510178371303,1.0,0.4,1.0662310764866647,0.9574020025241471,0.9574020025241471
1,0.9,1,0,1.105480777194106,5,0.12776365479239207,0.05713764343392109,1.0,0.4,1.0662310764866647,1.0368116270225145,1.0368116270225145
1,0.9,2,0,1.107623721026515,5,0.11997368041621087,0.05365386098429655,1.0,0.4,1.0662310764866647,1.0388214576114618,1.0388214576114618
1,0.9,3,0,1.1099557509912867,5,0.13354484169618322,0.059723068815422796,1.0,0.4,1.0662310764866647,1.041008628869362,1.041008628869362
2,0.1,1,0,0.7089233263965975,2,0.42369061464364854,0.2995945067396202,1.0,0.4,0.5483743122660808,1.292772674684688,1.292772674684688
2,0.1,1,1,0.5762823958425541,3,0.24222868509933312,0.1398507965475491,5.0,0.9,0.5872910344831234,0.9812552244216397,0.9812552244216397
