subj,alpha_bayes,alpha_sd,rho_bayes,rho_sd,alpha_ols,rho_ols,k,z,beta
1,0.7252699,0.028219843,0.34897336,0.050623,0.7304526748971193,0.3408119658119658,1.3418040164475928,0.4182297493840085,2.2173812026765427
2,0.66683894,0.028008496,0.4293992,0.049518995,0.6707818930041153,0.413003663003663,3.879060808761052,1.2744270741712531,0.895139982286964
3,0.34048268,0.027920458,0.57102203,0.048198584,0.335978835978836,0.5582155939298796,2.3275049205839204,0.3983702635039089,0.3523958350362968
4,0.7953145,0.029585974,0.5478056,0.049541414,0.8010973936899862,0.5717140921409214,0.5774029174051979,0.3785853277354705,2.205441705675994
5,0.24332698,0.029428072,0.600665,0.049064633,0.23765432098765432,0.5916158536585365,0.9179119069373678,0.2544944633975183,0.460740200696025
6,0.62070155,0.028993854,0.27001894,0.049512066,0.6225749559082893,0.24738675958188153,1.581462210174567,0.4072860675527447,1.7712965718685134
7,0.6418693,0.028993428,0.33525553,0.05001288,0.6447784810126582,0.30232371794871793,1.9517219177217875,0.2582745980042664,1.1849322245074545
8,0.48115176,0.027945235,0.55753714,0.04829892,0.4799382716049383,0.5582698170731707,4.184427799987145,0.4389235639291188,1.5535276093390031
9,0.2796844,0.028570013,0.70618916,0.050120153,0.27469135802469136,0.7263431013431012,4.120519708010268,0.1657389997499217,0.360010329960115
10,0.49967152,0.029068235,0.63798565,0.049200904,0.49931412894375854,0.6576558265582656,0.5744530389325879,0.2873929699762642,6.170478939993395
11,0.43045953,0.028336575,0.67297864,0.050960142,0.4285714285714286,0.6798796441653584,1.9657074640501488,0.3485208382183225,0.6998468921155834
12,0.73734015,0.02892722,0.32328817,0.050176933,0.7417695473251029,0.30311355311355315,1.7543299103260608,1.214212420483568,1.0490879715886952
13,0.54919624,0.028900845,0.6524063,0.05029005,0.5501543209876543,0.6847942073170732,1.354943400023363,0.1871786626094775,0.9287202872404616
14,0.6871863,0.028573437,0.56732774,0.049308393,0.690625,0.5750000000000001,0.5589590809904431,0.2210634395801867,2.200972210578477
15,0.81027985,0.028534276,0.30273083,0.049663655,0.8158436213991769,0.2841880341880342,4.1201569188898555,0.4869392502800209,0.7394484733137351
16,0.2926229,0.028039942,0.50824505,0.04866925,0.2876543209876543,0.5123626373626374,4.680902005784559,0.4085587005340864,1.8507414682986187
17,0.8179998,0.028718716,0.46894738,0.048884254,0.8248456790123457,0.45959249084249076,1.3687721830017758,0.455405949866281,1.3106225921195656
18,0.6115383,0.028755613,0.5099659,0.050172612,0.6137566137566137,0.5102351916376306,1.180794381975226,0.2205720699057946,1.3477042348286072
19,0.49604255,0.028849779,0.6921164,0.051289447,0.49537037037037035,0.7336309523809524,0.8543699534867591,0.4611254449530632,2.7710381748294477
20,0.58705693,0.028937574,0.6249823,0.047935348,0.5881834215167548,0.6619773519163763,0.6044684505488823,0.4864218296128363,2.7637464553331816
21,0.81557107,0.029263072,0.32014987,0.049597606,0.8217592592592593,0.30632621951219513,1.286945365387818,0.4257790799120752,0.6695842599868582
22,0.80386335,0.028865421,0.4245786,0.049979772,0.8098765432098765,0.41036585365853656,0.6585592705125387,0.403549194209585,1.35466435358935
23,0.592082,0.028747788,0.6379057,0.049760576,0.5937149270482605,0.6772172949002218,1.0150504053758935,0.3513330713312936,1.0097969366139234
24,0.6879298,0.028858954,0.5576719,0.04768181,0.691358024691358,0.5818978658536585,0.5870376898997139,0.1715794040434243,0.9709117761565226
25,0.8001704,0.02934171,0.2460115,0.05005195,0.8065843621399177,0.19398656898656896,0.5742935756758285,0.2855688163134447,6.159661625585048
26,0.6403839,0.028831912,0.2830091,0.05003634,0.6432098765432099,0.23663003663003662,3.249760063582248,0.3422358355217793,1.0231753118711997
27,0.34267768,0.028827637,0.6390286,0.05024506,0.33905967450271246,0.6746794871794872,3.095738354891073,0.2641200886954921,1.1109549191144124
28,0.62708575,0.028566144,0.64503443,0.05042667,0.6296296296296297,0.6858974358974359,0.6520427944838711,0.364114893661275,3.646645101278735
29,0.6715052,0.028586127,0.5076439,0.0488209,0.6746031746031745,0.5079801151229721,1.4220130016995132,0.3499624711122029,0.2980811651328074
30,0.4904068,0.027993616,0.60256803,0.050719615,0.4897119341563786,0.6112128612128612,1.027162692138499,0.3865912123035048,1.2522098988015469
31,0.41176528,0.02893102,0.5668114,0.049950536,0.41005291005291006,0.5433797909407666,1.4107163503294204,0.2161144650608523,0.4210454982099362
32,0.8201186,0.028596096,0.27126995,0.051915474,0.8271604938271605,0.22783882783882786,3.962290791790163,0.5244423555962837,2.1024234003350384
33,0.54115134,0.028853044,0.6210603,0.048737127,0.541838134430727,0.6556571815718157,0.5422557095388907,0.4546907197304857,0.9844394543679116
34,0.5820591,0.028720077,0.71453816,0.04887691,0.5837742504409171,0.7603658536585366,2.241784285086499,0.5181095718280299,0.6840868182339338
35,0.2854009,0.028759949,0.7294167,0.048589587,0.2808641975308642,0.771265243902439,4.569057106367232,0.8449281776724121,2.4898450498067404
36,0.7515288,0.02912383,0.49059644,0.049299743,0.7569444444444444,0.4951705927315682,1.4900825184992974,0.3997823991543442,0.7492027810319414
37,0.8238889,0.0270186,0.3908889,0.049559508,0.8306878306878308,0.3902439024390244,4.340607286783255,0.5100563769463137,1.6377754145345849
38,0.6268926,0.029154336,0.58525324,0.04872275,0.6296296296296297,0.5996612466124661,1.3486494820817712,0.2446194016384747,1.53412652382672
39,0.70533943,0.02856602,0.5733517,0.04854585,0.7098765432098766,0.5881410256410257,1.1889862552495656,0.1436406909248488,0.2113789189291342
40,0.5834399,0.028964406,0.57545584,0.05009218,0.5850480109739369,0.5967818428184282,1.0918620107854726,0.3061187018720704,0.6448127746681589
41,0.49274284,0.02843405,0.48906434,0.049474373,0.4925925925925926,0.5036585365853659,4.224906659897206,0.6640297651870668,0.6744109793274622
42,0.5238495,0.028839165,0.58920485,0.04846165,0.5239197530864198,0.6049923780487805,1.6425387778203364,0.2614228177706483,0.3334909979116632
43,0.37819058,0.028756345,0.65521,0.049847562,0.3747795414462081,0.6841967556253271,4.645490669919152,0.7279114281685519,0.845287916734308
44,0.45536947,0.029272344,0.5633815,0.04921822,0.45390625,0.5859375,1.799963940659687,0.6254638198475659,0.8565170377379075
45,0.6867326,0.028794836,0.45879728,0.049440563,0.6905864197530864,0.4574175824175824,2.6988686125494104,0.3897526989372054,1.3049064352603197
46,0.6794166,0.029530402,0.41041228,0.049681716,0.6828703703703703,0.3945121951219512,0.963880979761257,0.3479896787700556,5.513972356748363
47,0.70835394,0.028775705,0.58520955,0.050182257,0.7129629629629629,0.608689024390244,2.0717105970054126,0.1938635674030095,0.3082040981966006
48,0.43884873,0.028271044,0.6017164,0.04991761,0.4375,0.6093177655677655,1.4843299337214615,0.4799093467144147,2.4536447233956222
49,0.7496479,0.028431935,0.48164114,0.04928436,0.7544581618655694,0.4959349593495935,1.0269456796507397,0.41029160857904,2.034294120234209
50,0.7849211,0.027939044,0.41392055,0.050808676,0.7910714285714285,0.3958109559613319,1.9863960418994968,0.4996989321353947,0.9804776452267816
51,0.7724692,0.028178852,0.30362546,0.050326064,0.7777777777777778,0.2780830280830281,0.5342499208033692,0.3574033433959903,0.7091530352850375
52,0.18677764,0.028743802,0.64390135,0.049611203,0.17978395061728394,0.6656364468864469,4.046870260881814,0.5435040948656156,0.3940757537344546
53,0.59155643,0.027998345,0.5219513,0.048982926,0.5925925925925926,0.5283557731538148,2.0384839725648853,0.314616009033204,4.308609303431857
54,0.6010665,0.028357549,0.7275139,0.049199976,0.6031746031746031,0.782051282051282,1.4242621138153733,0.2785644103502367,0.9148276526667312
55,0.6165586,0.029110808,0.3340973,0.049947146,0.6188271604938271,0.31169871794871795,4.674588539314689,0.2358830468424642,1.8099851880085385
56,0.64497083,0.029335205,0.6869861,0.050483555,0.6481481481481481,0.7102793040293041,1.3944535133370075,0.2983790509236732,1.7737748902258936
57,0.81826085,0.028410863,0.40884268,0.049816087,0.8246913580246913,0.3928571428571429,2.944144396559402,0.3222813743840254,0.3614165265561437
58,0.1985614,0.028223045,0.6208369,0.048991203,0.19166666666666668,0.6352339181286549,2.269427210290831,0.2615364781683405,0.8573315367331263
59,0.55784696,0.028551089,0.6807467,0.04893948,0.5578703703703703,0.6894435975609756,2.2553131237537065,0.3816388360490129,0.6104768525567569
60,0.2703867,0.029599197,0.6089819,0.049029827,0.2644230769230769,0.5993589743589743,1.1383270093005566,0.1589473997713798,1.0326703178708732
61,0.51918536,0.02920283,0.67989117,0.050017346,0.5185185185185185,0.7039508110936683,2.94493772466966,0.2792725734447741,0.7853257709492011
62,0.29459962,0.028553406,0.47844934,0.04951766,0.29012345679012347,0.4499618902439024,0.4730379859471448,0.2633481113257353,0.4958015180671256
63,0.89287704,0.02813222,0.72994804,0.05087416,0.9005486968449932,0.7572154471544715,0.6787577623645026,0.3456386726163603,1.8028243690543384
64,0.28489387,0.028594475,0.66083646,0.050275344,0.2800925925925926,0.6733231707317073,4.5052466903029345,0.2711215419041038,1.327780454568496
65,0.6962148,0.028111406,0.49206007,0.05052571,0.7000000000000001,0.5024725274725275,3.572654643662214,0.3286675120365058,0.875826680830726
66,0.50092304,0.028771486,0.71530634,0.049859896,0.5010288065843622,0.7501524390243901,0.7498531006130869,0.187531579513457,0.3440523005864219
67,0.4582505,0.027933164,0.43372303,0.049117014,0.4567901234567901,0.4009844322344322,0.9988949772929704,0.3488336738622974,0.3147951349058583
68,0.33337048,0.02923925,0.47979894,0.048300434,0.32901234567901233,0.4855569155446757,1.2296230442705087,0.3409761186263625,0.4459295630962028
69,0.3642999,0.027196664,0.56546414,0.0503267,0.3607681755829904,0.5758038258038258,0.8816191506612737,0.2288122997987329,0.9825475668738342
70,0.40274444,0.027885938,0.58886826,0.050527003,0.40046296296296297,0.5921474358974359,4.440951594899177,0.3214770480784653,1.3468343827507214
71,0.30324084,0.02770045,0.6432089,0.04982603,0.2986111111111111,0.6557921245421245,2.310255089938566,0.2434822909429485,0.6280844761204991
72,0.81817317,0.028469736,0.4545219,0.04939568,0.8246913580246913,0.4606707317073171,4.570304541536744,0.8464074665386077,2.479465252937488
73,0.6024893,0.0283744,0.5035937,0.04981753,0.6041666666666666,0.4705815018315018,1.683281649061219,0.3519444662024876,2.35985696530452
74,0.30086866,0.02867003,0.36212462,0.05043456,0.2966169632836326,0.3060035202892374,4.032134938390059,1.1917019200019765,1.1017576174580377
75,0.5387046,0.028302059,0.67026865,0.049174905,0.5388007054673721,0.7035583464154893,1.8289412495840716,0.3577136295575743,1.2832126010641398
76,0.42820865,0.028838769,0.27265465,0.04902357,0.42592592592592593,0.24122405372405373,2.667820015555858,0.1649314251927182,0.4762924569261638
77,0.58646834,0.028267706,0.43984962,0.04907175,0.5873015873015873,0.4260858189429619,4.720039808415873,0.4343548836378,1.9654543863391627
78,0.66286474,0.028288731,0.7190681,0.049349386,0.6657848324514991,0.7717770034843205,0.6850380845013949,0.2883279773786423,3.2508793748141844
79,0.5678763,0.030828658,0.54783714,0.05222605,0.5686728395061729,0.5570987654320988,0.8380188534265242,0.1733130524814921,0.4538480342446914
80,0.6886919,0.029487727,0.47558194,0.048935335,0.6923868312757202,0.4856532356532357,2.962304775440026,0.3246417049166911,2.2351891465648404
81,0.41148552,0.028646842,0.66712564,0.047892734,0.40917107583774254,0.684196755625327,0.8447623559746753,0.2271227068189055,1.935913226111339
82,0.49836475,0.027995259,0.5784731,0.04988344,0.49823633156966485,0.5743066457352171,3.861383679641916,0.7618501816029939,0.7999745520542988
83,0.32266754,0.028320776,0.56296206,0.047996234,0.318342151675485,0.5498430141287284,0.3306080235001387,0.144564471655317,0.2685709467439401
84,0.6136646,0.028196914,0.298195,0.05037872,0.6157407407407407,0.2620192307692308,1.0763160310412294,0.4460143937754285,2.9144628469733425
85,0.7297509,0.028395226,0.3779425,0.049847893,0.7337962962962963,0.3472985347985348,1.4456201958276258,0.7411710807145498,0.72771381922876
86,0.80712795,0.02889436,0.52004415,0.048981737,0.8132716049382716,0.5366300366300366,0.6157976857988531,0.2648024916748798,0.8136903166667953
87,0.78487766,0.028625358,0.58348095,0.049364436,0.7908093278463649,0.603319783197832,0.5583779451404401,0.6102266755255612,0.7336475352407772
88,0.7136424,0.02912839,0.3855058,0.049608745,0.7175925925925926,0.37915396341463414,1.4912971934964816,0.4220975671617457,3.066117472723039
89,0.60449535,0.02850039,0.5983449,0.049560472,0.6064814814814815,0.6062271062271063,2.4463132621132884,0.7908292745749643,1.031581583517382
90,0.7982687,0.027848542,0.49687424,0.049106177,0.8037037037037036,0.5071428571428571,1.162633694203671,0.2141930160564424,0.4803960555592504
91,0.75472575,0.02930675,0.37789732,0.049421627,0.7604332348708648,0.3624869070776608,0.4528065490894955,0.1822713039536746,0.3237781669002052
92,0.7912018,0.028074326,0.4688422,0.04989353,0.7974683544303798,0.4745421245421246,0.9302809747918016,0.267755860717444,0.8161349029515406
