window,predictor,bin,bin_mid,beta,p
onset,z_z,0,0.05,0.0035694750353898433,0.38713256624751324
onset,z_z,1,0.15000000000000002,0.012544898826393031,0.0836893422575801
onset,z_z,2,0.25,0.024336691422590897,0.01609086744892422
onset,z_z,3,0.35000000000000003,0.03464697562841783,0.0051284354214231965
onset,z_z,4,0.45,0.04300347579423071,0.00220541670288389
onset,z_z,5,0.55,0.049925464571035465,0.0010602325719351797
onset,z_z,6,0.6500000000000001,0.056672717183113785,0.0005584656868601023
onset,z_z,7,0.75,0.06047361356237149,0.000449387966799055
onset,z_z,8,0.8500000000000001,0.06300115707809419,0.00043203810136425167
onset,z_z,9,0.95,0.0656699881963591,0.0004047715644381323
onset,z_z,10,1.05,0.06726316105253172,0.00038358308453493445
onset,z_z,11,1.1500000000000001,0.06891242307144647,0.00038137821433351614
onset,z_z,12,1.25,0.06955402103533022,0.0004495624547044426
onset,z_z,13,1.35,0.0685979429273781,0.0007047559791086186
onset,z_z,14,1.4500000000000002,0.06878523696128892,0.000796010592713386
onset,z_z,15,1.55,0.06977494482724411,0.000710524638152738
onset,z_z,16,1.6500000000000001,0.07044053771237169,0.0006680727968809537
onset,z_z,17,1.75,0.06947870247804978,0.000720744249759578
onset,z_z,18,1.85,0.06601806379567447,0.001125150670644894
onset,z_z,19,1.9500000000000002,0.06257860520727104,0.0017904517799113538
onset,z_z,20,2.05,0.05730422519137366,0.0035876534891618253
onset,z_z,21,2.1500000000000004,0.05089704468533013,0.009797771529643498
onset,z_z,22,2.25,0.04438235854285438,0.019575116329979554
onset,z_z,23,2.3500000000000005,0.03822650562287503,0.03920706468573739
onset,z_z,24,2.45,0.03353243550641604,0.06755360705653207
onset,kappa_z,0,0.05,-0.0017554235039484126,0.673129387091845
onset,kappa_z,1,0.15000000000000002,-0.003985294850283336,0.5857377477135599
onset,kappa_z,2,0.25,-0.006214267599787882,0.5421352532821588
onset,kappa_z,3,0.35000000000000003,-0.0075569840635080765,0.5448391695012946
onset,kappa_z,4,0.45,-0.009132762812408044,0.5190499854058015
onset,kappa_z,5,0.55,-0.011465758530061619,0.4557873788313881
onset,kappa_z,6,0.6500000000000001,-0.014992120368855494,0.3651919205255596
onset,kappa_z,7,0.75,-0.01732624289319247,0.3186363389474177
onset,kappa_z,8,0.8500000000000001,-0.019415509303095456,0.281979550780749
onset,kappa_z,9,0.95,-0.02236148930664639,0.23224432662896
onset,kappa_z,10,1.05,-0.025935741411831834,0.17441689288963413
onset,kappa_z,11,1.1500000000000001,-0.032812591215110626,0.09337576782737429
onset,kappa_z,12,1.25,-0.04500141748232348,0.024323846307244504
onset,kappa_z,13,1.35,-0.05882686079608576,0.003956822102628203
onset,kappa_z,14,1.4500000000000002,-0.06666726193694342,0.0012619654468834093
onset,kappa_z,15,1.55,-0.0720404611158012,0.0005262579738482694
onset,kappa_z,16,1.6500000000000001,-0.07461138032654802,0.00035083550546671674
onset,kappa_z,17,1.75,-0.07585843616238809,0.0002501681339148051
onset,kappa_z,18,1.85,-0.07673324647988891,0.0001732554991841799
onset,kappa_z,19,1.9500000000000002,-0.07674836725310814,0.00014529879217879536
onset,kappa_z,20,2.05,-0.07902512009428635,6.788090087761958e-05
onset,kappa_z,21,2.1500000000000004,-0.08064963705048644,4.9179464238106674e-05
onset,kappa_z,22,2.25,-0.07596082249717047,7.404772217194866e-05
onset,kappa_z,23,2.3500000000000005,-0.06805018831783367,0.0002716668376118893
onset,kappa_z,24,2.45,-0.06296342681561186,0.0006628982156492603
onset,beta_z,0,0.05,-0.0023204642103837082,0.5711129471819267
onset,beta_z,1,0.15000000000000002,-0.003787621054975411,0.5987948252851597
onset,beta_z,2,0.25,-0.0048407995859105725,0.6295754926165564
onset,beta_z,3,0.35000000000000003,-0.005281694829567806,0.6672999470148318
onset,beta_z,4,0.45,-0.0047848354133941725,0.7314919190487194
onset,beta_z,5,0.55,-0.003647113981932977,0.8095855640227475
onset,beta_z,6,0.6500000000000001,-0.002005584998665997,0.9020743786130582
onset,beta_z,7,0.75,-0.0012517771594185041,0.9416606801076579
onset,beta_z,8,0.8500000000000001,-0.0007641085798264193,0.9656952506062395
onset,beta_z,9,0.95,0.00019950853224638332,0.9913624629463286
onset,beta_z,10,1.05,0.002088933647090325,0.9115298775661149
onset,beta_z,11,1.1500000000000001,0.006374934647505249,0.740565250208288
onset,beta_z,12,1.25,0.01407343522865883,0.4743973781133305
onset,beta_z,13,1.35,0.021017220063497186,0.2956995982949828
onset,beta_z,14,1.4500000000000002,0.024852977051333602,0.22210014951288237
onset,beta_z,15,1.55,0.030381918318328368,0.1375030314061049
onset,beta_z,16,1.6500000000000001,0.03931876290529819,0.05570474224559559
onset,beta_z,17,1.75,0.04847010153539338,0.017468089853462335
