Step,Claim,Model,Sample,Key predictor,Stream,beta,SE,p,CI_lo,CI_hi,N_obs,N_subj
1A,Threat scales anticipatory vigor,onset_slope_norm ~ threat_c + C(choice) + (1|subj),All trials,threat_c,norm,0.02925699965447456,0.004366613159533126,2.081937997885183e-11,0.020698437861789633,0.03781556144715949,23556,293
1A,Threat scales anticipatory vigor,onset_slope_resid ~ threat_c + C(choice) + (1|subj),All trials,threat_c,resid,0.029277203383501097,0.004366383876102936,2.0121708559476136e-11,0.020719090986339346,0.03783531578066285,23556,293
1B,Attack triggers phasic spike,encounter_spike_norm ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,norm,0.015122790513901797,0.005800362111616111,0.00912820514634349,0.003754080775134219,0.026491500252669373,20346,293
1B,Attack triggers phasic spike,encounter_spike_resid ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,resid,0.002929124652451788,0.006338570053604459,0.6440015292242225,-0.009494472652612954,0.015352721957516528,16129,293
1B-check,Manipulation check (expect n.s.),pre_encounter_vigor_norm ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,norm,-0.029698202069908336,0.0061358265970425496,1.2975382990128562e-06,-0.04172442220011173,-0.01767198193970494,20346,293
1B-check,Manipulation check (expect n.s.),pre_encounter_vigor_resid ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,resid,-0.0030435619242038833,0.00516273461624122,0.5555090428022711,-0.013162521772036674,0.007075397923628907,16129,293
1B-corr,Tonic–phasic tradeoff,"Pearson r(pre_encounter_vigor_norm, encounter_spike_norm)",Attack trials,r,norm,-0.35892453920345113,,6.057088052133315e-305,,,10105,293
1B-corr,Tonic–phasic tradeoff,"Pearson r(pre_encounter_vigor_resid, encounter_spike_resid)",Attack trials,r,resid,-0.4843835234642029,,0.0,,,7892,293
1C,Terminal vigor predicts escape,escaped ~ terminal_mean_norm_z + threat_c + startDistance_z + C(choice) + (1|subj),Attack trials,terminal_mean_norm_z,norm,0.09673007857792502,0.004593488530013976,1.9280673314648312e-98,0.08772684105909763,0.10573331609675242,11661,293
1C,Terminal vigor predicts escape,escaped ~ terminal_mean_resid_z + threat_c + startDistance_z + C(choice) + (1|subj),Attack trials,terminal_mean_resid_z,resid,0.07304683789157707,0.004628335606044568,4.10413386738582e-56,0.06397530010372972,0.08211837567942441,11575,293
