claim,dv_base,predictor,type,beta,se,p,ci_lo,ci_hi,nobs,n_groups,p_fdr,sig_fdr,sig_uncorrected,sig_star
main_effect,onset_slope,z_z,main,0.027526536901257743,0.012152528830200616,0.02350733198050845,0.0037075803940645365,0.051345493408450946,23475,292,0.07639882893665247,False,True,ns
main_effect,onset_slope,kappa_z,main,-0.04584021683954357,0.012251199792991201,0.0001827854161804537,-0.06985256843380633,-0.021827865245280815,23475,292,0.0020572566781528858,True,True,**
main_effect,onset_slope,beta_z,main,0.03244991098647283,0.01206248435151931,0.00714195767930726,0.008807441657494985,0.05609238031545068,23475,292,0.03979090707042616,True,True,*
main_effect,onset_mean,z_z,main,0.05518328958525993,0.014892393639877495,0.00021100068493875752,0.025994198051100037,0.08437238111941982,23475,292,0.0020572566781528858,True,True,**
main_effect,onset_mean,kappa_z,main,-0.03605132703606621,0.015011769889297385,0.016326339439923315,-0.06547439601908908,-0.006628258053043332,23475,292,0.0629588435945927,False,True,ns
main_effect,onset_mean,beta_z,main,0.01393384629410628,0.014781684531145948,0.3458637161926561,-0.015038255386939776,0.042905947975152334,23475,292,0.46512706660391684,False,False,ns
main_effect,onset_peak,z_z,main,0.05518328958525993,0.014892393639877495,0.00021100068493875752,0.025994198051100037,0.08437238111941982,23475,292,0.0020572566781528858,True,True,**
main_effect,onset_peak,kappa_z,main,-0.03605132703606621,0.015011769889297385,0.016326339439923315,-0.06547439601908908,-0.006628258053043332,23475,292,0.0629588435945927,False,True,ns
main_effect,onset_peak,beta_z,main,0.01393384629410628,0.014781684531145948,0.3458637161926561,-0.015038255386939776,0.042905947975152334,23475,292,0.46512706660391684,False,False,ns
main_effect,encounter_spike,z_z,main,-0.02063034073421672,0.008702458408682142,0.017757622552321016,-0.03768715921523372,-0.0035735222531997207,16054,292,0.0629588435945927,False,True,ns
main_effect,encounter_spike,kappa_z,main,-0.012208578236461123,0.008841299502586077,0.16732265766310406,-0.029537525261529834,0.005120368788607589,16054,292,0.31074207851719327,False,False,ns
main_effect,encounter_spike,beta_z,main,0.01911966737371242,0.008776286365474157,0.029364362369415746,0.0019181460973830694,0.03632118865004177,16054,292,0.08809308710824724,False,True,ns
main_effect,post_encounter_vigor,z_z,main,0.018405198807146476,0.014235822370535495,0.19605283835876874,-0.009497013039103094,0.046307410653396046,16054,292,0.3185858623329992,False,False,ns
main_effect,post_encounter_vigor,kappa_z,main,-0.04891923597557076,0.014386202237967135,0.0006728060460708205,-0.07711619236198634,-0.02072227958915518,16054,292,0.004373239299460333,True,True,**
main_effect,post_encounter_vigor,beta_z,main,0.02951228723078878,0.014212170608138496,0.03784308347268158,0.0016564328388373288,0.05736814162274023,16054,292,0.10264327280032344,False,True,ns
